,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,JNJ,JPM,PYPL,XOM,VZ,NVDA,INTC,BRK.B,BAC,TSLA,TGT,MA,V,COST,UNP,AMAT,CVX,NKE,MS,ACN,LOW,CMCSA,DE,HD,CAT,GS,WFC,TXN,LLY,BMY,UPS,C,MRNA,PG,AXP,NFLX,WMT,UNH,ANTM,LRCX,MU,MRK,GILD,CSX,GM,T,PEP,COP,ADBE,FDX,COF,SCHW,KO,ABBV,NSC,F,AMGN,CSCO,BIIB,PFE,HUM,DIS,PGR,QCOM,TJX,ORCL,IDXX,LIN,OXY,TROW,INTU,SPGI,TMUS,AVGO,ROST,ZTS,EOG,HON,ABT,PNC,DOW,USB,DFS,MDT,ADP,TRV,BLK,AMP,ALL,KR,CMI,TFC,EL,TMO,FTNT,PRU,DVN,KKR,IBM,SYF,AMD,PXD,CRM,GLW,KSU,HAL,RTX,DG,ISRG,CNC,SIVB,MCD,HIG,KMX,ODFL,LMT,CBRE,MCO,BBY,PCAR,ADSK,REGN,SWKS,SO,APD,BKNG,ITW,AIG,FAST,FCX,NUE,TER,TSCO,SBUX,EXC,VLO,CME,LYB,MET,NOW,ALLY,FANG,LULU,CTSH,FITB,WM,ULTA,MMM,DHR,XEL,AFL,DD,VFC,CB,NEM,CERN,ALGN,BK,OKE,HBAN,AES,APTV,IP,CTVA,MXIM,CPRT,AEP,BAX,ORLY,DLTR,TEL,EW,LEN,KLAC,SQ,GWW,MDLZ,CI,CL,LUV,WSM,HES,MTD,DHI,STX,WAT,WBA,POOL,TPR,MOH,HSY,DRI,ROK,NEE,BA,ETN,ILMN,CE,SHW,EXPD,Ssc Government Mm Gvmxx,ALB,XLNX,GPC,EQH,TSN,STLD,AON,PAYC,EBAY,ADI,JBHT,PWR,CROX,n/a,LH,TRGP,COG,WMB,CTRA,TREX,AAP,ON,M,KEYS,PAYX,CP.TO,SUM
07/09/2021,3.83,3.46,2.78,1.4,1.17,1.16,1.0,0.9,0.79,0.64,0.59,0.56,0.55,0.54,0.53,0.52,0.5,0.5,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.970000000000006
07/12/2021,3.99,3.52,3.0,1.39,1.19,1.18,1.02,0.89,0.82,0.62,0.6,0.56,0.55,0.54,0.51,0.51,0.52,0.5,0.49,0.49,0.46,0.45,0.45,0.47,0.44,0.47,0.44,0.44,0.43,0.43,0.41,0.41,0.39,0.41,0.42,0.39,0.39,0.36,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.33,0.34,0.33,0.31,0.3,0.31,0.32,0.3,0.32,0.31,0.3,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.23,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.290000000000006
07/13/2021,3.99,3.52,3.0,1.39,1.19,1.18,1.02,0.89,0.82,0.62,0.6,0.56,0.55,0.54,0.51,0.51,0.52,0.5,0.49,0.49,0.46,0.45,0.45,0.47,0.44,0.47,0.44,0.44,0.43,0.43,0.41,0.41,0.39,0.41,0.42,0.39,0.39,0.36,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.33,0.34,0.33,0.31,0.3,0.31,0.32,0.3,0.32,0.31,0.3,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.23,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.290000000000006
07/14/2021,3.97,3.47,2.94,1.38,1.18,1.17,1.0,0.9,0.82,0.62,0.59,0.55,0.54,0.54,0.52,0.5,0.51,0.5,0.48,0.49,0.46,0.45,0.45,0.46,0.44,0.46,0.44,0.43,0.43,0.42,0.42,0.42,0.4,0.4,0.41,0.39,0.38,0.37,0.37,0.37,0.38,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.32,0.3,0.32,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.23,0.21,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.150000000000006
07/15/2021,3.94,3.45,2.93,1.39,1.19,1.17,1.0,0.91,0.83,0.62,0.59,0.56,0.55,0.54,0.52,0.52,0.51,0.5,0.48,0.48,0.46,0.45,0.45,0.46,0.46,0.46,0.44,0.43,0.44,0.42,0.42,0.42,0.4,0.41,0.41,0.39,0.38,0.37,0.38,0.37,0.38,0.36,0.36,0.36,0.36,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.28,0.27,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.19,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.220000000000006
07/16/2021,4.0,3.52,2.92,1.4,1.2,1.18,1.01,0.91,0.83,0.62,0.59,0.56,0.55,0.54,0.52,0.52,0.52,0.51,0.49,0.49,0.46,0.46,0.45,0.46,0.46,0.47,0.44,0.43,0.43,0.42,0.42,0.42,0.39,0.41,0.41,0.39,0.38,0.37,0.38,0.37,0.38,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.32,0.3,0.32,0.31,0.31,0.29,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.21,0.23,0.23,0.21,0.21,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.19,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.19,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.0,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5
07/19/2021,4.11,3.55,2.9,1.37,1.2,1.19,1.01,0.91,0.82,0.6,0.6,0.53,0.55,0.55,0.51,0.5,0.52,0.53,0.51,0.5,0.46,0.45,0.44,0.47,0.46,0.47,0.44,0.44,0.43,0.43,0.41,0.42,0.41,0.4,0.41,0.39,0.39,0.37,0.42,0.38,0.38,0.37,0.37,0.37,0.36,0.34,0.33,0.34,0.33,0.32,0.31,0.31,0.33,0.29,0.32,0.31,0.31,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.23,0.24,0.24,0.25,0.24,0.23,0.19,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.19,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.16,0.17,0.18,0.17,0.16,0.15,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.16,0.19,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.19,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.12,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64000000000001
07/20/2021,4.09,3.58,2.89,1.38,1.22,1.21,1.02,0.9,0.82,0.59,0.61,0.51,0.55,0.55,0.5,0.51,0.53,0.53,0.51,0.5,0.46,0.44,0.43,0.47,0.46,0.47,0.45,0.44,0.43,0.43,0.41,0.42,0.41,0.4,0.41,0.4,0.39,0.37,0.47,0.39,0.38,0.37,0.37,0.37,0.36,0.33,0.33,0.34,0.34,0.32,0.3,0.31,0.34,0.28,0.32,0.31,0.31,0.28,0.28,0.28,0.26,0.25,0.26,0.26,0.24,0.26,0.26,0.25,0.24,0.24,0.24,0.26,0.24,0.23,0.18,0.23,0.23,0.22,0.22,0.22,0.2,0.22,0.18,0.22,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.16,0.18,0.18,0.17,0.16,0.15,0.17,0.17,0.16,0.14,0.16,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.19,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.12,0.14,0.13,0.14,0.14,0.14,0.11,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69000000000001
07/21/2021,4.09,3.58,2.89,1.38,1.22,1.21,1.02,0.9,0.82,0.59,0.61,0.51,0.55,0.55,0.5,0.51,0.53,0.53,0.51,0.5,0.46,0.44,0.43,0.47,0.46,0.47,0.45,0.44,0.43,0.43,0.41,0.42,0.41,0.4,0.41,0.4,0.39,0.37,0.47,0.39,0.38,0.37,0.37,0.37,0.36,0.33,0.33,0.34,0.34,0.32,0.3,0.31,0.34,0.28,0.32,0.31,0.31,0.28,0.28,0.28,0.26,0.25,0.26,0.26,0.24,0.26,0.26,0.25,0.24,0.24,0.24,0.26,0.24,0.23,0.18,0.23,0.23,0.22,0.22,0.22,0.2,0.22,0.18,0.22,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.16,0.18,0.18,0.17,0.16,0.15,0.17,0.17,0.16,0.14,0.16,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.19,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.12,0.14,0.13,0.14,0.14,0.14,0.11,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69000000000001
07/22/2021,4.09,3.58,2.89,1.38,1.22,1.21,1.02,0.9,0.82,0.59,0.61,0.51,0.55,0.55,0.5,0.51,0.53,0.53,0.51,0.5,0.46,0.44,0.43,0.47,0.46,0.47,0.45,0.44,0.43,0.43,0.41,0.42,0.41,0.4,0.41,0.4,0.39,0.37,0.47,0.39,0.38,0.37,0.37,0.37,0.36,0.33,0.33,0.34,0.34,0.32,0.3,0.31,0.34,0.28,0.32,0.31,0.31,0.28,0.28,0.28,0.26,0.25,0.26,0.26,0.24,0.26,0.26,0.25,0.24,0.24,0.24,0.26,0.24,0.23,0.18,0.23,0.23,0.22,0.22,0.22,0.2,0.22,0.18,0.22,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.16,0.18,0.18,0.17,0.16,0.15,0.17,0.17,0.16,0.14,0.16,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.19,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.12,0.14,0.13,0.14,0.14,0.14,0.11,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69000000000001
