,NTR,CTVA,BYND,OTLY,LNN,RAVN,NUF.AX,TTCF,ULVR.L,HYFM,TITN,GRWG,BAYN.DE,APPH,AGFY,BN.PA,ADM,UAVS,K,FMC,AGCO,MFI.TO,HAIN,ICL.TA,SMG,INGR,MRFG3.SA,SFM,STKL,LSF,n/a,NUF AU,ULVR LN,BAYN GR,BN FP,MFI CN,ICL IT,MRFG3 BZ,SUM
08/25/2021,13.99,13.03,10.71,8.65,5.3,5.23,4.93,4.58,4.38,4.05,3.35,3.27,2.91,2.6,2.6,2.41,1.71,1.17,1.15,0.62,0.4,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.27,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,13.99,13.03,10.71,8.65,5.3,5.23,4.93,4.58,4.38,4.05,3.35,3.27,2.91,2.6,2.6,2.41,1.71,1.17,1.15,0.62,0.4,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.27,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,13.89,13.01,10.78,9.15,5.19,5.15,4.9,4.63,4.28,4.17,3.41,3.36,2.89,2.57,2.3,2.36,1.69,1.2,1.12,0.62,0.41,0.35,0.34,0.34,0.34,0.34,0.34,0.32,0.27,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,13.75,13.48,10.46,9.41,5.21,5.16,4.73,4.69,4.27,4.17,3.33,3.24,2.85,2.69,2.36,2.33,1.7,1.15,1.09,0.64,0.42,0.35,0.31,0.34,0.34,0.34,0.34,0.33,0.27,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/31/2021,13.75,13.48,10.46,9.41,5.21,5.16,4.73,4.69,4.27,4.17,3.33,3.24,2.85,2.69,2.36,2.33,1.7,1.15,1.09,0.64,0.42,0.35,0.31,0.34,0.34,0.34,0.34,0.33,0.27,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/01/2021,13.89,13.41,10.46,9.55,5.21,5.12,4.71,4.82,4.22,4.21,3.34,3.2,2.83,2.64,2.11,2.31,1.7,1.21,1.08,0.63,0.42,0.35,0.31,0.34,0.34,0.34,0.34,0.33,0.28,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/06/2021,13.84,13.5,10.21,9.13,5.08,5.06,4.78,5.71,4.12,4.5,3.2,3.21,2.84,2.64,2.0,2.26,1.68,1.22,1.07,0.65,0.41,0.35,0.32,0.34,0.34,0.33,0.34,0.33,0.27,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,13.84,13.5,10.21,9.13,5.08,5.06,0.0,5.71,0.0,4.5,3.2,3.21,0.0,2.64,2.0,0.0,1.68,1.22,1.07,0.65,0.41,0.0,0.32,0.0,0.34,0.33,0.0,0.33,0.27,0.23,0.05,4.78,4.12,2.84,2.26,0.35,0.34,0.34,100.01
09/08/2021,13.95,13.72,9.96,8.85,5.11,5.15,4.94,5.33,4.21,4.73,3.19,3.29,2.88,2.58,1.82,2.32,1.7,1.2,1.09,0.65,0.41,0.35,0.32,0.35,0.34,0.34,0.35,0.33,0.27,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,13.95,13.72,9.96,8.85,5.11,5.15,4.94,5.33,4.21,4.73,3.19,3.29,2.88,2.58,1.82,2.32,1.7,1.2,1.09,0.65,0.41,0.35,0.32,0.35,0.34,0.34,0.35,0.33,0.27,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
