,TCL.AX,ENB.TO,NEE,AENA.MC,TRP.TO,ATL.MI,DUK,IBE.MC,ENEL.MI,SYD.AX,KMI,SO,GET.PA,D,WMB,AIA.NZ,NG.L,OKE,EXC,AEP,ALX.AX,SRE,QUB.AX,LNG,XEL,9706.T,Grupo Aeroportuario del Pacifico SAB de CV Sponsored ADR Class B,Grupo Aeroportuario del Sureste SA de CV Sponsored ADR Class B,PPL.TO,ADP.PA,PEG,AWK,WEC,FHZN.SW,ES,ORSTED.CO,EOAN.DE,MIC,RWE.DE,ENGI.PA,FRA.DE,DTE,Grupo Aeroportuario del Centro Norte SAB de CV Sponsored ADR Class B,TRGP,144.HK,152.HK,IPL.TO,177.HK,576.HK,KEY.TO,694.HK,ENAV.MI,NS8U.SI,ETRN,384.HK,8088.T,VPK.AS,GEI.TO,916.HK,Ultrapar Participacoes S.A. Sponsored ADR,Enbridge Inc.,STATE STREET INSTITUTIONAL LIQ STATE STR,1193.HK,WTE.TO,FSJ.L,HHFA.DE,DTM WI,Enel Americas S.A. Sponsored ADR,270.HK,135.HK,Centrais Eletricas Brasileiras SA-Eletrobras Sponsored ADR,MNZS.L,Companhia Energetica de Minas Gerais SA Sponsored ADR Pfd,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,CGN Power Co. Ltd. Class H,Corporacion America Airports S.A.,British Pounds,Hong Kong Dollar,Euro,Canadian Dollar,Singapore Dollar,Australian Dollar,Japanese Yen,Swiss Franc,New Zealand Dollar,Danish Krone,Czech Koruna,Jiangsu Expressway Co. Ltd. Class H,IBERDROLA SA RIGHT,China Renminbi,U.S. Dollar,Iberdrola SA Rights 2021-21.07.21 For Shares,SUM
07/09/2021,5.4,5.18,5.11,4.48,3.72,3.41,3.17,3.02,3.0,2.78,2.75,2.69,2.57,2.51,2.46,2.27,2.02,1.92,1.81,1.74,1.69,1.67,1.59,1.55,1.49,1.44,1.41,1.34,1.34,1.3,1.26,1.2,1.18,1.18,1.15,1.11,1.09,1.04,1.03,1.01,0.95,0.9,0.79,0.77,0.71,0.6,0.53,0.49,0.45,0.45,0.44,0.42,0.42,0.27,0.25,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.14,0.12,0.11,0.1,0.09,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,5.4,5.15,5.13,4.42,3.71,3.32,3.21,2.93,2.99,2.81,2.72,2.7,2.59,2.54,2.45,2.31,2.04,1.89,1.81,1.75,1.67,1.65,1.53,1.55,1.5,1.46,1.47,1.36,1.32,1.28,1.27,1.22,1.2,1.16,1.17,1.12,1.11,1.04,1.03,1.01,0.93,0.92,0.82,0.76,0.72,0.59,0.53,0.0,0.46,0.44,0.43,0.41,0.42,0.27,0.25,0.24,0.23,0.21,0.22,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.16,0.16,0.16,0.14,0.12,0.1,0.1,0.09,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.07,0.01,0.0,0.0,99.97
07/13/2021,5.4,5.15,5.13,4.42,3.71,3.32,3.21,2.93,2.99,2.81,2.72,2.7,2.59,2.54,2.45,2.31,2.04,1.89,1.81,1.75,1.67,1.65,1.53,1.55,1.5,1.46,1.47,1.36,1.32,1.28,1.27,1.22,1.2,1.16,1.17,1.12,1.11,1.04,1.03,1.01,0.93,0.92,0.82,0.76,0.72,0.59,0.53,0.0,0.46,0.44,0.43,0.41,0.42,0.27,0.25,0.24,0.23,0.21,0.22,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.16,0.16,0.16,0.14,0.12,0.1,0.1,0.09,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.07,0.01,0.0,0.0,99.97
07/14/2021,5.37,5.18,5.1,4.39,3.75,3.35,3.19,2.94,3.0,2.79,2.78,2.68,2.6,2.51,2.48,2.29,2.05,1.95,1.8,1.75,1.64,1.66,1.51,1.55,1.5,1.44,1.47,1.37,1.35,1.28,1.26,1.22,1.19,1.16,1.17,1.1,1.11,1.04,1.03,1.01,0.93,0.93,0.76,0.78,0.72,0.58,0.53,0.0,0.46,0.45,0.43,0.42,0.42,0.27,0.25,0.23,0.23,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.18,0.18,0.16,0.16,0.16,0.14,0.12,0.1,0.1,0.09,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.01,0.05,0.07,99.99
07/15/2021,5.36,5.17,5.09,4.38,3.74,3.35,3.21,2.97,3.04,2.8,2.75,2.69,2.61,2.51,2.46,2.28,2.06,1.93,1.82,1.74,1.64,1.66,1.52,1.53,1.5,1.44,1.46,1.35,1.35,1.27,1.26,1.22,1.2,1.13,1.16,1.13,1.12,1.03,1.05,1.01,0.91,0.93,0.75,0.78,0.73,0.58,0.53,0.0,0.46,0.45,0.42,0.41,0.41,0.28,0.24,0.22,0.23,0.21,0.21,0.22,0.2,0.25,0.2,0.19,0.18,0.18,0.16,0.17,0.16,0.14,0.12,0.11,0.1,0.1,0.09,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.07,99.94
07/16/2021,5.46,5.17,5.12,4.31,3.75,3.32,3.24,2.9,3.06,2.82,2.74,2.69,2.59,2.49,2.45,2.31,2.06,1.92,1.82,1.76,1.68,1.66,1.53,1.49,1.51,1.43,1.44,1.31,1.36,1.26,1.25,1.22,1.2,1.14,1.18,1.13,1.12,1.03,1.05,1.01,0.9,0.92,0.78,0.78,0.75,0.55,0.54,0.49,0.47,0.46,0.42,0.41,0.42,0.27,0.26,0.24,0.23,0.21,0.22,0.22,0.2,0.25,0.21,0.19,0.19,0.18,0.16,0.16,0.17,0.15,0.13,0.1,0.1,0.1,0.09,0.06,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.18,0.07,99.97
07/19/2021,5.46,5.13,5.28,4.19,3.72,3.27,3.33,2.87,3.02,2.81,2.68,2.76,2.54,2.55,2.4,2.31,2.04,1.87,1.86,1.81,1.69,1.67,1.55,1.48,1.54,1.39,1.46,1.32,1.33,1.21,1.29,1.26,1.25,1.1,1.23,1.09,1.14,1.04,1.02,1.0,0.86,0.93,0.78,0.74,0.77,0.55,0.55,0.0,0.47,0.45,0.44,0.4,0.41,0.26,0.27,0.24,0.23,0.21,0.22,0.23,0.2,0.09,0.23,0.19,0.18,0.18,0.17,0.17,0.17,0.15,0.13,0.1,0.11,0.1,0.09,0.05,0.01,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09,-0.03,0.07,99.98000000000002
07/23/2021,5.38,5.04,5.42,4.21,3.66,3.2,3.39,2.89,2.95,2.83,2.68,2.83,2.44,2.59,2.4,2.31,2.11,1.84,1.92,1.81,1.66,1.7,1.55,1.52,1.56,1.36,1.46,1.32,1.33,1.22,1.31,1.29,1.26,1.1,1.26,1.11,1.14,1.07,0.97,0.99,0.86,0.96,0.75,0.75,0.74,0.55,0.54,0.0,0.47,0.44,0.43,0.41,0.42,0.26,0.27,0.24,0.23,0.2,0.22,0.22,0.2,0.07,0.23,0.19,0.18,0.18,0.17,0.17,0.18,0.15,0.13,0.09,0.11,0.1,0.09,0.05,-0.06,0.03,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09,0.0,0.07,100.02
07/27/2021,5.38,5.09,5.29,4.26,3.71,3.29,3.33,2.93,3.06,2.82,2.66,2.8,2.47,2.52,2.39,2.28,2.1,1.85,1.9,1.78,1.65,1.64,1.53,1.52,1.52,1.32,1.48,1.32,1.35,1.22,1.28,1.26,1.23,1.11,1.23,1.16,1.15,1.06,1.0,1.0,0.88,0.94,0.75,0.77,0.74,0.55,0.54,0.0,0.47,0.44,0.44,0.42,0.41,0.26,0.27,0.24,0.23,0.21,0.22,0.22,0.2,0.07,0.23,0.19,0.19,0.18,0.17,0.16,0.18,0.15,0.13,0.1,0.11,0.1,0.09,0.05,0.02,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09,0.0,0.07,99.98
07/29/2021,5.32,5.08,5.29,4.32,3.7,3.32,3.35,2.91,3.08,2.8,2.68,2.81,2.52,2.52,2.4,2.19,2.11,1.85,1.89,1.82,1.61,1.65,1.52,1.52,1.53,1.3,1.5,1.32,1.39,1.22,1.3,1.26,1.24,1.12,1.23,1.13,1.14,1.06,1.0,1.01,0.88,0.94,0.75,0.77,0.72,0.54,0.53,0.0,0.45,0.46,0.43,0.42,0.42,0.26,0.26,0.24,0.23,0.21,0.21,0.21,0.2,0.07,0.22,0.24,0.19,0.18,0.17,0.16,0.17,0.14,0.12,0.11,0.11,0.1,0.09,0.06,0.02,0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.07,100.02
08/03/2021,5.2,5.13,5.32,4.37,3.69,3.33,3.35,2.97,3.04,2.75,2.67,2.81,2.56,2.51,2.36,2.22,2.11,1.83,1.91,1.83,1.6,1.65,1.51,1.53,1.53,1.33,1.53,1.32,1.4,1.2,1.32,1.28,1.23,1.13,1.22,1.13,1.15,1.05,1.0,1.01,0.91,0.95,0.76,0.75,0.7,0.54,0.53,0.0,0.44,0.46,0.41,0.43,0.42,0.26,0.26,0.23,0.21,0.2,0.23,0.22,0.2,0.07,0.22,0.24,0.2,0.17,0.17,0.16,0.17,0.14,0.12,0.11,0.11,0.1,0.09,0.06,0.02,0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,99.97
08/04/2021,5.29,5.14,5.36,4.3,3.69,3.36,3.37,2.94,2.97,2.79,2.62,2.81,2.55,2.51,2.35,2.24,2.11,1.79,1.91,1.83,1.62,1.65,1.5,1.51,1.53,1.32,1.54,1.33,1.4,1.19,1.31,1.29,1.24,1.12,1.23,1.12,1.15,1.06,1.01,0.99,0.9,0.95,0.77,0.75,0.69,0.54,0.53,0.0,0.45,0.46,0.4,0.43,0.43,0.26,0.26,0.23,0.21,0.21,0.24,0.21,0.2,0.07,0.22,0.24,0.2,0.18,0.17,0.16,0.17,0.15,0.12,0.11,0.1,0.09,0.09,0.06,0.02,0.13,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,99.99000000000001
