,INFY.NS,RELIANCE.NS,HDFC.NS,ICICIBANK.NS,HINDUNILVR.NS,KOTAKBANK.NS,BAJFINANCE.NS,AXISBANK.NS,ASIANPAINT.NS,BHARTIARTL.NS,HCLTECH.NS,MARUTI.NS,TATASTEEL.NS,ULTRACEMCO.NS,SUNPHARMA.NS,M&M.NS,TITAN.NS,JSWSTEEL.NS,DRREDDY.NS,WIPRO.NS,TATAMOTORS.NS,NESTLEIND.NS,TECHM.NS,DIVISLAB.NS,GRASIM.NS,DMART.NS,HDFCLIFE.NS,VEDL.NS,CIPLA.NS,TATACONSUM.NS,BJFIN.NS,UPL.NS,BRITANNIA.NS,HEROMOTOCO.NS,NAUKRI.NS,APOLLOHOSP.NS,EICHERMOT.NS,ICICIGI.NS,GODREJCP.NS,BAJAJ-AUTO.NS,DABUR.NS,ADANIGREEN.NS,PIDILITIND.NS,MOTHERSUMI.NS,LUPIN.NS,AUROPHARMA.NS,MARICO.NS,SHREECEM.NS,ICICIPRULI.NS,PEL.NS,JUBLFOOD.NS,CHOLAFIN.NS,MFSL.NS,VOLTAS.NS,SRTRANSFIN.NS,ZEEL.NS,PIIND.NS,HAVELLS.NS,COLPAL.NS,LAURUSLABS.NS,CROMPTON.NS,AMBUJACEM.NS,BALKRISIND.NS,INDUSTOWER.NS,SUNDARMFIN.NS,SRF.NS,MPHASIS.NS,BANDHANBNK.NS,SIEMENS.NS,JINDALSTEL.NS,MCDOWELL-N.NS,BERGEPAINT.NS,BIOCON.NS,ASTRAL.NS,BHARATFORG.NS,PAGEIND.NS,TRENT.NS,DLF.NS,BOSCHLTD.NS,ASHOKLEY.NS,AARTIIND.NS,GODREJPROP.NS,INDIGO.NS,CADILAHC.NS,MUTHOOTFIN.NS,TORNTPHARM.NS,ATUL.NS,AUBANK.NS,HDFCAMC.NS,ACC.NS,EMBASSY.NS,SUPREMEIND.NS,NAVINFLUOR.NS,IPCALAB.NS,RAMCOCEM.NS,TVSMOTOR.NS,ALKEM.NS,EMAMILTD.NS,COROMANDEL.NS,ESCORTS.NS,NATCOPHARM.NS,EXIDEIND.NS,BATAINDIA.NS,IDEA.NS,PFIZER.NS,SANOFI.NS,MANAPPURAM.NS,BAYERCROP.NS,YESBANK.NS,BRITIN 5.5 06/03/24,Britannia Industries Ltd 5.5%,n/a,BAJAJFINSV.NS,BRITIN 5.5 06/03/24 N3,BRITIN 5.5 06.03.24 N3,INDUSINDBK.NS,ADANITRANS.NS,ATGL.NS,TATAELXSI.NS,PERSISTENT.NS,GLAND.NS,DALBHARAT.NS,FORTIS.NS,IDFCFIRSTB.NS,VBL.NS,FEDERALBNK.NS,TIINDIA.NS,BAJAJHLDNG.NS,COFORGE.NS,LALPATHLAB.NS,CUMMINSIND.NS,TATACHEM.NS,DEEPAKNTR.NS,GUJGASLTD.NS,DIXON.NS,ABB.NS,APLAPOLLO.NS,M&MFIN.NS,UBL.NS,OFSS.NS,MAXHEALTH.NS,AAVAS.NS,RBLBANK.NS,JKCEMENT.NS,IEX.NS,INDIAMART.NS,OBEROIRLTY.NS,CGPOWER.NS,INDHOTEL.NS,TORNTPOWER.NS,KANSAINER.NS,PHOENIXLTD.NS,KAJARIACER.NS,CYIENT.NS,POLYCAB.NS,CARBORUNIV.NS,HAPPSTMNDS.NS,IBULHSGFIN.NS,GMRINFRA.NS,GLENMARK.NS,HATSUN.NS,PVR.NS,RAJESHEXPO.NS,SUNDRMFAST.NS,RELAXO.NS,TTMT.A.NS,SUM
07/09/2021,9.28,7.5,7.14,5.18,3.88,3.19,2.8,2.78,2.36,2.33,1.83,1.74,1.44,1.36,1.34,1.31,1.3,1.27,1.25,1.21,1.18,1.16,1.13,1.02,1.01,0.99,0.96,0.93,0.9,0.85,0.84,0.77,0.77,0.67,0.66,0.65,0.64,0.64,0.62,0.62,0.61,0.58,0.58,0.54,0.51,0.51,0.47,0.46,0.46,0.46,0.44,0.44,0.42,0.42,0.42,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.22,0.22,0.21,0.2,0.19,0.18,0.18,0.17,0.15,0.14,0.14,0.14,0.11,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,9.19,7.37,7.24,5.25,3.84,3.24,2.86,2.81,2.37,2.33,1.79,1.7,1.54,1.39,1.33,1.29,1.27,1.3,1.24,1.19,1.08,1.15,1.07,1.01,1.01,1.01,0.95,0.96,0.88,0.84,0.88,0.78,0.76,0.66,0.65,0.64,0.65,0.65,0.66,0.62,0.61,0.58,0.6,0.51,0.5,0.49,0.48,0.47,0.47,0.44,0.44,0.45,0.43,0.41,0.44,0.42,0.41,0.42,0.4,0.39,0.38,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.34,0.35,0.32,0.33,0.34,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.28,0.29,0.27,0.27,0.29,0.27,0.26,0.26,0.24,0.25,0.25,0.26,0.22,0.22,0.2,0.2,0.19,0.17,0.18,0.17,0.15,0.14,0.14,0.14,0.11,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,9.19,7.37,7.24,5.25,3.84,3.24,2.86,2.81,2.37,2.33,1.79,1.7,1.54,1.39,1.33,1.29,1.27,1.3,1.24,1.19,1.08,1.15,1.07,1.01,1.01,1.01,0.95,0.96,0.88,0.84,0.88,0.78,0.76,0.66,0.65,0.64,0.65,0.65,0.66,0.62,0.61,0.58,0.6,0.51,0.5,0.49,0.48,0.47,0.47,0.44,0.44,0.45,0.43,0.41,0.44,0.42,0.41,0.42,0.4,0.39,0.38,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.34,0.35,0.32,0.33,0.34,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.28,0.29,0.27,0.27,0.29,0.27,0.26,0.26,0.24,0.25,0.25,0.26,0.22,0.22,0.2,0.2,0.19,0.17,0.18,0.17,0.15,0.14,0.14,0.14,0.11,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,9.24,7.29,7.19,5.16,3.82,3.19,2.85,2.77,2.36,2.38,1.81,1.7,1.57,1.39,1.31,1.28,1.27,1.29,1.23,1.18,1.05,1.16,1.09,1.03,1.02,1.01,0.95,0.96,0.88,0.85,0.92,0.79,0.76,0.66,0.66,0.64,0.66,0.64,0.67,0.59,0.62,0.58,0.61,0.52,0.5,0.48,0.48,0.47,0.46,0.44,0.44,0.45,0.44,0.42,0.45,0.42,0.41,0.43,0.4,0.39,0.38,0.4,0.37,0.38,0.37,0.37,0.38,0.35,0.35,0.36,0.34,0.35,0.32,0.33,0.34,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.31,0.27,0.27,0.26,0.24,0.25,0.25,0.26,0.22,0.23,0.21,0.2,0.19,0.17,0.18,0.17,0.16,0.14,0.14,0.14,0.11,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/15/2021,9.24,7.29,7.19,5.16,3.82,3.19,2.85,2.77,2.36,2.38,1.81,1.7,1.57,1.39,1.31,1.28,1.27,1.29,1.23,1.18,1.05,1.16,1.09,1.03,1.02,1.01,0.95,0.96,0.88,0.85,0.92,0.79,0.76,0.66,0.66,0.64,0.66,0.64,0.67,0.59,0.62,0.58,0.61,0.52,0.5,0.48,0.48,0.47,0.46,0.44,0.44,0.45,0.44,0.42,0.45,0.42,0.41,0.43,0.4,0.39,0.38,0.4,0.37,0.38,0.37,0.37,0.38,0.35,0.35,0.36,0.34,0.35,0.32,0.33,0.34,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.31,0.27,0.27,0.26,0.24,0.25,0.25,0.26,0.22,0.23,0.21,0.2,0.19,0.17,0.18,0.17,0.16,0.14,0.14,0.14,0.11,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/16/2021,9.14,7.32,7.12,5.21,3.8,3.21,2.86,2.79,2.35,2.34,1.81,1.71,1.55,1.43,1.31,1.28,1.27,1.31,1.23,1.18,1.05,1.15,1.09,1.03,1.04,1.0,0.95,0.96,0.88,0.86,0.92,0.79,0.75,0.66,0.66,0.65,0.65,0.65,0.66,0.58,0.61,0.58,0.6,0.52,0.5,0.48,0.48,0.48,0.47,0.44,0.43,0.45,0.44,0.42,0.45,0.41,0.41,0.44,0.41,0.39,0.39,0.41,0.37,0.38,0.37,0.37,0.37,0.35,0.35,0.36,0.34,0.35,0.32,0.33,0.34,0.34,0.3,0.32,0.29,0.3,0.29,0.31,0.3,0.28,0.29,0.28,0.27,0.31,0.27,0.27,0.26,0.24,0.25,0.25,0.26,0.22,0.23,0.21,0.19,0.19,0.17,0.18,0.17,0.16,0.14,0.14,0.15,0.11,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/19/2021,9.24,7.27,7.22,5.32,3.73,3.21,2.83,2.83,2.33,2.33,1.81,1.67,1.57,1.42,1.33,1.3,1.26,1.31,1.2,1.25,1.05,1.14,1.11,1.03,1.05,0.99,0.95,0.95,0.89,0.85,0.92,0.79,0.75,0.65,0.63,0.64,0.65,0.62,0.65,0.58,0.6,0.56,0.59,0.53,0.51,0.48,0.48,0.48,0.47,0.43,0.44,0.44,0.43,0.42,0.43,0.41,0.4,0.42,0.4,0.38,0.39,0.41,0.37,0.37,0.37,0.37,0.4,0.35,0.35,0.36,0.33,0.35,0.32,0.34,0.34,0.34,0.31,0.32,0.29,0.31,0.29,0.3,0.29,0.28,0.29,0.28,0.27,0.3,0.27,0.27,0.26,0.24,0.25,0.25,0.26,0.22,0.22,0.21,0.19,0.19,0.17,0.18,0.17,0.15,0.14,0.14,0.15,0.12,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/20/2021,9.08,7.34,7.22,5.27,3.72,3.2,2.81,2.82,2.32,2.37,1.84,1.66,1.6,1.46,1.34,1.28,1.24,1.31,1.2,1.28,1.05,1.14,1.13,1.05,1.05,0.99,0.96,0.95,0.89,0.84,0.9,0.8,0.74,0.65,0.62,0.64,0.62,0.61,0.65,0.57,0.59,0.57,0.59,0.53,0.51,0.49,0.47,0.48,0.46,0.44,0.44,0.44,0.43,0.43,0.44,0.4,0.4,0.45,0.4,0.38,0.4,0.42,0.38,0.38,0.36,0.37,0.4,0.34,0.35,0.36,0.34,0.35,0.33,0.34,0.34,0.34,0.29,0.34,0.29,0.31,0.29,0.32,0.29,0.28,0.29,0.27,0.27,0.31,0.28,0.27,0.26,0.24,0.25,0.25,0.27,0.22,0.22,0.2,0.19,0.19,0.17,0.18,0.17,0.16,0.14,0.14,0.15,0.12,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,9.08,7.34,7.22,5.27,3.72,3.2,2.81,2.82,2.32,2.37,1.84,1.66,1.6,1.46,1.34,1.28,1.24,1.31,1.2,1.28,1.05,1.14,1.13,1.05,1.05,0.99,0.96,0.95,0.89,0.84,0.9,0.8,0.74,0.65,0.62,0.64,0.62,0.61,0.65,0.57,0.59,0.57,0.59,0.53,0.51,0.49,0.47,0.48,0.46,0.44,0.44,0.44,0.43,0.43,0.44,0.4,0.4,0.45,0.4,0.38,0.4,0.42,0.38,0.38,0.36,0.37,0.4,0.34,0.35,0.36,0.34,0.35,0.33,0.34,0.34,0.34,0.29,0.34,0.29,0.31,0.29,0.32,0.29,0.28,0.29,0.27,0.27,0.31,0.28,0.27,0.26,0.24,0.25,0.25,0.27,0.22,0.22,0.2,0.19,0.19,0.17,0.18,0.17,0.16,0.14,0.14,0.15,0.12,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,9.08,7.34,7.22,5.27,3.72,3.2,2.81,2.82,2.32,2.37,1.84,1.66,1.6,1.46,1.34,1.28,1.24,1.31,1.2,1.28,1.05,1.14,1.13,1.05,1.05,0.99,0.96,0.95,0.89,0.84,0.9,0.8,0.74,0.65,0.62,0.64,0.62,0.61,0.65,0.57,0.59,0.57,0.59,0.53,0.51,0.49,0.47,0.48,0.46,0.44,0.44,0.44,0.43,0.43,0.44,0.4,0.4,0.45,0.4,0.38,0.4,0.42,0.38,0.38,0.36,0.37,0.4,0.34,0.35,0.36,0.34,0.35,0.33,0.34,0.34,0.34,0.29,0.34,0.29,0.31,0.29,0.32,0.29,0.28,0.29,0.27,0.27,0.31,0.28,0.27,0.26,0.24,0.25,0.25,0.27,0.22,0.22,0.2,0.19,0.19,0.17,0.18,0.17,0.16,0.14,0.14,0.15,0.12,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
