,MORGAN STANLEY LIQ GOVT INST 8302,WTI CRUDE FUTURE Jun21,WTI CRUDE FUTURE May21,WTI CRUDE FUTURE Dec21,WTI CRUDE FUTURE Aug21,WTI CRUDE FUTURE Jul21,CASH,GOLDMAN FS GOVT INST 465,WTI CRUDE FUTURE Sep21,RBC US GOVTT 1 1465,B 0 05/06/21,WTI CRUDE FUTURE Oct21,BNY CASH RESERVE,FIDELITY INVESTMENT MM GOV 1 57,RBC INTEREST ON USD,SUM
07/09/2021,46.56,19.97,19.96,15.06,15.0,14.99,13.03,10.44,10.01,7.77,7.32,5.01,4.17,0.0,0.0,189.29
07/12/2021,46.56,19.97,19.96,15.06,15.0,14.99,13.03,10.44,10.01,7.77,7.32,5.01,4.17,0.0,0.0,189.29
07/13/2021,46.56,19.97,19.96,15.06,15.0,14.99,13.03,10.44,10.01,7.77,7.32,5.01,4.17,0.0,0.0,189.29
07/14/2021,46.56,19.97,19.96,15.06,15.0,14.99,13.03,10.44,10.01,7.77,7.32,5.01,4.17,0.0,0.0,189.29
