,MA,FB,GOOGL,V,RDS.A.MX,ABNB,BHP,RIO,CVS,NFLX,F,MDB,MSFT,DIS,PENN,ADBE,ROKU,AAPL,NVDA,CRWD,CMPS,DOCU,RBLX,ATVI,AMZN,SQ,TEAM,DNMR,BYND,TWLO,BROS,COIN,SHOP,SQM,DDOG,U,ARX.TO,SE,RRC,AFRM,OKTA,TDOC,HUBS,SNOW,WOLF,ZM,SMT.TO,ATAI,GLXY.TO,PTON,TTD,TSLA,ZS,GRWG,TLRY,NET,VLNS.TO,FXFXX,FGXXX,FTRP.TO,n/a,CVX,VALE,LYB,SLB,HBM.TO,SHEL,CENX,LYFT,CVNA,SWN,CRK,SBOW,EQT,ALB,LGO.TO,LAC.TO,SUM
01/11/2022,6.97,5.85,5.77,5.71,5.15,4.48,3.9,2.85,2.71,2.55,2.54,2.52,2.5,2.43,2.37,2.15,2.03,2.02,2.01,1.88,1.61,1.5,1.46,1.39,1.37,1.33,1.31,1.3,1.07,1.0,1.0,0.98,0.98,0.92,0.9,0.9,0.89,0.89,0.8,0.78,0.76,0.72,0.66,0.62,0.52,0.52,0.51,0.51,0.49,0.47,0.45,0.45,0.44,0.43,0.42,0.39,0.24,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/12/2022,6.97,5.84,5.74,5.64,5.21,4.66,4.05,2.94,2.75,2.49,2.54,2.52,2.5,2.45,2.4,2.14,1.89,2.02,1.94,1.9,1.67,1.42,1.38,1.4,1.36,1.31,1.27,1.31,1.09,0.96,0.99,0.97,0.96,0.94,0.9,0.91,0.92,0.86,0.8,0.77,0.74,0.72,0.64,0.63,0.5,0.5,0.52,0.49,0.5,0.49,0.46,0.43,0.44,0.43,0.41,0.4,0.24,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
01/13/2022,6.97,5.84,5.74,5.64,5.21,4.66,4.05,2.94,2.75,2.49,2.54,2.52,2.5,2.45,2.4,2.14,1.89,2.02,1.94,1.9,1.67,1.42,1.38,1.4,1.36,1.31,1.27,1.31,1.09,0.96,0.99,0.97,0.96,0.94,0.9,0.91,0.92,0.86,0.8,0.77,0.74,0.72,0.64,0.63,0.5,0.5,0.52,0.49,0.5,0.49,0.46,0.43,0.44,0.43,0.41,0.4,0.24,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
01/14/2022,7.53,6.09,5.74,5.46,6.49,4.62,4.9,5.63,4.23,2.22,2.48,2.01,2.46,3.18,2.98,2.76,1.91,2.02,0.99,1.42,1.57,1.29,0.93,1.31,2.72,0.61,0.78,1.24,1.08,0.51,1.05,0.98,0.95,0.95,0.31,0.43,0.94,0.0,0.86,0.5,0.51,0.51,0.0,0.0,0.49,0.51,0.39,0.41,0.41,0.49,0.49,0.44,0.0,0.25,0.0,0.0,0.23,0.23,0.23,0.19,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
01/17/2022,7.76,6.08,5.82,5.6,6.73,4.65,5.22,5.85,4.29,2.18,2.6,1.81,2.43,3.2,2.9,2.75,1.77,2.03,0.97,1.3,1.42,1.21,0.85,1.3,2.71,0.58,0.75,1.16,1.13,0.49,0.98,0.96,0.89,1.04,0.28,0.39,1.0,0.0,0.91,0.45,0.51,0.47,0.0,0.0,0.49,0.48,0.4,0.39,0.39,0.44,0.45,0.43,0.0,0.22,0.0,0.0,0.22,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
01/18/2022,7.76,6.08,5.82,5.6,6.73,4.65,5.22,5.85,4.29,2.18,2.6,1.81,2.43,3.2,2.9,2.75,1.77,2.03,0.97,1.3,1.42,1.21,0.85,1.3,2.71,0.58,0.75,1.16,1.13,0.49,0.98,0.96,0.89,1.04,0.28,0.39,1.0,0.0,0.91,0.45,0.51,0.47,0.0,0.0,0.49,0.48,0.4,0.39,0.39,0.44,0.45,0.43,0.0,0.22,0.0,0.0,0.22,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
01/19/2022,7.76,6.08,5.82,5.6,6.73,4.65,5.22,5.85,4.29,2.18,2.6,1.81,2.43,3.2,2.9,2.75,1.77,2.03,0.97,1.3,1.42,1.21,0.85,1.3,2.71,0.58,0.75,1.16,1.13,0.49,0.98,0.96,0.89,1.04,0.28,0.39,1.0,0.0,0.91,0.45,0.51,0.47,0.0,0.0,0.49,0.48,0.4,0.39,0.39,0.44,0.45,0.43,0.0,0.22,0.0,0.0,0.22,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
01/20/2022,7.76,6.08,5.82,5.6,6.73,4.65,5.22,5.85,4.29,2.18,2.6,1.81,2.43,3.2,2.9,2.75,1.77,2.03,0.97,1.3,1.42,1.21,0.85,1.3,2.71,0.58,0.75,1.16,1.13,0.49,0.98,0.96,0.89,1.04,0.28,0.39,1.0,0.0,0.91,0.45,0.51,0.47,0.0,0.0,0.49,0.48,0.4,0.39,0.39,0.44,0.45,0.43,0.0,0.22,0.0,0.0,0.22,0.23,0.23,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
01/21/2022,7.81,6.01,5.8,5.7,7.07,4.4,5.24,5.94,4.32,2.18,2.57,1.82,2.45,3.18,2.74,2.77,1.78,2.03,0.96,1.3,1.4,1.19,0.83,1.7,2.71,0.55,0.75,1.04,1.03,0.47,0.95,0.95,0.9,1.07,0.28,0.38,1.07,0.0,0.89,0.41,0.5,0.46,0.0,0.0,0.48,0.47,0.41,0.34,0.37,0.42,0.42,0.44,0.0,0.2,0.0,0.0,0.2,0.23,0.23,0.18,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
01/24/2022,7.68,6.35,6.56,5.68,8.49,4.4,5.08,6.11,5.48,2.21,2.37,0.49,2.99,3.13,2.77,2.81,1.52,2.0,0.47,1.0,1.14,0.69,0.82,1.69,2.68,0.0,0.0,0.95,0.77,0.47,0.65,0.47,0.74,2.06,0.0,0.0,1.05,0.0,0.86,0.0,0.0,0.46,0.0,0.0,0.46,0.47,0.4,0.24,0.22,0.44,0.0,0.43,0.0,0.2,0.0,0.0,0.19,0.12,0.12,0.18,0.15,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
