,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,688202.SS.14,688202.SS.15,Wti Crude Future Dec21,ATHX,Wti Crude Future Sep21,Bloomberg Wti Crude Oil Balanced Swap - Ms,Bloomberg Wti Crude Oil Balanced Swap - Gs,Bloomberg Wti Crude Oil Balanced Swap - Ubs,Bloomberg Wti Crude Oil Balanced Swap - Sg,Bloomberg Wti Crude Oil Balanced Swap - Cit,Bloomberg Wti Crude Oil Balanced Swap - Cit - Cash Offset,Bloomberg Wti Crude Oil Balanced Swap - Sg - Cash Offset,Bloomberg Wti Crude Oil Balanced Swap - Ubs - Cash Offset,Bloomberg Wti Crude Oil Balanced Swap - Gs - Cash Offset,Bloomberg Wti Crude Oil Balanced Swap - Ms - Cash Offset,Wti Crude Future Sep21 - Cash Offset,Wti Crude Future Jun22 - Cash Offset,Wti Crude Future Dec21 - Cash Offset,SUM
07/09/2021,100.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/26/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999996
07/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.28,45.68,45.29,19.15,14.79,14.69,9.86,4.17,-4.17,-9.86,-14.69,-14.79,-19.15,-45.29,-45.68,-46.28,99.99999999999997
