,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust C 3.89,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust P 389.48,US Dollar,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust P 350.53,2022-03-18 SPDRu00ae S&P 500u00ae ETF Trust C 444.79,SUM
07/09/2021,101.73,3.17,0.83,-1.81,-3.92,100.0
07/12/2021,102.14,3.01,0.83,-1.71,-4.26,100.01
07/13/2021,102.14,3.01,0.83,-1.71,-4.26,100.01
07/22/2021,100.97,3.97,0.84,-2.29,-3.49,100.0
07/23/2021,100.97,3.97,0.84,-2.29,-3.49,100.0
