,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,BRK.B,JPM,JNJ,UNH,V,PG,HD,PYPL,DIS,ADBE,BAC,MA,CMCSA,PFE,NFLX,CRM,CSCO,TMO,XOM,VZ,KO,ACN,PEP,INTC,ABT,DHR,NKE,LLY,WMT,AVGO,T,COST,ABBV,WFC,MRK,CVX,TXN,MCD,MDT,LIN,PM,QCOM,HON,NEE,INTU,ORCL,UNP,MS,GS,LOW,UPS,BMY,C,ISRG,BLK,SBUX,NOW,AMGN,AMT,SPGI,TGT,BA,AMD,CAT,RTX,IBM,CHTR,AMAT,MRNA,CVS,MMM,AXP,DE,ANTM,GE,SCHW,LMT,PLD,BKNG,EL,ZTS,ADI,ADP,MO,EQIX,n/a,MMC,LRCX,CCI,SHW,GILD,PNC,TJX,CI,TMUS,REGN,SYK,CB,MDLZ,CME,DUK,FDX,MU,NVR,BDX,COP,TFC,ROP,AON,EW,CSX,ICE,ETN,NSC,FIS,HCA,USB,ITW,ADSK,APD,FISV,ECL,WM,SO,CL,ILMN,COF,DG,TT,GD,BSX,IDXX,ATVI,HUM,EMR,NXPI,PGR,LHX,TROW,JCI,CMG,DXCM,MCO,GM,MSCI,IQV,D,VRTX,NOC,ALGN,SBAC,FCX,A,GPN,PPG,TRV,TWTR,ROK,PSA,CDNS,DLR,BIIB,F,SNPS,KLAC,AIG,KSU,ODFL,APTV,PXD,EXC,EA,NEM,PH,RMD,CARR,ORLY,TEL,MET,IFF,FTNT,EBAY,PRU,MCHP,DOW,MTD,IT,XLNX,LH,APH,AZO,BK,SPG,FLT,SIVB,MAR,SRE,AMP,ANSS,AEP,ALL,YUM,XEL,EOG,INFO,CNC,CTAS,HPQ,WST,BAX,MSI,CTSH,KMB,ADM,STZ,DD,ROST,HLT,SUM
09/06/2021,6.29,5.91,3.9,2.35,2.29,2.1,1.49,1.47,1.42,1.27,1.21,1.05,0.99,0.93,0.92,0.88,0.87,0.85,0.81,0.78,0.75,0.69,0.68,0.67,0.66,0.62,0.61,0.61,0.58,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.46,0.46,0.44,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.74000000000001
09/07/2021,6.29,5.91,3.9,2.35,2.29,2.1,1.49,1.47,1.42,1.27,1.21,1.05,0.99,0.93,0.92,0.88,0.87,0.85,0.81,0.78,0.75,0.69,0.68,0.67,0.66,0.62,0.61,0.61,0.58,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.46,0.46,0.44,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.74000000000001
09/08/2021,6.32,5.91,3.92,2.35,2.3,2.11,1.49,1.49,1.4,1.26,1.21,1.05,1.0,0.93,0.92,0.89,0.86,0.85,0.81,0.78,0.74,0.69,0.69,0.68,0.66,0.62,0.61,0.61,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.52,0.5,0.49,0.48,0.48,0.46,0.46,0.43,0.44,0.43,0.44,0.43,0.42,0.4,0.41,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69000000000001
09/09/2021,6.32,5.91,3.92,2.35,2.3,2.11,1.49,1.49,1.4,1.26,1.21,1.05,1.0,0.93,0.92,0.89,0.86,0.85,0.81,0.78,0.74,0.69,0.69,0.68,0.66,0.62,0.61,0.61,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.52,0.5,0.49,0.48,0.48,0.46,0.46,0.43,0.44,0.43,0.44,0.43,0.42,0.4,0.41,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69000000000001
09/10/2021,6.43,5.91,3.97,2.4,2.31,2.12,1.54,1.49,1.39,1.27,1.19,1.04,1.01,0.93,0.92,0.91,0.88,0.84,0.82,0.79,0.73,0.69,0.71,0.68,0.66,0.62,0.61,0.6,0.57,0.57,0.56,0.57,0.56,0.55,0.55,0.54,0.54,0.54,0.52,0.5,0.48,0.49,0.47,0.46,0.46,0.43,0.44,0.44,0.44,0.43,0.41,0.4,0.41,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.29,0.3,0.32,0.28,0.27,0.28,0.27,0.28,0.26,0.26,0.25,0.25,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.83000000000001
09/13/2021,6.36,5.88,3.96,2.38,2.31,2.12,1.55,1.46,1.4,1.27,1.17,1.03,1.02,0.93,0.94,0.89,0.89,0.85,0.82,0.81,0.72,0.68,0.7,0.67,0.66,0.63,0.61,0.6,0.58,0.57,0.57,0.57,0.56,0.55,0.56,0.51,0.54,0.54,0.52,0.51,0.47,0.49,0.46,0.46,0.46,0.44,0.44,0.44,0.43,0.43,0.41,0.41,0.42,0.39,0.38,0.38,0.37,0.37,0.35,0.35,0.36,0.35,0.34,0.35,0.33,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.29,0.3,0.33,0.28,0.27,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.72000000000001
09/14/2021,6.36,5.88,3.96,2.38,2.31,2.12,1.55,1.46,1.4,1.27,1.17,1.03,1.02,0.93,0.94,0.89,0.89,0.85,0.82,0.81,0.72,0.68,0.7,0.67,0.66,0.63,0.61,0.6,0.58,0.57,0.57,0.57,0.56,0.55,0.56,0.51,0.54,0.54,0.52,0.51,0.47,0.49,0.46,0.46,0.46,0.44,0.44,0.44,0.43,0.43,0.41,0.41,0.42,0.39,0.38,0.38,0.37,0.37,0.35,0.35,0.36,0.35,0.34,0.35,0.33,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.29,0.3,0.33,0.28,0.27,0.28,0.27,0.27,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.72000000000001
09/15/2021,6.19,5.89,3.97,2.4,2.29,2.09,1.52,1.49,1.4,1.27,1.17,1.01,1.01,0.94,0.94,0.89,0.89,0.85,0.81,0.81,0.73,0.68,0.71,0.66,0.65,0.63,0.61,0.6,0.58,0.58,0.57,0.58,0.57,0.56,0.56,0.51,0.54,0.55,0.52,0.51,0.47,0.49,0.46,0.46,0.47,0.44,0.44,0.44,0.44,0.43,0.41,0.41,0.42,0.4,0.38,0.38,0.37,0.38,0.36,0.35,0.36,0.34,0.34,0.35,0.33,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.29,0.3,0.33,0.28,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.23,0.24,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.60000000000002
09/16/2021,6.2,5.91,3.95,2.39,2.31,2.11,1.53,1.47,1.41,1.28,1.16,1.04,1.01,0.95,0.95,0.88,0.89,0.83,0.82,0.81,0.73,0.67,0.69,0.66,0.65,0.62,0.63,0.61,0.58,0.58,0.57,0.59,0.56,0.54,0.55,0.51,0.53,0.55,0.53,0.51,0.48,0.51,0.45,0.47,0.48,0.44,0.43,0.44,0.43,0.43,0.41,0.41,0.41,0.39,0.37,0.38,0.38,0.38,0.36,0.35,0.36,0.34,0.34,0.35,0.33,0.32,0.33,0.33,0.32,0.32,0.31,0.3,0.31,0.31,0.29,0.31,0.31,0.28,0.27,0.29,0.27,0.27,0.27,0.26,0.26,0.24,0.26,0.25,0.23,0.25,0.22,0.22,0.22,0.25,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.67
09/17/2021,6.18,6.0,3.96,2.4,2.32,2.12,1.54,1.48,1.41,1.27,1.16,1.04,1.01,0.95,0.95,0.89,0.89,0.84,0.81,0.81,0.68,0.67,0.68,0.66,0.66,0.63,0.62,0.61,0.58,0.58,0.57,0.59,0.56,0.55,0.55,0.5,0.53,0.56,0.53,0.51,0.47,0.51,0.45,0.46,0.48,0.45,0.44,0.44,0.43,0.43,0.41,0.41,0.42,0.38,0.37,0.38,0.37,0.38,0.35,0.35,0.36,0.35,0.33,0.35,0.33,0.32,0.33,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.28,0.31,0.32,0.28,0.27,0.28,0.26,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.23,0.25,0.22,0.22,0.22,0.26,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.19,0.19,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.16,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75000000000001
