,688202.SS,688202.SS.1,Cash,688202.SS.2,688202.SS.3,CIT,MXIM,ATH,XLNX,INFO,PRAH,IPL.TO,SJR.B.TO,UDG.L,WRI,WBT,CNST,NUAN,USCR,GRA,PFPT,RAVN,HOME,CLDR,688202.SS.4,CAI,CORE,QTS,UFS,PPD,LMNX,SEV.PA,FRTA,MGLN,MNR,DLG.DE,ORBC,VER,SPWH,CADE,PNM,PBCT,AJRD,FBC,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,S&P Merger Arbitrage Short Sub-Index Swap Societe Generale - Cash Offset,S&P Merger Arbitrage Long Index Swap Societe Generale,Canadian Dollar/Us Dollar Forward Goldman Sachs International - Cash Offset,Currency Contract - Eur/Us Dollar Forward Goldman Sachs International - Cas,British Pound/Us Dollar Forward Goldman Sachs International - Cash Offset,S&P Merger Arbitrage Short Sub-Index Swap Citibank Na - Cash Offset,S&P Merger Arbitrage Long Sub-Index Swap Citibank Na,S&P Merger Arbitrage Long Sub-Index Swap Citibank Na - Cash Offset,S&P Merger Arbitrage Short Sub-Index Swap Citibank Na,British Pound/Us Dollar Forward Goldman Sachs International,Currency Contract - Eur/Us Dollar Forward Goldman Sachs International,Canadian Dollar/Us Dollar Forward Goldman Sachs International,S&P Merger Arbitrage Long Index Swap Societe Generale - Cash Offset,S&P Merger Arbitrage Short Sub-Index Swap Societe Generale,SUM
07/09/2021,42.15,25.27,8.81,4.86,4.51,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,2.34,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/13/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/14/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/15/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/16/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/19/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/20/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/21/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
07/22/2021,0.0,0.0,8.81,0.0,0.0,4.27,3.24,3.06,2.54,2.5,2.47,2.43,2.42,2.4,2.39,2.37,2.36,2.36,2.35,2.34,2.34,2.34,2.34,2.34,0.0,2.33,2.33,2.32,2.32,2.31,2.27,2.27,2.26,2.26,2.26,2.25,2.24,2.23,2.22,2.17,2.14,2.08,2.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15,25.27,4.86,4.51,2.34,0.02,0.02,-0.02,-0.02,-2.34,-4.51,-4.86,-25.27,-42.15,99.99999999999996
