,Cash,Dj U.S. Basic Materials Index Swap Societe Generale - Cash Offset,Dj U.S. Basic Materials Index Swap Ubs Ag - Cash Offset,Dj U.S. Basic Materials Index Swap Morgan Stanley & Co. International Plc -,Dj U.S. Basic Materials Index Swap Bank Of America Na - Cash Offset,Dj U.S. Basic Materials Index Swap Bank Of America Na,Dj U.S. Basic Materials Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Basic Materials Index Swap Ubs Ag,Dj U.S. Basic Materials Index Swap Societe Generale,SUM
07/09/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/12/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/13/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/14/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/15/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/16/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/19/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.0
07/20/2021,100.0,81.51,65.54,31.55,21.99,-21.99,-31.55,-65.54,-81.51,100.00000000000001
