,HTO.AT,EUROB.AT,OPAP.AT,ALPHA.AT,PPC.AT,ETE.AT,TPEIR.AT,MYTIL.AT,MOH.AT,TITC.BR,TENERGY.AT,GEKTERNA.AT,LAMDA.AT,BELA.AT,GOFPY,ELPE.AT,EYDAP.AT,SAR.AT,ADMIE.AT,AEGN.AT,EXAE.AT,ELLAKTOR.AT,JUMSY,MOHCY,MYTHY,TNP,CASH,FFGRP.AT,FLLIY,ELLAKTOR SA - RTS,n/a,PVMEZZ GA,TITC GA,FRGXX,SUM
07/09/2021,16.36,10.56,9.75,6.8,4.59,4.51,4.13,3.82,3.7,3.64,3.25,3.07,3.06,2.73,2.45,2.26,2.16,2.02,1.94,1.69,1.57,1.55,1.47,0.96,0.9,0.89,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,16.4,10.57,9.98,6.78,4.58,4.44,4.12,3.75,3.69,3.63,3.21,3.03,3.1,2.75,2.48,2.21,2.16,2.02,1.93,1.68,1.58,1.54,1.48,0.95,0.88,0.9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,16.4,10.57,9.98,6.78,4.58,4.44,4.12,3.75,3.69,3.63,3.21,3.03,3.1,2.75,2.48,2.21,2.16,2.02,1.93,1.68,1.58,1.54,1.48,0.95,0.88,0.9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,16.27,10.38,9.84,7.33,4.49,4.46,4.2,3.74,3.65,3.63,3.16,3.06,3.08,2.74,2.49,2.23,2.17,2.02,1.95,1.66,1.57,1.52,1.47,0.94,0.88,0.9,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,16.27,10.42,9.56,7.58,4.48,4.46,4.16,3.73,3.64,3.58,3.12,3.05,3.07,2.69,2.38,2.17,2.12,1.98,1.92,1.67,1.61,1.51,1.45,0.94,0.88,0.87,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,16.03,10.48,9.44,7.72,4.56,4.63,4.09,3.7,3.67,3.67,3.14,3.06,3.07,2.65,2.44,2.17,2.1,1.98,1.91,1.62,1.58,1.48,1.42,0.95,0.87,0.83,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/19/2021,15.75,10.02,8.84,11.36,4.39,4.32,3.95,3.55,3.43,3.47,3.03,3.0,3.03,2.53,2.41,2.07,2.04,1.95,1.88,1.55,1.5,1.52,1.45,0.93,0.88,0.85,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/20/2021,15.75,10.02,8.84,11.36,4.39,4.32,3.95,3.55,3.43,3.47,3.03,3.0,3.03,2.53,2.41,2.07,2.04,1.95,1.88,1.55,1.5,1.52,1.45,0.93,0.88,0.85,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/21/2021,15.9,10.03,8.78,11.44,4.41,4.32,3.96,3.53,3.41,3.43,3.02,3.06,3.21,2.51,2.35,2.12,2.01,1.92,1.87,1.58,1.5,1.3,1.44,0.93,0.87,0.82,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,16.25,9.66,8.8,11.19,4.42,4.16,3.92,3.52,3.41,3.51,2.96,3.04,3.18,2.49,2.4,2.14,2.04,1.99,1.89,1.58,1.49,1.29,1.43,0.93,0.87,0.81,0.41,0.0,0.0,0.21,0.0,0.0,0.0,0.0,99.99
07/23/2021,16.34,9.53,8.87,11.17,4.35,4.23,3.89,3.5,3.39,3.53,2.99,3.05,3.25,2.48,2.44,2.09,2.03,1.98,1.91,1.55,1.49,1.28,1.42,0.92,0.87,0.84,0.4,0.0,0.0,0.21,0.0,0.0,0.0,0.0,100.0
07/26/2021,16.13,9.43,8.96,11.24,4.37,4.23,3.92,3.52,3.38,3.63,2.99,3.02,3.23,2.54,2.45,2.1,2.02,1.94,1.92,1.54,1.48,1.28,1.46,0.92,0.87,0.81,0.39,0.0,0.0,0.22,0.0,0.0,0.0,0.0,99.99000000000002
07/27/2021,16.24,9.46,8.96,11.19,4.37,4.16,3.91,3.53,3.41,3.6,3.0,3.05,3.22,2.54,2.42,2.09,2.03,1.93,1.9,1.57,1.5,1.27,1.45,0.93,0.88,0.81,0.39,0.0,0.0,0.21,0.0,0.0,0.0,0.0,100.02
07/29/2021,16.04,9.55,8.83,11.13,4.44,4.17,3.86,3.58,3.41,3.54,2.96,3.03,3.26,2.5,2.36,2.08,2.09,1.92,1.87,1.58,1.48,1.32,1.45,0.93,0.89,0.8,0.69,0.0,0.0,0.25,0.0,0.0,0.0,0.0,100.01
