,CRWD,ZS,FTNT,PANW,OKTA,NLOK,CHKP,VRNS,RPD,CYBR,AVST.L,FEYE,4704.T,SAIL,PFPT,MCFE,TENB,QLYS,MIME,TLS,PING,RDWR,2326.T,OSPN,ATEN,ABST.TO,053800.KQ,INTZ,ZIXI,TUFN,4493.T,VHC,CASH,n/a,MNDT,FEYECHF,B 0 09.07.21,DARK.L,SCWX,S,SUM
07/09/2021,7.27,6.91,6.26,5.96,5.47,5.13,4.98,4.94,4.6,4.47,4.25,4.22,4.15,3.95,3.9,3.88,3.76,3.49,2.92,1.76,1.57,1.2,0.87,0.84,0.75,0.58,0.53,0.34,0.34,0.28,0.26,0.24,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.24,6.99,6.32,5.89,5.52,5.05,5.08,4.85,4.65,4.49,4.21,4.27,4.26,3.86,3.89,3.83,3.7,3.5,2.97,1.72,1.64,1.19,0.88,0.84,0.74,0.57,0.51,0.29,0.33,0.27,0.25,0.23,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,7.24,6.99,6.32,5.89,5.52,5.05,5.08,4.85,4.65,4.49,4.21,4.27,4.26,3.86,3.89,3.83,3.7,3.5,2.97,1.72,1.64,1.19,0.88,0.84,0.74,0.57,0.51,0.29,0.33,0.27,0.25,0.23,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,7.21,6.93,6.33,5.9,5.47,5.07,5.25,4.88,4.7,4.51,4.17,4.22,4.14,3.86,3.87,3.82,3.67,3.45,3.02,1.7,1.63,1.19,0.87,0.85,0.76,0.59,0.5,0.28,0.33,0.28,0.25,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,7.17,6.97,6.34,5.91,5.36,5.03,5.22,4.84,4.72,4.52,4.25,4.22,4.24,3.89,3.89,3.81,3.63,3.41,2.99,1.78,1.62,1.19,0.89,0.82,0.73,0.58,0.51,0.25,0.33,0.32,0.25,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,7.18,6.97,6.39,5.92,5.46,5.03,5.25,4.81,4.71,4.57,4.29,4.15,4.26,3.85,3.89,3.79,3.61,3.41,2.97,1.74,1.59,1.22,0.88,0.82,0.72,0.58,0.51,0.23,0.33,0.29,0.25,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,7.01,6.88,6.52,6.05,5.32,4.89,5.39,4.68,4.75,4.46,5.19,4.03,4.34,3.67,4.0,3.54,3.58,3.29,2.97,1.7,1.56,1.2,0.89,0.81,0.73,0.57,0.52,0.24,0.32,0.31,0.25,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,7.01,6.88,6.52,6.05,5.32,4.89,5.39,4.68,4.75,4.46,5.19,4.03,4.34,3.67,4.0,3.54,3.58,3.29,2.97,1.7,1.56,1.2,0.89,0.81,0.73,0.57,0.52,0.24,0.32,0.31,0.25,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,7.01,6.92,6.56,6.04,5.27,4.91,5.33,4.76,4.78,4.44,5.27,4.02,4.34,3.72,3.99,3.55,3.56,3.32,2.97,1.63,1.54,1.19,0.87,0.81,0.7,0.57,0.51,0.26,0.32,0.28,0.25,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,7.01,6.97,6.5,6.05,5.38,4.9,5.26,4.79,4.85,4.49,5.17,4.06,4.36,3.73,3.99,3.57,3.58,3.3,2.97,1.55,1.53,1.18,0.87,0.81,0.7,0.57,0.5,0.22,0.33,0.28,0.26,0.23,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
