,GOOG,GOOGL,AAPL,MSFT,JBL,AVGO,TDC,HPQ,WMT,AMKR,TSLA,IT,ARW,APA,TGT,ABBV,ACN,HD,IPG,BOX,SNPS,REGN,PFE,VZ,V,JNJ,ADM,CDNS,MANH,VIRT,DFS,AMZN,ABC,AN,CTSH,AVTR,ON,CVS,F,FDS,PIPR,BTU,EVR,XOM,KO,AA,MCK,GPI,OMF,CF,RDN,BG,QCOM,PG,CAH,HOLX,EVH,GILD,CVX,ATKR,BMY,OVV,WFC,CNC,GD,UNVR,RRR,LSTR,AIG,ACGL,C,KEY,JPM,FNF,LMT,HRB,RE,ICUI,MA,OAS,CAR,ALSN,BCC,COOP,VRTX,NRG,DTE,AVA,WY,UPS,M,AMGN,NOC,WH,CWK,NUE,MOS,DY,OC,EXR,WIRE,WLK,POR,BLDR,PCH,MATX,CBRE,SCCO,SCI,JLL,ESS,UNIT,KFY,SKY,ABM,TWNK,RHI,NSP,WHR,RL,TPR,FGXXX,LYV,MLI,ALLK,KOD,TPTX,VFC,PRPL,TGTX,ALLO,MLKN,ADPT,CLVT,NVTA,MSA,DRVN,YETI,PTON,DECK,ELY,UPWK,RDFN,BBIO,SKIN,AMRS,TSP,LVS,KWR,BAND,FUBO,COLD,SMG,OPEN,KRG,EQC,ACCD,ATR,DBRG,DKNG,ZG,Z,O,PEB,HL,MP,NG,RGLD,VICR,RRX,LYFT,SHAK,RCL,COUR,VTR,KEX,MRCY,TRTN,UAL,RUN,NCLH,GSHD,KTOS,GTLS,CHPT,SWN,VRT,AGO,AVAV,BA,ONEM,AMRC,PLUG,XPO,BE,AXON,SIVB,WAL,KMPR,ONB,CBOE,HWC,MSM,PBF,NVT,CMC,CTAS,BCRX,SI,NOVA,TWST,TRUP,OLED,APLS,SUM
04/08/2022,4.54,4.26,4.07,3.79,3.07,3.04,2.58,2.53,2.41,2.38,2.22,2.22,2.17,2.11,2.06,2.02,2.01,1.99,1.93,1.85,1.84,1.81,1.81,1.75,1.7,1.7,1.69,1.69,1.65,1.61,1.56,1.56,1.55,1.52,1.5,1.47,1.47,1.46,1.46,1.41,1.38,1.36,1.36,1.33,1.32,1.31,1.29,1.29,1.29,1.29,1.28,1.28,1.26,1.18,1.13,1.1,1.1,1.09,1.08,1.08,1.06,1.05,1.04,1.01,0.98,0.93,0.92,0.92,0.91,0.9,0.89,0.89,0.89,0.89,0.86,0.86,0.85,0.84,0.84,0.83,0.82,0.8,0.8,0.78,0.77,0.77,0.76,0.75,0.74,0.74,0.74,0.72,0.72,0.71,0.7,0.69,0.69,0.69,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.64,0.63,0.62,0.61,0.61,0.59,0.57,0.46,0.45,0.45,0.44,0.43,0.38,0.37,0.35,0.33,0.14,0.08,0.04,-0.02,-0.02,-0.05,-0.06,-0.07,-0.07,-0.1,-0.1,-0.12,-0.12,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.14,-0.14,-0.15,-0.15,-0.15,-0.15,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.75
04/21/2022,3.99,3.75,3.75,3.37,2.85,2.77,2.4,2.57,2.44,2.16,2.52,2.17,2.03,2.16,2.22,1.95,1.83,1.94,1.86,1.93,1.62,1.88,1.83,1.75,1.56,1.68,1.76,1.51,1.58,1.53,1.46,1.79,1.56,1.53,1.25,1.43,1.37,1.48,0.6,1.31,0.0,1.75,1.24,1.38,1.34,1.28,1.32,0.73,1.23,1.32,1.28,1.38,1.09,1.18,1.23,1.06,1.06,1.1,0.68,1.03,1.08,1.05,0.84,1.01,0.97,0.88,0.88,0.93,0.9,0.91,0.86,0.84,0.0,0.8,0.88,0.87,0.8,1.03,0.8,0.85,0.77,0.72,0.8,0.76,1.01,0.78,0.76,0.71,0.76,0.69,0.75,0.73,0.76,0.72,0.63,0.75,0.76,0.7,0.67,0.68,0.0,0.65,0.56,0.63,0.64,0.59,0.58,0.6,0.63,0.58,0.57,0.54,0.0,0.42,0.47,0.44,0.35,0.36,0.0,0.33,0.31,0.11,0.08,0.0,-0.01,-0.02,-0.06,-0.06,-0.06,-0.06,-0.09,-0.1,-0.09,-0.11,-0.09,-0.11,-0.12,-0.11,-0.11,-0.12,-0.12,-0.11,-0.11,-0.12,-0.13,-0.14,-0.14,-0.15,-0.14,-0.14,-0.13,-0.16,-0.16,-0.18,-0.17,-0.16,-0.13,-0.17,-0.17,-0.15,-0.16,-0.16,-0.18,-0.17,-0.19,-0.15,-0.18,-0.17,-0.16,-0.18,-0.18,-0.17,-0.19,-0.18,-0.18,-0.2,-0.19,-0.19,-0.21,-0.15,-0.19,-0.18,-0.19,-0.21,-0.15,0.0,-0.17,0.0,0.0,0.0,-0.21,-0.15,-0.17,-0.2,-0.18,-0.21,0.0,0.0,0.0,0.0,1.24,0.71,0.69,0.63,0.46,0.43,0.33,-0.17,-0.18,-0.19,-0.2,-0.21,-0.21,-0.22,138.51000000000002
