,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,NVDA,TSLA,JPM,JNJ,V,UNH,BRK.B,NESN.SW,HD,MA,PG,PYPL,DIS,BAC,ADBE,ASML.AS,XOM,ROG.SW,CMCSA,NFLX,VZ,CRM,INTC,CSCO,MC.PA,KO,PFE,WMT,T,ABT,ABBV,PEP,NOVN.SW,TMO,NKE,CVX,MRK,ACN,LLY,AVGO,DHR,COST,WFC,MCD,SHOP,TXN,MDT,QCOM,ORCL,AZN.L,PM,HON,BMY,LIN,UPS,ULVR.L,1299.HK,NOVO B.CO,SAP.DE,RY.TO,NEE,C,LOW,UNP,BLK,SBUX,AMGN,INTU,RTX,TD.TO,CBA.AX,BA,MS,AMAT,IBM,GS,TGT,AMT,Cash & Cash Equivalents,HSBA.L,SIE.DE,CAT,SAN.PA,AMD,ISRG,MMM,AXP,DGE.L,OR.PA,GE,TTE.PA,BHP.AX,NOW,CVS,DE,SCHW,ALV.DE,GSK.L,SPGI,CHTR,SQ,ANTM,ZTS,CSL.AX,FIS,LMT,TMUS,BKNG,PLD,MU,MDLZ,SYK,LRCX,SU.PA,MO,RIO.L,BP.L,ADP,RDSA.AS,CI,CCI,GILD,COP,AI.PA,BATS.L,TJX,PNC,ENB.TO,ZM,AIR.PA,ENEL.MI,USB,BNS.TO,IBE.MC,DUK,GM,CME,MRNA,BDX,CNR.TO,CB,DAI.DE,EQIX,388.HK,MMC,EL,ATVI,FDX,COF,TFC,CSX,ILMN,DTE.DE,BAS.DE,ITW,WBC.AX,ADS.DE,RYDBF,DPW.DE,NSC,MELI,BNP.PA,EW,BMO.TO,SHW,BAM.A.TO,ADSK,SAN.MC,KER.PA,SO,MCO,ICE,SNAP,NAB.AX,RITN.,BX,RKT.L,ADI,ABBN.SW,ETN,CL,TWLO,BSX,APD,UBER,HUM,FISV,HCA,ANZ.AX,BHP.L,BAYN.DE,WM,D,REGN,ZURN.SW,PGR,NXPI,GPN,LONN.SW,UBSG.SW,AON,ECL,GE.,n/a,EMR,PRX.AS,BAM,ADYEN.AS,CFR.SW,DOCU,EL.PA,SNOW,IDXX,SUM
07/09/2021,4.38,3.66,2.89,1.55,1.42,1.38,0.95,0.93,0.86,0.8,0.74,0.72,0.7,0.67,0.63,0.62,0.61,0.6,0.59,0.57,0.53,0.52,0.48,0.48,0.47,0.44,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.49000000000001
07/12/2021,4.45,3.64,2.91,1.53,1.41,1.37,0.91,0.92,0.87,0.8,0.73,0.72,0.7,0.67,0.63,0.61,0.61,0.61,0.59,0.57,0.54,0.53,0.48,0.48,0.47,0.44,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.38,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.37,0.35,0.36,0.33,0.34,0.32,0.33,0.31,0.31,0.32,0.29,0.31,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.25,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.510000000000005
07/13/2021,4.45,3.64,2.91,1.53,1.41,1.37,0.91,0.92,0.87,0.8,0.73,0.72,0.7,0.67,0.63,0.61,0.61,0.61,0.59,0.57,0.54,0.53,0.48,0.48,0.47,0.44,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.38,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.37,0.35,0.36,0.33,0.34,0.32,0.33,0.31,0.31,0.32,0.29,0.31,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.25,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.510000000000005
07/15/2021,4.42,3.62,2.9,1.54,1.42,1.38,0.93,0.96,0.88,0.8,0.73,0.72,0.7,0.67,0.63,0.61,0.61,0.61,0.62,0.57,0.53,0.53,0.48,0.48,0.47,0.44,0.42,0.4,0.42,0.41,0.41,0.4,0.4,0.39,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.33,0.33,0.33,0.32,0.31,0.32,0.32,0.29,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.25,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.55000000000001
07/16/2021,4.47,3.68,2.88,1.54,1.43,1.39,0.92,0.93,0.87,0.8,0.75,0.73,0.7,0.67,0.62,0.63,0.61,0.61,0.62,0.56,0.54,0.54,0.47,0.48,0.47,0.44,0.42,0.41,0.42,0.41,0.41,0.41,0.4,0.39,0.37,0.38,0.38,0.39,0.38,0.37,0.37,0.37,0.36,0.37,0.35,0.36,0.33,0.33,0.32,0.33,0.31,0.32,0.31,0.29,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.26,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.71000000000001
07/19/2021,4.58,3.7,2.85,1.52,1.44,1.39,0.87,0.91,0.87,0.8,0.77,0.73,0.7,0.67,0.64,0.64,0.62,0.6,0.62,0.55,0.54,0.54,0.46,0.48,0.48,0.44,0.42,0.4,0.42,0.41,0.41,0.42,0.41,0.4,0.38,0.38,0.38,0.39,0.38,0.37,0.37,0.36,0.36,0.37,0.35,0.36,0.33,0.34,0.33,0.33,0.3,0.31,0.31,0.29,0.3,0.28,0.29,0.3,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.24,0.22,0.23,0.23,0.23,0.23,0.26,0.21,0.21,0.21,0.21,0.19,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74000000000001
07/22/2021,4.5,3.73,2.86,1.52,1.45,1.4,0.88,0.93,0.84,0.81,0.76,0.73,0.7,0.69,0.64,0.61,0.64,0.61,0.6,0.54,0.55,0.53,0.44,0.5,0.48,0.45,0.43,0.41,0.42,0.42,0.4,0.43,0.42,0.4,0.38,0.39,0.39,0.4,0.38,0.39,0.37,0.35,0.37,0.37,0.36,0.36,0.35,0.35,0.33,0.33,0.31,0.32,0.31,0.3,0.31,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.29,0.28,0.27,0.28,0.26,0.27,0.26,0.25,0.26,0.26,0.24,0.23,0.22,0.23,0.21,0.23,0.22,0.23,0.22,0.24,0.23,0.26,0.21,0.21,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.14,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.19,0.14,0.14,0.14,0.13,0.14,0.15,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.86000000000001
07/23/2021,4.56,3.72,2.84,1.52,1.45,1.4,0.86,0.94,0.85,0.81,0.76,0.73,0.7,0.68,0.65,0.62,0.63,0.61,0.6,0.54,0.55,0.53,0.44,0.49,0.47,0.44,0.42,0.41,0.42,0.42,0.4,0.42,0.42,0.4,0.37,0.39,0.38,0.4,0.38,0.38,0.37,0.35,0.36,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.29,0.32,0.28,0.28,0.3,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.26,0.28,0.26,0.27,0.26,0.25,0.26,0.26,0.25,0.24,0.22,0.23,0.22,0.24,0.22,0.23,0.23,0.24,0.23,0.26,0.21,0.21,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.14,0.16,0.14,0.16,0.16,0.16,0.14,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.18,0.14,0.14,0.14,0.13,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.12,0.11,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.84
07/26/2021,4.51,3.76,2.85,1.54,1.46,1.4,0.89,0.91,0.84,0.8,0.75,0.72,0.69,0.66,0.64,0.62,0.61,0.62,0.59,0.54,0.55,0.56,0.45,0.47,0.47,0.42,0.42,0.43,0.42,0.42,0.4,0.42,0.42,0.39,0.37,0.38,0.38,0.39,0.37,0.38,0.38,0.35,0.36,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.3,0.31,0.3,0.32,0.33,0.28,0.3,0.29,0.28,0.28,0.26,0.27,0.28,0.26,0.26,0.27,0.26,0.27,0.26,0.25,0.27,0.25,0.25,0.24,0.22,0.23,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.32,0.21,0.22,0.21,0.21,0.2,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.19,0.14,0.14,0.14,0.13,0.13,0.16,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.0,0.12,0.11,0.13,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82000000000001
07/29/2021,4.53,3.75,2.87,1.62,1.51,1.45,0.87,0.91,0.84,0.8,0.76,0.71,0.69,0.66,0.64,0.63,0.62,0.62,0.59,0.53,0.55,0.57,0.45,0.46,0.48,0.42,0.41,0.43,0.4,0.42,0.41,0.42,0.42,0.39,0.37,0.38,0.38,0.39,0.37,0.38,0.38,0.35,0.36,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.29,0.3,0.32,0.28,0.29,0.28,0.28,0.27,0.26,0.26,0.28,0.26,0.26,0.27,0.26,0.26,0.25,0.24,0.27,0.25,0.25,0.24,0.22,0.23,0.22,0.24,0.23,0.23,0.23,0.24,0.23,0.28,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.15,0.17,0.16,0.17,0.17,0.16,0.17,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.13,0.14,0.2,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.14,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.12,0.11,0.13,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.86000000000001
