,MSOS,IIPR,SMG,GRWG,VFF.TO,MAPS,TLRY,AFCG,AGFY,WEED.TO,FAF.TO,CRON.TO,HITI.V,HYFM,VLNS.TO,PW,JAZZ,OGI.TO,CRDL.TO,CLVR,HEXO.TO,CWEB.TO,n/a,SUM
10/15/2021,10.97,9.38,8.88,6.5,6.23,6.2,5.65,4.75,4.52,4.43,4.4,4.32,4.26,4.14,4.07,2.77,2.05,1.98,1.53,0.98,0.96,0.82,0.19,99.98
10/18/2021,10.7,9.77,8.81,6.05,6.37,6.36,5.74,4.94,4.71,4.64,4.56,4.45,4.2,3.9,3.81,3.0,2.1,2.04,1.71,0.96,0.84,0.8,-0.48,99.98
10/19/2021,10.7,9.77,8.81,6.05,6.37,6.36,5.74,4.94,4.71,4.64,4.56,4.45,4.2,3.9,3.81,3.0,2.1,2.04,1.71,0.96,0.84,0.8,-0.48,99.98
10/20/2021,10.74,9.8,8.96,6.14,6.27,6.24,5.76,5.12,4.42,4.61,4.48,4.5,4.27,3.93,3.56,2.97,2.19,2.03,1.77,0.96,0.83,0.79,-0.34,100.0
10/21/2021,10.53,9.91,9.0,6.22,6.16,6.15,5.69,5.09,4.39,4.57,4.44,4.41,4.4,3.8,3.67,2.84,2.19,2.01,1.97,0.96,0.81,0.78,0.03,100.02
10/22/2021,10.63,9.69,8.61,6.17,6.08,5.99,6.3,4.84,4.18,4.75,4.57,4.57,4.34,3.85,3.78,2.81,2.15,2.38,1.97,0.99,0.5,0.82,0.03,100.0
10/25/2021,10.6,10.12,7.12,6.17,6.64,5.91,6.26,4.89,4.6,4.66,4.31,4.69,4.16,3.83,3.73,2.88,2.16,2.95,2.0,1.0,0.47,0.8,0.05,99.99999999999999
