,SCHG,QQQ,GOOGL,CIEN,NVDA,BMY,FB,JNJ,AMT,AAPL,UPS,USB,LOW,GS,JPM,MSFT,NFLX,TGT,ADBE,V,GLD,DIS,F,LUV,PFE,VYM,MRK,SONY,QCOM,KRE,RPV,SCHV,SPY,ALGN,CMG,FCX,ABT,UNH,ISRG,AMD,BHP,VALE,PLAY,ABX.TO,REGN,AMZN,TMO,BABA,JNPR,GNRC,BAYA.DE,SLV,SUM
12/22/2021,12.92,12.83,3.78,3.74,3.57,3.47,3.34,3.34,3.25,3.25,3.2,3.07,3.06,3.05,3.03,3.02,2.93,2.83,2.5,2.22,2.1,2.08,2.07,1.82,1.74,1.59,1.59,1.57,1.53,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/23/2021,12.92,12.83,3.78,3.74,3.57,3.47,3.34,3.34,3.25,3.25,3.2,3.07,3.06,3.05,3.03,3.02,2.93,2.83,2.5,2.22,2.1,2.08,2.07,1.82,1.74,1.59,1.59,1.57,1.53,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/24/2021,12.97,12.88,3.8,3.77,3.7,3.44,3.32,3.29,3.22,3.26,3.19,3.06,3.02,3.02,3.0,3.03,3.0,2.77,2.49,2.24,2.07,2.1,2.04,1.86,1.72,1.57,1.57,1.56,1.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/27/2021,13.04,12.93,3.83,3.75,3.72,3.42,3.28,3.26,3.18,3.27,3.22,3.04,3.02,3.01,2.97,3.05,3.0,2.74,2.51,2.22,2.06,2.1,2.08,1.88,1.68,1.57,1.55,1.57,1.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
12/28/2021,13.04,12.93,3.83,3.75,3.72,3.42,3.28,3.26,3.18,3.27,3.22,3.04,3.02,3.01,2.97,3.05,3.0,2.74,2.51,2.22,2.06,2.1,2.08,1.88,1.68,1.57,1.55,1.57,1.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
12/29/2021,13.04,12.93,3.83,3.75,3.72,3.42,3.28,3.26,3.18,3.27,3.22,3.04,3.02,3.01,2.97,3.05,3.0,2.74,2.51,2.22,2.06,2.1,2.08,1.88,1.68,1.57,1.55,1.57,1.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
12/30/2021,13.05,12.96,3.8,3.76,3.83,3.38,3.34,3.24,3.21,3.3,3.21,3.02,3.02,2.99,2.95,3.08,2.95,2.74,2.5,2.2,2.04,2.06,2.1,1.84,1.67,1.56,1.55,1.59,1.56,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/31/2021,13.01,12.93,3.78,3.77,3.76,3.39,3.34,3.26,3.25,3.29,3.21,3.02,3.03,2.99,2.96,3.08,2.95,2.75,2.47,2.21,2.04,2.1,2.1,1.87,1.64,1.57,1.56,1.6,1.55,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
01/03/2022,12.98,12.91,3.77,3.76,3.67,3.41,3.33,3.31,3.29,3.27,3.21,3.0,3.06,2.98,2.96,3.06,2.96,2.84,2.48,2.21,2.05,2.11,2.08,1.89,1.66,1.57,1.57,1.58,1.53,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/03/2022,12.98,12.91,3.77,3.76,3.67,3.41,3.33,3.31,3.29,3.27,3.21,3.0,3.06,2.98,2.96,3.06,2.96,2.84,2.48,2.21,2.05,2.11,2.08,1.89,1.66,1.57,1.57,1.58,1.53,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
