,Cash,NPH.NZ,NPH.NZ.1,NPH.NZ.2,NPH.NZ.3,NPH.NZ.4,NPH.NZ.5,NPH.NZ.6,NPH.NZ.7,NPH.NZ.8,NPH.NZ.9,NPH.NZ.10,NPH.NZ.11,Ishares Msci Eafe (Efa) Swap Merrill Lynch,Ishares Msci Eafe (Efa) Swap Citibank Na,Ishares Msci Eafe (Efa) Swap Ubs Ag,Ishares Msci Eafe (Efa) Swap Societe Generale,Ishares Msci Eafe (Efa) Swap Goldman Sachs International,Ishares Msci Eafe (Efa) Swap Morgan Stanley & Co. International Plc,Ishares Msci Eafe (Efa) Swap Morgan Stanley & Co. International Plc - Cash,Ishares Msci Eafe (Efa) Swap Goldman Sachs International - Cash Offset,Ishares Msci Eafe (Efa) Swap Societe Generale - Cash Offset,Ishares Msci Eafe (Efa) Swap Ubs Ag - Cash Offset,Ishares Msci Eafe (Efa) Swap Citibank Na - Cash Offset,Ishares Msci Eafe (Efa) Swap Merrill Lynch - Cash Offset,SUM
07/09/2021,100.0,65.85,59.5,34.04,27.52,13.3,0.02,-0.02,-13.3,-27.52,-34.04,-59.5,-65.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85,59.5,34.04,27.52,13.3,0.02,-0.02,-13.3,-27.52,-34.04,-59.5,-65.85,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85,59.5,34.04,27.52,13.3,0.02,-0.02,-13.3,-27.52,-34.04,-59.5,-65.85,100.0
