,2SPY  220228C00003030,2SPY  220228P00361340,Cash&Other,2SPY  220228P00247230,2SPY  220228C00410030,SUM
07/09/2021,107.14,2.12,0.59,-0.38,-9.47,100.0
07/12/2021,107.74,2.05,0.58,-0.38,-10.0,99.99
07/13/2021,107.74,2.05,0.58,-0.38,-10.0,99.99
07/14/2021,107.74,2.05,0.58,-0.38,-10.0,99.99
07/15/2021,108.14,1.98,0.58,-0.37,-10.34,99.99
07/16/2021,107.84,2.13,0.58,-0.39,-10.16,100.0
07/19/2021,107.68,2.12,0.49,-0.33,-9.97,99.99
07/20/2021,107.03,2.34,0.49,-0.41,-9.46,99.99
07/21/2021,107.03,2.34,0.49,-0.41,-9.46,99.99
07/22/2021,105.88,2.7,0.49,-0.49,-8.59,99.99
07/23/2021,107.18,2.37,0.49,-0.43,-9.61,100.0
07/26/2021,107.97,2.09,0.48,-0.38,-10.16,100.0
07/27/2021,108.87,1.97,0.48,-0.37,-10.95,100.0
07/28/2021,108.87,1.97,0.48,-0.37,-10.95,100.0
07/29/2021,109.13,1.91,0.48,-0.37,-11.15,100.0
07/30/2021,108.49,2.09,0.47,-0.4,-10.64,100.01
08/02/2021,108.85,1.91,0.47,-0.36,-10.87,100.0
08/03/2021,108.67,1.97,0.46,-0.37,-10.73,100.0
08/04/2021,108.67,1.97,0.46,-0.37,-10.73,100.0
08/05/2021,108.48,2.02,0.46,-0.39,-10.57,100.0
08/06/2021,108.96,1.89,0.46,-0.36,-10.95,100.0
08/10/2021,109.28,1.7,0.45,-0.32,-11.12,99.99
08/11/2021,109.28,1.7,0.45,-0.32,-11.12,99.99
08/13/2021,109.27,1.74,0.44,-0.31,-11.14,99.99999999999999
