,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,KO,ABT,T,PEP,CVX,NKE,ABBV,TMO,MRK,ACN,WMT,AVGO,LLY,WFC,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,UPS,LIN,BMY,UNP,ORCL,C,NEE,AMGN,LOW,MS,INTU,SBUX,RTX,BA,GS,BLK,AMAT,IBM,AMT,TGT,CAT,GE,MMM,AMD,ISRG,DE,AXP,SCHW,NOW,CVS,CHTR,SPGI,ANTM,LMT,BKNG,ZTS,FIS,LRCX,MU,PLD,MDLZ,MO,GILD,SYK,ADP,TMUS,COP,CCI,TJX,CI,PNC,USB,CME,DUK,TFC,GM,CSX,EL,FDX,ATVI,CB,MMC,BDX,EQIX,COF,CL,ILMN,NSC,ICE,EW,SHW,ADSK,FISV,SO,ITW,APD,ADI,BSX,REGN,ETN,D,MCO,EMR,F,HUM,PGR,GPN,HCA,NXPI,IDXX,NOC,WM,TWTR,AON,FCX,BIIB,ECL,VRTX,DG,NEM,EOG,JCI,ROP,KLAC,IQV,DOW,TROW,PSA,SLB,TEL,KMB,MET,A,EBAY,LHX,ROST,ALGN,MSCI,TT,CMG,EXC,GD,APTV,CNC,SPG,SNPS,SRE,DD,INFO,AEP,DLR,APH,AIG,DXCM,BK,BAX,EA,ALXN,PRU,ORLY,MCHP,PPG,ALL,PH,MPC,CARR,STZ,SYY,PXD,CDNS,SUM,TRV
07/07/2021,5.97,5.68,4.09,2.31,2.05,1.99,1.44,1.42,1.39,1.28,1.21,1.1,1.05,0.93,0.93,0.9,0.89,0.87,0.84,0.77,0.73,0.73,0.64,0.64,0.62,0.62,0.61,0.6,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.53,0.52,0.52,0.51,0.51,0.48,0.48,0.47,0.47,0.46,0.44,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,83.51,0.0
07/08/2021,6.07,5.7,4.29,2.3,2.07,2.01,1.43,1.38,1.4,1.26,1.2,1.1,1.05,0.92,0.94,0.91,0.9,0.86,0.82,0.78,0.72,0.71,0.65,0.64,0.63,0.62,0.61,0.6,0.57,0.58,0.56,0.56,0.55,0.56,0.56,0.55,0.54,0.53,0.52,0.53,0.51,0.49,0.48,0.48,0.47,0.48,0.47,0.43,0.42,0.41,0.42,0.41,0.41,0.4,0.41,0.38,0.4,0.38,0.37,0.37,0.37,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.0,0.11,83.65,0.1
