,MSTR,TSLA,SQ,COIN,BTCS,MA,PYPL,BLK,HOOD,OSTK,RIOT,MOGO.TO,PHUN,MARA,GLOB,MILE,SI,MELI,ARBK,SUM
01/11/2022,14.41,10.51,10.51,9.9,5.19,4.37,4.34,4.26,3.9,3.84,3.8,3.72,3.69,3.62,3.54,2.88,2.87,2.85,1.8,100.0
01/12/2022,14.24,10.34,10.48,10.03,5.46,4.45,4.32,4.33,4.05,3.93,3.85,3.67,3.26,3.59,3.46,3.08,2.84,2.73,1.88,99.99
01/13/2022,14.28,10.7,10.75,9.76,5.74,4.4,4.23,4.26,4.0,3.88,3.82,3.48,3.29,3.66,3.46,3.0,2.74,2.66,1.88,99.98999999999998
01/14/2022,14.29,10.25,10.52,9.79,6.6,4.22,4.22,4.12,4.0,3.89,3.77,3.42,3.32,3.57,3.52,3.09,2.73,2.81,1.88,100.01
01/17/2022,14.13,10.17,9.93,9.64,8.26,4.36,4.08,4.12,3.82,3.7,3.73,3.42,3.34,3.47,3.4,2.88,2.95,2.79,1.82,100.01
01/18/2022,14.13,10.17,9.93,9.64,8.26,4.36,4.08,4.12,3.82,3.7,3.73,3.42,3.34,3.47,3.4,2.88,2.95,2.79,1.82,100.01
01/19/2022,14.13,10.17,9.93,9.64,8.26,4.36,4.08,4.12,3.82,3.7,3.73,3.42,3.34,3.47,3.4,2.88,2.95,2.79,1.82,100.01
01/20/2022,14.13,10.17,9.93,9.64,8.26,4.36,4.08,4.12,3.82,3.7,3.73,3.42,3.34,3.47,3.4,2.88,2.95,2.79,1.82,100.01
01/21/2022,14.25,10.71,9.94,9.88,7.38,4.55,4.14,4.17,3.79,3.57,3.65,3.18,4.11,3.39,3.41,2.82,2.36,2.86,1.85,100.00999999999998
01/24/2022,14.21,10.49,9.93,9.91,8.31,4.55,4.18,4.19,3.71,3.57,3.46,3.15,3.63,3.28,3.46,2.74,2.53,2.79,1.91,100.0
01/25/2022,14.36,10.68,10.06,10.18,7.0,4.67,4.24,4.27,3.72,3.49,3.52,3.17,3.56,3.33,3.47,2.79,2.57,2.92,2.0,100.0
01/26/2022,13.03,11.17,10.28,9.74,7.12,5.03,4.42,4.57,3.89,3.53,3.33,3.21,3.43,3.27,3.65,2.87,2.46,3.11,1.9,100.01
01/27/2022,13.03,11.17,10.28,9.74,7.12,5.03,4.42,4.57,3.89,3.53,3.33,3.21,3.43,3.27,3.65,2.87,2.46,3.11,1.9,100.01
01/28/2022,13.03,11.17,10.28,9.74,7.12,5.03,4.42,4.57,3.89,3.53,3.33,3.21,3.43,3.27,3.65,2.87,2.46,3.11,1.9,100.01
01/31/2022,12.08,10.7,10.03,9.42,7.54,5.41,4.66,4.9,3.8,3.7,3.26,3.19,3.3,3.2,4.03,2.94,2.64,3.2,1.99,99.99
02/01/2022,12.08,10.7,10.03,9.42,7.54,5.41,4.66,4.9,3.8,3.7,3.26,3.19,3.3,3.2,4.03,2.94,2.64,3.2,1.99,99.99
