,EDP.LS,GALP.LS,CTT.LS,EDPR.LS,JMT.LS,COR.LS,SON.LS,RENE.LS,NOS.LS,NVG.LS,656.HK,BCP.LS,ALTR.LS,SEM.LS,EGL.LS,GSJ.MC,IBS.LS,PHR.LS,NBA.LS,SNC.LS,RAM.LS,CASH,BES PL,BANIF PL,1885874D PL,GVOLT PL,B 08/12/21,GVOLT.LS,n/a,B 0 08/12/21,FRGXX,BKESF,SUM
07/09/2021,23.62,17.53,5.89,5.22,4.76,4.7,4.65,4.6,4.3,4.24,3.96,3.84,3.82,2.29,1.57,1.33,0.9,0.89,0.67,0.6,0.46,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,23.89,17.12,5.92,5.3,4.85,4.7,4.66,4.66,4.4,4.25,3.9,3.74,3.71,2.3,1.55,1.28,0.9,0.86,0.68,0.61,0.47,0.2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,23.89,17.12,5.92,5.3,4.85,4.7,4.66,4.66,4.4,4.25,3.9,3.74,3.71,2.3,1.55,1.28,0.9,0.86,0.68,0.61,0.47,0.2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,23.68,17.1,6.01,5.22,4.85,4.7,4.64,4.65,4.4,4.24,3.9,3.9,3.71,2.28,1.55,1.32,0.89,0.88,0.69,0.6,0.47,0.26,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,24.15,16.76,6.09,5.39,4.85,4.68,4.6,4.61,4.39,4.22,3.92,3.8,3.68,2.26,1.53,1.29,0.88,0.87,0.7,0.61,0.46,0.2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,24.13,16.74,5.99,5.33,4.91,4.67,4.63,4.62,4.4,4.25,4.04,3.74,3.71,2.27,1.52,1.28,0.88,0.87,0.71,0.6,0.46,0.19,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,23.77,16.6,6.01,5.14,4.96,4.78,4.7,4.65,4.46,4.36,4.11,3.79,3.7,2.29,1.54,1.3,0.91,0.88,0.72,0.64,0.46,0.19,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,23.77,16.6,6.01,5.14,4.96,4.78,4.7,4.65,4.46,4.36,4.11,3.79,3.7,2.29,1.54,1.3,0.91,0.88,0.72,0.64,0.46,0.19,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,24.1,16.56,5.42,5.19,5.05,4.81,4.71,4.69,4.51,4.31,4.28,3.71,3.66,2.29,1.52,1.3,0.91,0.89,0.73,0.63,0.47,0.19,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,23.85,16.56,5.28,5.36,5.13,4.97,4.69,4.83,4.5,4.27,4.32,3.63,3.62,2.2,1.51,1.32,0.93,0.88,0.73,0.64,0.5,0.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.98
