,2QQQ  220630C00002840,2QQQ  220630P00354450,Cash&Other,2QQQ  220630P00301280,2QQQ  220630C00386390,SUM
07/09/2021,99.57,8.02,0.82,-3.38,-5.03,100.0
07/12/2021,99.97,7.91,0.81,-3.57,-5.13,99.99
07/13/2021,99.97,7.91,0.81,-3.57,-5.13,99.99
07/14/2021,99.97,7.91,0.81,-3.57,-5.13,99.99
07/15/2021,100.42,7.68,0.8,-3.56,-5.35,99.99
07/16/2021,100.19,7.79,0.85,-3.52,-5.3,100.01
07/19/2021,100.19,7.99,0.84,-3.77,-5.25,100.0
07/20/2021,99.35,8.4,0.84,-3.86,-4.73,100.0
07/21/2021,99.35,8.4,0.84,-3.86,-4.73,100.0
07/22/2021,98.67,9.02,0.76,-3.98,-4.46,100.01
07/23/2021,99.61,8.28,0.76,-3.82,-4.83,100.0
07/26/2021,100.66,7.51,0.74,-3.51,-5.41,99.99
07/27/2021,101.3,7.2,0.74,-3.34,-5.9,100.0
07/28/2021,101.3,7.2,0.74,-3.34,-5.9,100.0
07/29/2021,101.39,7.16,0.74,-3.32,-5.97,100.0
07/30/2021,100.43,7.75,0.86,-3.69,-5.36,99.99000000000001
