,XOM,CVX,COP,EOG,SLB,MPC,PSX,KMI,PXD,WMB,VLO,OXY,OKE,HES,LNG,HAL,DVN,BKR,FANG,MRO,TPL,TRGP,OVV,APA,XEC,COG,EQT,NOV,HFC,CHX,PDCE,MTDR,RRC,AR,CHK,FTI,DTM WI,DEN,SWN,MUR,ETRN,HP,AM,RIG,CNX,CLR,REGI,SM,CPE,MGY,WLL,PAGP,WHD,OAS,INT,PTEN,ENLC,CLB,OII,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,CLNE,KOS,DK,Xae Energy Sep21 Xcme 20210917,PBF,GEVO,LBRT,CDEV,CRC,TELL,DRQ,AROC,BOOM,VNOM,BCEI,SLCA,MNRL,XOG,NOG,ARCH,NEX,HLX,NBR,PUMP,PARR,CVI,CRK,REX,FI,INSW,MCF,TALO,LPG,ALTO,WTTR,RES,GPRE,VTOL,Us Dollar,NBRWF,DTM,TPIXX,n/a,SUM
07/09/2021,21.42,16.36,6.8,4.0,3.67,3.19,3.08,3.03,2.75,2.62,2.56,2.43,2.05,1.95,1.7,1.69,1.5,1.37,1.35,0.88,0.79,0.74,0.67,0.65,0.61,0.57,0.48,0.48,0.4,0.39,0.38,0.34,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,100.02
09/27/2021,21.71,17.47,6.75,3.78,3.59,3.21,2.86,3.15,2.66,2.71,2.44,2.16,2.06,1.88,1.83,1.64,1.47,1.38,1.18,0.82,0.83,0.77,0.6,0.63,0.6,0.57,0.46,0.48,0.4,0.4,0.36,0.32,0.33,0.33,0.35,0.27,0.0,0.29,0.28,0.3,0.3,0.27,0.26,0.19,0.24,0.22,0.24,0.18,0.16,0.18,0.16,0.17,0.17,0.16,0.19,0.14,0.14,0.13,0.12,0.0,0.1,0.08,0.1,0.0,0.08,0.11,0.08,0.09,0.1,0.09,0.09,0.1,0.07,0.1,0.08,0.07,0.08,0.07,0.07,0.09,0.06,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.04,0.06,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.0,0.37,0.07,-0.01,99.76999999999998
