,AMC,NTLA,LSI,SOFI,AIRC,REXR,XTSLA,IIVI,NTNX,OVV,LSCC,CROX,THC,XEC,STAA,PNFP,HQY,TTEK,SLAB,FAF,SF,AA,AMG,NVST,FFIN,SON,FOXF,DKS,PACB,RDFN,OMCL,EME,DLB,SRCL,SLM,COHR,JHG,VAC,EGP,PB,ACC,BRX,FR,LEG,WH,SKX,SNV,NCR,SPCE,PLNT,BPOP,INGR,SWAV,MSA,NVTA,STAG,X,AYI,LFUS,CACI,RXN,GMED,VRNS,HALO,BJ,LITE,DNLI,HBI,COIN,NXST,POST,TMX,MDU,OLN,PRGO,FL,BLD,TNDM,MAN,SSB,HELE,NOV,ACHC,IONS,AEO,CC,NATI,EQT,VVV,JCOM,LPX,BL,COR,CDK,HTA,EXP,LSTR,SRPT,PRI,EVR,UNM,JBLU,GTLS,BHVN,VLY,QTS,CHK,NEO,NYCB,TDC,GBCI,MMS,CHNG,TKR,RBC,IBKR,CACC,EVBG,THG,KBR,WSC,TWST,SRC,SYNA,RL,SLG,DEI,SAIA,CUZ,BWXT,CFX,ZI,NVRO,UPWK,APPS,QTWO,APPN,VNT,ADC,SIGI,ASGN,OLLI,SPR,CIT,MSTR,QDEL,HFC,FSLY,IDA,IIPR,SNX,CW,NEOG,CRUS,IART,WK,VMI,ROLL,PSTG,UBSI,INSP,ESI,AWI,HXL,ADS,FLS,NVT,OZK,RYN,RPD,HUN,ESNT,FEYE,AYX,SAIC,MEDP,BPMC,TNL,POWI,GPK,ENSG,HASI,AMN,CR,HE,HLF,DDD,TGTX,MGNI,PDCE,CHX,TRNO,SEM,CRI,BXMT,ITRI,AL,CLH,WING,PK,NFG,NOVT,IRDM,SKLZ,WCC,UFPI,WTFC,WBS,STMP,PACW,FCN,FLO,CDNA,COMM,EXPO,HIW,SSD,ASH,MTG,USD,SAIL,NRZ,RHP,AVNT,RDN,RLI,ALSN,HRB,GRA,HR,QRTEA,STL,GT,POR,PNM,BKH,JBT,HLI,SAVA,CDLX,CAR,EYE,REZI,MRVI,LIVN,M,NEWR,WTS,UMBF,AQUA,UMPQ,CRNC,EDIT,ATKR,AXS,ALKS,SUM
07/09/2021,0.65,0.26,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.48
07/12/2021,0.63,0.27,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.19,0.2,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63
07/13/2021,0.63,0.27,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.19,0.2,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63
07/14/2021,0.6,0.26,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.19,0.2,0.17,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.18,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.15,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59
07/15/2021,0.6,0.26,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.19,0.2,0.17,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.18,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.15,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.59
07/16/2021,0.52,0.25,0.22,0.2,0.2,0.2,0.12,0.2,0.19,0.21,0.19,0.2,0.19,0.2,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.13,0.16,0.16,0.15,0.15,0.16,0.14,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.14,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.15,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.12,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.16,0.13,0.0,0.12,0.12,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.44
07/19/2021,0.48,0.25,0.23,0.2,0.22,0.21,0.0,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.16,0.19,0.17,0.18,0.17,0.19,0.18,0.17,0.19,0.18,0.19,0.18,0.17,0.17,0.14,0.15,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.0,0.16,0.16,0.16,0.14,0.16,0.14,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.18,0.17,0.14,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.13,0.14,0.17,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.13,0.14,0.0,0.14,0.13,0.13,0.14,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.14,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.12,0.13,0.12,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.12,0.12,0.0,0.13,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57
07/20/2021,0.48,0.25,0.23,0.2,0.22,0.21,0.0,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.16,0.19,0.17,0.18,0.17,0.19,0.18,0.17,0.19,0.18,0.19,0.18,0.17,0.17,0.14,0.15,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.0,0.16,0.16,0.16,0.14,0.16,0.14,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.18,0.17,0.14,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.13,0.14,0.17,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.13,0.14,0.0,0.14,0.13,0.13,0.14,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.14,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.12,0.13,0.12,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.12,0.12,0.0,0.13,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.57
07/21/2021,0.48,0.24,0.23,0.19,0.22,0.21,0.0,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.16,0.19,0.17,0.18,0.17,0.19,0.18,0.17,0.19,0.18,0.19,0.18,0.17,0.17,0.14,0.15,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.17,0.19,0.18,0.19,0.18,0.19,0.17,0.17,0.17,0.18,0.16,0.0,0.17,0.16,0.16,0.15,0.16,0.14,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.15,0.18,0.17,0.14,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.15,0.13,0.14,0.18,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.0,0.13,0.14,0.12,0.14,0.14,0.13,0.14,0.14,0.0,0.13,0.0,0.13,0.12,0.0,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.0,0.12,0.12,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.13,0.12,0.12,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.12,0.12,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.630000000000003
07/22/2021,0.48,0.25,0.24,0.19,0.22,0.21,0.15,0.2,0.19,0.18,0.19,0.2,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.19,0.18,0.16,0.19,0.18,0.19,0.18,0.18,0.17,0.15,0.16,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.19,0.18,0.19,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.0,0.16,0.16,0.16,0.15,0.16,0.15,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.15,0.18,0.17,0.15,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.15,0.16,0.16,0.16,0.17,0.15,0.16,0.15,0.16,0.14,0.15,0.13,0.14,0.18,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.13,0.15,0.14,0.14,0.14,0.15,0.14,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.0,0.13,0.0,0.14,0.0,0.0,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.14,0.13,0.13,0.14,0.15,0.14,0.13,0.13,0.0,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.12,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.13,0.12,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.16,0.0,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.68
