,BLDP,BE,PLUG,NEL.OL,336260.KS,CWR.L,ADN,XBC.TO,ITM.L,CI B.ST,PCELL.ST,FCEL,288620.KQ,EFUEL.OL,ALHRS.PA,GTLS,CMI,7203.T,APD,HTOO,NKLA,AFC.L,ACH.OL,HPUR.OL,HYZN,n/a,NEL NO,CWR LN,336260 KS,ITM LN,PCELL SS,XBC CN,CIB SS,288620 KS,EFUEL NO,ALHRS FP,7203 JP,AFC LN,ACH NO,1824459D NO,MCPHY.PA,LIN,NFI.TO,POM.PA,HY,SUM
08/16/2021,12.31,11.75,11.07,7.14,5.09,4.96,4.61,4.5,4.37,4.36,4.0,3.94,3.9,3.3,2.99,2.9,2.39,2.35,2.29,0.35,0.33,0.33,0.31,0.27,0.24,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/17/2021,12.31,11.75,11.07,7.14,5.09,4.96,4.61,4.5,4.37,4.36,4.0,3.94,3.9,3.3,2.99,2.9,2.39,2.35,2.29,0.35,0.33,0.33,0.31,0.27,0.24,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/18/2021,12.2,11.55,10.82,7.37,5.1,5.02,4.34,4.33,4.45,4.44,4.16,3.74,3.96,3.33,3.06,2.98,2.45,2.44,2.38,0.37,0.33,0.35,0.32,0.28,0.27,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,12.34,11.23,11.08,7.14,5.2,5.05,4.21,4.2,4.48,4.43,4.11,3.76,4.04,3.26,3.08,3.06,2.51,2.46,2.44,0.37,0.32,0.35,0.32,0.27,0.3,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/20/2021,12.33,11.43,11.59,6.9,5.01,5.08,4.54,3.96,4.57,4.37,4.07,3.73,3.9,3.13,3.11,2.94,2.52,2.48,2.48,0.32,0.35,0.35,0.32,0.27,0.29,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,12.47,10.94,10.59,7.05,5.05,5.55,4.14,4.12,5.3,4.57,4.33,3.58,3.85,3.26,3.15,3.0,2.46,2.34,2.38,0.31,0.32,0.36,0.31,0.29,0.29,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,12.47,10.94,10.59,7.05,5.05,5.55,4.14,4.12,5.3,4.57,4.33,3.58,3.85,3.26,3.15,3.0,2.46,2.34,2.38,0.31,0.32,0.36,0.31,0.29,0.29,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,12.36,11.23,10.84,6.81,4.79,5.52,4.25,4.35,5.28,4.39,4.23,3.63,3.72,3.27,3.26,3.13,2.47,2.26,2.35,0.3,0.34,0.35,0.31,0.27,0.31,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,12.97,11.23,10.89,6.81,4.54,5.29,4.33,4.6,5.15,4.31,4.35,3.71,3.65,3.17,3.24,3.01,2.41,2.24,2.29,0.3,0.34,0.34,0.3,0.26,0.29,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,13.05,11.18,10.85,7.09,4.77,5.33,4.48,4.26,5.24,3.92,4.43,3.7,3.71,3.25,3.19,2.94,2.36,2.2,2.23,0.29,0.34,0.34,0.3,0.26,0.28,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
