,VALE3.SA,SBRCY,2317.TW,NILSY,939.HK,1398.HK,OJS1.,1301.TW,POWERGRID.NS,GMEXICOB.MX,ATAD.L,2881.TW,1101.TW,2357.TW,2891.TW,1326.TW,2382.TW,TLKM.JK,MBT,033780.KS,086790.KS,ITC.NS,4938.TW,2882.TW,ONGC.NS,VOD.JO,2301.TW,BBRI.JK,1102.TW,2886.TW,992.HK,3045.TW,088980.KS,ENELAM.SN,2007.HK,CEZ.PR,SLM.JO,N7MG.,BBAS3.SA,ASII.JK,1288.HK,3231.TW,GAIL.NS,688.HK,5M71.,288.HK,EXX.JO,PTTEP-R.BK,2890.TW,4904.TW,BMRI.JK,2883.TW,KIO.JO,CHL.,PHOR.L,688208.SS,1308.HK,601166.SS,1402.TW,2892.TW,TAEE11.SA,2347.TW,2601.HK,TEL.PM,BRDT3.SA,5876.TW,151.HK,6239.TW,600048.SS,ARI.JO,3044.TW,CCRO3.SA,2385.TW,MCG.JO,000810.KS,2356.TW,HINDPETRO.NS,SCB-R.BK,600000.SS,1658.HK,3383.HK,ELET3.SA,1044.HK,NMDC.NS,3702.TW,2324.TW,KT,CHILE.SN,SANB11.SA,REM.JO,135.HK,152.HK,9904.TW,AVI.JO,OIL.NS,1813.HK,ALFAA.MX,2606.TW,NVAM.,INDUSTOWER.NS,270.HK,2458.TW,UNTR.JK,2449.TW,884.HK,RECLTD.NS,1313.HK,2617.TW,EGIE3.SA,1210.TW,2006.TW,600019.SS,024110.KS,300498.SZ,FROTO.IS,836.HK,HINDZINC.NS,601169.SS,639.HK,2404.TW,754.HK,FIBRAMQ12.MX,2915.TW,813.HK,600919.SS,1378.HK,2888.TW,601229.SS,OFSS.NS,MMK.L,601006.SS,MER.PM,138930.KS,GLO.PM,1368.HK,2889.TW,TISCO-R.BK,2548.TW,016360.KS,600104.SS,4915.TW,8016.TW,257.HK,601155.SS,NHPC.NS,6005.TW,2015.TW,001979.SZ,9939.TW,390.HK,CYRE3.SA,1339.HK,817.HK,ACP.WA,5522.TW,5534.TW,1898.HK,2380.HK,2108.TW,8112.TW,CPFE3.SA,ASTRO.KL,004800.KS,003410.KS,INTP.JK,EQU.JO,1830.HK,139130.KS,177.HK,051600.KS,2441.TW,047050.KS,600383.SS,220.HK,1030.HK,IBULHSGFIN.NS,123.HK,ITSA3.SA,SONATSOFTW.NS,392.HK,9917.TW,603858.SS,189.HK,GUNKUL-R.BK,TELEC.PR,VESTA.MX,PSG.JO,6214.TW,2206.TW,005940.KS,TPIPP-R.BK,3005.TW,5434.TW,3883.HK,601225.SS,2614.TW,1537.TW,3380.HK,1883.HK,1336.HK,934.HK,KT Corp ADR,6670.TW,002601.SZ,6189.TW,6202.TW,8150.TW,1359.HK,TOASO.IS,3360.HK,AFE.JO,175330.KS,SUM
07/09/2021,8.16,6.21,4.01,3.73,2.96,2.02,1.87,1.37,1.31,1.26,1.23,1.19,1.18,1.16,1.12,1.04,1.01,0.96,0.87,0.86,0.85,0.84,0.84,0.77,0.77,0.75,0.73,0.73,0.73,0.7,0.64,0.61,0.61,0.6,0.59,0.58,0.55,0.55,0.54,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.44,0.44,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1
07/12/2021,7.94,6.06,4.17,3.65,2.81,2.05,1.91,1.38,1.34,1.24,1.21,1.21,1.21,1.2,1.15,1.05,1.02,0.96,0.79,0.85,0.83,0.86,0.85,0.78,0.79,0.76,0.75,0.71,0.75,0.71,0.64,0.62,0.61,0.59,0.57,0.58,0.56,0.54,0.52,0.53,0.53,0.53,0.51,0.51,0.5,0.49,0.5,0.49,0.49,0.48,0.46,0.47,0.46,0.42,0.45,0.0,0.43,0.41,0.39,0.38,0.36,0.38,0.36,0.35,0.33,0.35,0.33,0.33,0.32,0.32,0.31,0.29,0.31,0.3,0.28,0.3,0.3,0.28,0.29,0.28,0.27,0.26,0.27,0.25,0.29,0.27,0.0,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.21,0.23,0.24,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.1,0.09,0.0,0.0,0.0,0.43,0.27,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,91.0
07/13/2021,7.94,6.06,4.17,3.65,2.81,2.05,1.91,1.38,1.34,1.24,1.21,1.21,1.21,1.2,1.15,1.05,1.02,0.96,0.79,0.85,0.83,0.86,0.85,0.78,0.79,0.76,0.75,0.71,0.75,0.71,0.64,0.62,0.61,0.59,0.57,0.58,0.56,0.54,0.52,0.53,0.53,0.53,0.51,0.51,0.5,0.49,0.5,0.49,0.49,0.48,0.46,0.47,0.46,0.42,0.45,0.0,0.43,0.41,0.39,0.38,0.36,0.38,0.36,0.35,0.33,0.35,0.33,0.33,0.32,0.32,0.31,0.29,0.31,0.3,0.28,0.3,0.3,0.28,0.29,0.28,0.27,0.26,0.27,0.25,0.29,0.27,0.0,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.21,0.23,0.24,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.0,0.09,0.1,0.09,0.0,0.0,0.0,0.43,0.27,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,91.0
07/14/2021,7.96,6.17,4.14,3.7,2.74,2.03,1.91,1.37,1.34,1.23,1.18,1.22,1.23,1.18,1.15,1.05,1.04,1.0,0.78,0.83,0.79,0.85,0.84,0.78,0.78,0.9,0.75,0.71,0.77,0.71,0.66,0.63,0.61,0.59,0.57,0.59,0.56,0.56,0.52,0.53,0.53,0.54,0.5,0.51,0.5,0.47,0.53,0.46,0.5,0.48,0.46,0.48,0.48,0.41,0.44,0.0,0.41,0.39,0.4,0.39,0.36,0.38,0.34,0.35,0.33,0.35,0.33,0.34,0.32,0.33,0.31,0.29,0.3,0.29,0.28,0.3,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.25,0.29,0.27,0.0,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.2,0.23,0.25,0.23,0.24,0.21,0.22,0.21,0.22,0.21,0.18,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.18,0.15,0.16,0.17,0.16,0.15,0.17,0.16,0.14,0.14,0.14,0.15,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.14,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.12,0.09,0.0,0.0,0.0,0.43,0.27,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,91.09
07/15/2021,7.96,6.17,4.14,3.7,2.74,2.03,1.91,1.37,1.34,1.23,1.18,1.22,1.23,1.18,1.15,1.05,1.04,1.0,0.78,0.83,0.79,0.85,0.84,0.78,0.78,0.9,0.75,0.71,0.77,0.71,0.66,0.63,0.61,0.59,0.57,0.59,0.56,0.56,0.52,0.53,0.53,0.54,0.5,0.51,0.5,0.47,0.53,0.46,0.5,0.48,0.46,0.48,0.48,0.41,0.44,0.0,0.41,0.39,0.4,0.39,0.36,0.38,0.34,0.35,0.33,0.35,0.33,0.34,0.32,0.33,0.31,0.29,0.3,0.29,0.28,0.3,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.25,0.29,0.27,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.2,0.23,0.25,0.23,0.24,0.21,0.22,0.21,0.22,0.21,0.18,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.18,0.15,0.16,0.17,0.16,0.15,0.17,0.16,0.14,0.14,0.14,0.15,0.16,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.14,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.12,0.09,0.0,0.0,0.0,0.43,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,91.09
07/16/2021,8.08,6.15,4.16,3.71,2.72,2.0,1.89,1.36,1.33,1.22,1.18,1.25,1.23,1.2,1.15,1.04,1.04,0.99,0.78,0.85,0.8,0.85,0.83,0.8,0.78,0.91,0.74,0.7,0.76,0.71,0.65,0.62,0.61,0.59,0.57,0.59,0.55,0.56,0.54,0.53,0.52,0.53,0.5,0.51,0.5,0.47,0.52,0.46,0.5,0.48,0.46,0.49,0.47,0.4,0.44,0.0,0.41,0.39,0.4,0.39,0.36,0.38,0.34,0.34,0.34,0.35,0.32,0.34,0.31,0.32,0.31,0.3,0.3,0.3,0.28,0.3,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.28,0.27,0.0,0.25,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.2,0.23,0.24,0.23,0.25,0.21,0.22,0.21,0.22,0.21,0.17,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.18,0.15,0.15,0.16,0.16,0.14,0.17,0.16,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.16,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.0,0.13,0.09,0.0,0.09,0.0,0.42,0.27,0.1,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,91.06
07/19/2021,8.29,6.08,4.2,3.83,2.68,1.98,1.89,1.36,1.33,1.18,1.18,1.28,1.22,1.2,1.15,1.05,1.03,0.97,0.79,0.84,0.8,0.86,0.84,0.82,0.79,0.89,0.75,0.69,0.76,0.71,0.61,0.62,0.61,0.59,0.56,0.58,0.53,0.57,0.55,0.51,0.52,0.52,0.5,0.51,0.51,0.46,0.52,0.45,0.5,0.48,0.46,0.49,0.48,0.4,0.44,0.0,0.41,0.38,0.39,0.39,0.38,0.38,0.34,0.33,0.35,0.35,0.33,0.34,0.31,0.34,0.28,0.31,0.3,0.29,0.29,0.3,0.27,0.27,0.28,0.26,0.27,0.28,0.27,0.26,0.28,0.27,0.27,0.24,0.26,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.19,0.23,0.24,0.23,0.24,0.2,0.22,0.21,0.22,0.2,0.15,0.21,0.2,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.18,0.15,0.15,0.16,0.16,0.14,0.18,0.16,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.11,0.1,0.13,0.11,0.11,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.14,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.12,0.09,0.0,0.09,0.0,0.43,0.0,0.1,0.09,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,91.06000000000002
07/20/2021,8.21,6.05,4.31,3.79,2.72,1.99,1.84,1.36,1.32,1.25,1.13,1.3,1.21,1.19,1.15,1.04,1.02,0.98,0.78,0.84,0.81,0.86,0.84,0.83,0.76,0.89,0.75,0.7,0.75,0.71,0.61,0.62,0.6,0.58,0.57,0.58,0.53,0.57,0.54,0.52,0.52,0.52,0.48,0.51,0.5,0.46,0.52,0.45,0.5,0.48,0.47,0.5,0.49,0.41,0.43,0.0,0.41,0.4,0.39,0.39,0.37,0.37,0.34,0.33,0.34,0.35,0.33,0.34,0.31,0.33,0.28,0.3,0.31,0.28,0.29,0.26,0.26,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.28,0.27,0.27,0.24,0.25,0.25,0.26,0.24,0.24,0.25,0.23,0.24,0.24,0.21,0.23,0.24,0.24,0.24,0.21,0.23,0.21,0.23,0.21,0.17,0.21,0.2,0.19,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.14,0.18,0.16,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.11,0.1,0.13,0.11,0.11,0.11,0.13,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.17,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.0,0.0,0.11,0.09,0.0,0.0,0.0,0.43,0.0,0.1,0.09,0.09,0.11,0.09,0.0,0.0,0.0,0.0,0.0,91.07
07/21/2021,8.12,6.01,4.3,3.72,2.73,2.0,1.84,1.37,1.35,1.23,1.13,1.35,1.21,1.18,1.16,1.05,1.04,0.99,0.78,0.85,0.82,0.87,0.84,0.86,0.76,0.9,0.75,0.71,0.75,0.71,0.59,0.62,0.61,0.58,0.56,0.58,0.54,0.57,0.54,0.52,0.52,0.52,0.49,0.52,0.49,0.47,0.51,0.45,0.51,0.48,0.47,0.51,0.48,0.41,0.43,0.0,0.41,0.39,0.4,0.39,0.38,0.38,0.35,0.34,0.34,0.35,0.33,0.34,0.31,0.32,0.28,0.31,0.31,0.29,0.29,0.26,0.26,0.27,0.28,0.27,0.27,0.28,0.25,0.27,0.28,0.27,0.27,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.2,0.23,0.24,0.23,0.24,0.21,0.23,0.21,0.23,0.21,0.16,0.21,0.2,0.18,0.2,0.19,0.18,0.19,0.18,0.17,0.16,0.15,0.17,0.17,0.16,0.18,0.15,0.15,0.16,0.17,0.14,0.17,0.16,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.1,0.13,0.11,0.11,0.13,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.16,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.44,0.0,0.1,0.09,0.09,0.12,0.09,0.0,0.0,0.0,0.0,0.0,91.09
07/22/2021,8.12,6.01,4.3,3.72,2.73,2.0,1.84,1.37,1.35,1.23,1.13,1.35,1.21,1.18,1.16,1.05,1.04,0.99,0.78,0.85,0.82,0.87,0.84,0.86,0.76,0.9,0.75,0.71,0.75,0.71,0.59,0.62,0.61,0.58,0.56,0.58,0.54,0.57,0.54,0.52,0.52,0.52,0.49,0.52,0.49,0.47,0.51,0.45,0.51,0.48,0.47,0.51,0.48,0.41,0.43,0.0,0.41,0.39,0.4,0.39,0.38,0.38,0.35,0.34,0.34,0.35,0.33,0.34,0.31,0.32,0.28,0.31,0.31,0.29,0.29,0.26,0.26,0.27,0.28,0.27,0.27,0.28,0.25,0.27,0.28,0.27,0.0,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.2,0.23,0.24,0.23,0.24,0.21,0.23,0.21,0.23,0.21,0.16,0.21,0.2,0.18,0.2,0.19,0.18,0.19,0.18,0.17,0.16,0.15,0.17,0.17,0.16,0.18,0.15,0.15,0.16,0.17,0.14,0.17,0.16,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.1,0.13,0.11,0.11,0.13,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.16,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.44,0.27,0.1,0.09,0.09,0.12,0.09,0.0,0.0,0.0,0.0,0.0,91.09
