,MRNA,PTON,SWKS,SPLK,AMD,REGN,XLNX,ROST,ORLY,IDXX,EBAY,AAPL,ISRG,NFLX,NVDA,MSFT,ZM,VRTX,QCOM,ADSK,CPRT,CTAS,CHTR,ANSS,MELI,TSLA,SNPS,SBUX,PAYX,MU,CDNS,LULU,CDW,INTU,ADBE,DXCM,FB,AMZN,AMAT,DOCU,ILMN,MRVL,TXN,COST,NXPI,VRSK,VRSN,SIRI,OKTA,MTCH,ADI,ALXN,GILD,ADP,FAST,CSX,MXIM,KDP,PYPL,AVGO,ASML Holding N.V. (New York Registry Shares),AMGN,AEP,ATVI,WDAY,PEP,LRCX,KLAC,EA,INTC,CMCSA,CSCO,BIDU,CERN,MCHP,TMUS,NTES,FISV,MAR,TEAM,CTSH,ALGN,EXC,INCY,JD,MDLZ,PCAR,SGEN,XEL,MNST,KHC,CHKP,DLTR,BKNG,WBA,TCOM,BIIB,PDD,GOOGL,GOOG,FOXA,FOX,US Dollar,ASML,018000.KQ,HON,SUM
07/23/2021,1.56,1.06,1.09,1.02,1.0,1.07,0.96,0.97,1.09,1.09,1.06,1.07,1.04,1.04,0.97,1.05,0.93,1.05,1.03,1.02,1.08,1.04,1.02,1.02,1.0,1.02,1.02,1.04,1.05,0.95,1.04,1.05,1.02,1.03,1.05,1.03,1.0,1.0,0.96,1.04,1.02,0.99,1.0,1.07,0.96,1.06,1.01,0.99,0.99,0.97,0.97,0.99,1.02,1.03,1.04,0.96,0.95,1.02,1.02,0.99,0.0,1.02,1.02,0.97,0.94,1.05,0.95,0.95,0.99,0.97,0.99,1.0,0.94,0.96,0.89,0.98,1.02,0.97,0.92,0.97,0.96,0.96,0.99,0.91,1.01,1.01,0.98,0.93,1.0,0.98,0.96,1.0,0.96,0.9,0.88,0.76,0.83,0.82,0.51,0.51,0.45,0.45,0.0,1.0,0.04,0.0,99.98000000000005
07/26/2021,1.55,1.05,1.09,1.05,1.03,1.04,0.99,1.01,1.09,1.09,1.09,1.08,1.06,0.98,1.01,1.06,0.92,1.0,1.03,1.06,1.09,1.05,1.01,1.03,1.04,1.0,1.01,1.07,1.04,0.94,1.05,1.09,1.02,1.05,1.06,1.03,1.02,1.0,1.0,1.07,1.02,1.02,0.96,1.05,0.96,1.05,1.0,0.98,1.0,1.0,0.96,0.0,0.99,1.01,1.02,0.99,0.94,0.99,1.03,0.98,0.0,0.98,0.99,0.95,0.96,1.02,0.99,0.99,0.97,0.96,0.98,1.0,0.92,0.95,0.91,0.96,1.0,0.98,0.95,0.97,0.95,1.0,0.99,0.9,1.01,0.98,0.96,0.88,0.97,0.97,0.92,1.01,0.95,0.94,0.88,0.74,0.8,0.8,0.51,0.51,0.46,0.45,0.0,1.04,0.06,1.0,100.01
07/27/2021,1.66,1.06,1.09,1.04,1.03,1.03,0.99,1.0,1.1,1.1,1.1,1.08,1.05,0.98,1.0,1.06,0.91,1.01,1.03,1.07,1.09,1.06,1.01,1.05,1.04,0.98,1.02,1.09,1.04,0.94,1.06,1.1,1.04,1.06,1.05,1.05,1.06,1.0,1.0,1.07,1.03,1.03,0.97,1.06,0.97,1.05,0.95,0.97,1.02,1.02,0.96,0.0,0.98,1.01,1.02,0.99,0.94,0.99,1.03,0.99,0.0,0.99,0.99,0.95,0.96,1.03,0.99,1.0,0.98,0.9,0.98,1.01,0.88,0.94,0.91,0.94,0.91,0.99,0.95,0.97,0.96,1.01,0.99,0.9,0.96,0.99,0.95,0.88,0.97,1.0,0.92,1.01,0.95,0.93,0.87,0.7,0.8,0.74,0.53,0.52,0.46,0.45,0.0,1.06,0.06,0.98,100.04
07/28/2021,1.66,1.06,1.09,1.04,1.03,1.03,0.99,1.0,1.1,1.1,1.1,1.08,1.05,0.98,1.0,1.06,0.91,1.01,1.03,1.07,1.09,1.06,1.01,1.05,1.04,0.98,1.02,1.09,1.04,0.94,1.06,1.1,1.04,1.06,1.05,1.05,1.06,1.0,1.0,1.07,1.03,1.03,0.97,1.06,0.97,1.05,0.95,0.97,1.02,1.02,0.96,0.0,0.98,1.01,1.02,0.99,0.94,0.99,1.03,0.99,0.0,0.99,0.99,0.95,0.96,1.03,0.99,1.0,0.98,0.9,0.98,1.01,0.88,0.94,0.91,0.94,0.91,0.99,0.95,0.97,0.96,1.01,0.99,0.9,0.96,0.99,0.95,0.88,0.97,1.0,0.92,1.01,0.95,0.93,0.87,0.7,0.8,0.74,0.53,0.52,0.46,0.45,0.0,1.06,0.06,0.98,100.04
07/29/2021,1.61,1.07,1.09,1.05,1.04,1.03,0.98,1.01,1.1,1.09,1.11,1.09,1.05,0.98,0.99,1.06,0.95,1.01,1.03,1.08,1.09,1.05,1.02,1.05,1.03,1.01,1.02,1.1,1.05,0.95,1.06,1.09,1.05,1.07,1.05,1.03,1.08,1.01,1.01,1.06,1.03,1.04,0.98,1.06,0.98,1.04,0.95,0.97,1.01,1.02,0.96,0.0,0.99,1.02,1.02,0.99,0.95,1.0,1.03,0.99,0.0,0.98,1.02,0.94,0.96,1.03,1.0,1.0,0.98,0.93,0.99,1.02,0.83,0.95,0.91,0.96,0.79,0.99,0.98,0.96,0.97,1.01,0.99,0.88,0.88,1.0,0.95,0.87,0.98,1.0,0.93,0.97,0.96,0.95,0.89,0.66,0.82,0.68,0.53,0.53,0.46,0.46,0.0,1.07,0.06,0.98,100.03
07/30/2021,1.59,1.07,1.08,1.05,1.04,1.04,0.96,1.02,1.1,1.1,1.1,1.08,1.07,1.0,0.99,1.06,0.95,1.04,1.02,1.07,1.1,1.05,1.02,1.05,1.04,1.0,1.02,1.11,1.07,0.93,1.06,1.08,1.05,1.06,1.05,1.03,1.07,1.0,0.99,1.06,1.03,1.03,0.97,1.07,0.97,1.05,0.95,1.03,1.0,1.01,0.96,0.0,1.0,1.04,1.03,0.99,0.93,0.99,1.02,0.99,0.0,0.99,1.04,0.88,0.94,1.05,0.98,0.98,0.97,0.92,0.99,1.02,0.82,0.97,0.9,0.96,0.79,1.03,0.99,0.96,0.97,1.0,1.02,0.88,0.87,1.01,0.94,0.89,1.0,1.0,0.93,1.0,0.95,0.96,0.89,0.68,0.83,0.61,0.53,0.52,0.46,0.46,0.0,1.07,0.06,1.0,100.04
08/02/2021,1.65,1.03,1.11,1.04,1.15,1.03,1.06,1.01,1.05,1.11,1.1,1.06,1.06,0.97,1.0,1.05,0.98,1.01,1.08,1.09,1.09,1.05,0.99,1.05,1.06,1.03,1.02,1.06,1.06,0.95,1.06,1.1,1.05,1.05,1.04,1.03,1.03,0.98,0.99,1.04,1.02,1.05,0.98,1.06,1.0,1.04,0.92,0.98,0.98,1.01,0.97,0.0,0.99,1.03,1.03,0.96,0.94,0.96,0.95,0.99,0.0,0.96,1.03,0.87,0.94,1.02,0.96,0.99,0.96,0.91,0.97,1.0,0.85,0.94,0.92,0.95,0.89,1.01,1.01,0.95,1.03,1.07,1.01,0.87,0.95,0.97,0.91,0.89,0.98,0.98,0.91,1.0,0.94,0.94,0.88,0.71,0.8,0.7,0.54,0.52,0.46,0.45,0.0,1.08,0.06,0.99,100.0
08/03/2021,1.68,1.02,1.04,1.04,1.19,1.01,1.07,1.01,1.06,1.07,1.02,1.06,1.07,0.98,0.99,1.04,0.96,1.01,1.06,1.09,1.08,1.05,1.03,1.05,1.01,1.04,1.02,1.05,1.05,0.95,1.07,1.09,1.05,1.06,1.04,1.17,1.02,0.9,1.01,1.03,1.03,1.05,0.98,1.07,1.01,1.05,0.92,0.97,0.98,0.98,0.98,0.0,0.97,1.03,1.02,0.97,0.95,0.96,0.92,0.99,1.08,0.96,1.01,0.86,0.94,1.02,0.98,1.08,0.96,0.91,0.98,1.01,0.83,0.96,0.93,0.94,0.9,1.01,0.99,1.15,1.02,1.09,0.99,0.87,0.94,0.96,0.9,0.93,0.97,0.97,0.9,1.01,0.94,0.92,0.88,0.66,0.8,0.69,0.53,0.51,0.45,0.44,0.08,0.0,0.0,0.99,100.01
08/04/2021,1.68,1.02,1.04,1.04,1.19,1.01,1.07,1.01,1.06,1.07,1.02,1.06,1.07,0.98,0.99,1.04,0.96,1.01,1.06,1.09,1.08,1.05,1.03,1.05,1.01,1.04,1.02,1.05,1.05,0.95,1.07,1.09,1.05,1.06,1.04,1.17,1.02,0.9,1.01,1.03,1.03,1.05,0.98,1.07,1.01,1.05,0.92,0.97,0.98,0.98,0.98,0.0,0.97,1.03,1.02,0.97,0.95,0.96,0.92,0.99,1.08,0.96,1.01,0.86,0.94,1.02,0.98,1.08,0.96,0.91,0.98,1.01,0.83,0.96,0.93,0.94,0.9,1.01,0.99,1.15,1.02,1.09,0.99,0.87,0.94,0.96,0.9,0.93,0.97,0.97,0.9,1.01,0.94,0.92,0.88,0.66,0.8,0.69,0.53,0.51,0.45,0.44,0.08,0.0,0.0,0.99,100.01
08/05/2021,1.65,1.05,1.05,1.04,1.21,1.01,1.07,0.99,1.06,1.07,1.03,1.05,1.07,0.97,1.0,1.04,0.96,1.0,1.06,1.1,1.08,1.04,1.03,1.05,1.02,1.08,1.02,1.04,1.05,0.95,1.07,1.1,1.05,1.05,1.03,1.16,1.01,0.9,1.02,1.02,1.02,1.06,0.99,1.07,1.02,1.05,0.92,0.97,0.97,0.99,0.98,0.0,0.97,1.03,1.02,0.96,0.94,0.94,0.9,0.99,1.08,0.95,1.01,0.86,0.93,1.02,0.99,1.07,0.97,0.91,0.98,1.01,0.85,0.96,0.94,0.95,0.92,0.97,0.99,1.14,1.02,1.1,1.0,0.88,0.94,0.97,0.89,0.93,0.97,0.96,0.9,1.0,0.93,0.92,0.87,0.67,0.81,0.69,0.53,0.51,0.45,0.44,0.08,0.0,0.0,0.99,99.99000000000001
