,SPY,SPYV,SPYG,UVXY,n/a,FNGU,SUM
01/24/2022,66.26,25.88,7.86,0.0,0.0,0.0,100.0
01/25/2022,66.26,25.88,7.86,0.0,0.0,0.0,100.0
01/26/2022,66.26,25.88,7.86,0.0,0.0,0.0,100.0
01/27/2022,61.12,25.57,6.83,6.48,0.0,0.0,100.0
01/28/2022,60.91,25.7,6.75,6.64,0.0,0.0,100.0
01/31/2022,60.73,25.6,6.74,6.93,0.0,0.0,100.0
02/01/2022,60.73,25.6,6.74,6.93,0.0,0.0,100.0
02/02/2022,60.73,25.6,6.74,6.93,0.0,0.0,100.0
02/03/2022,60.73,25.6,6.74,6.93,0.0,0.0,100.0
02/04/2022,61.88,25.61,6.99,5.52,0.0,0.0,100.0
02/07/2022,61.65,25.84,6.88,5.63,0.0,0.0,100.0
02/08/2022,61.65,25.84,6.88,5.63,0.0,0.0,100.0
02/09/2022,65.42,27.22,7.36,0.0,0.0,0.0,100.0
02/10/2022,65.37,27.31,7.32,0.0,0.0,0.0,100.0
02/11/2022,65.39,27.29,7.33,0.0,0.0,0.0,100.01
02/14/2022,65.37,27.31,7.32,0.0,0.0,0.0,100.0
02/15/2022,65.37,27.31,7.32,0.0,0.0,0.0,100.0
02/16/2022,65.24,27.51,7.24,0.0,0.0,0.0,99.99
02/17/2022,65.24,27.51,7.24,0.0,0.0,0.0,99.99
02/18/2022,65.36,27.33,7.31,0.0,0.0,0.0,100.0
03/24/2022,52.04,47.21,0.0,0.0,0.75,0.0,100.0
03/31/2022,62.42,25.54,11.94,0.0,0.11,0.0,100.01
04/04/2022,61.6,25.24,13.09,0.0,0.07,0.0,100.0
06/02/2022,66.75,21.0,3.09,0.0,0.0,9.16,100.0
