,1171.HK,VEDL.NS,047050.KS,267.HK,9904.TW,TU-R.BK,GRT.JO,ONGC.NS,1102.TW,1402.TW,3702.TW,NRP.JO,EVR.L,POWERGRID.NS,078930.KS,1618.HK,ACP.WA,598.HK,1434.TW,HYPE3.SA,D7C.,123.HK,2324.TW,3988.HK,MBT,KIO.JO,RECLTD.NS,1088.HK,STGT-R.BK,1958.HK,1030.HK,BH-R.BK,6818.HK,FUNO11.MX,INDF.JK,023530.KS,ENELAM.SN,MCG.JO,FIVE.L,CPFE3.SA,2317.TW,ZAIN.,3323.HK,Catcher Technology Co Ltd,3618.HK,ORDS.QA,ADRO.JK,TA3K.,KLBF.JK,EAST.CA,AESGENER.SN,ENJSA.IS,AEFES.IS,TOASO.IS,TOPGLOV.KL,AGPXX,Chinese Yuan,Brazilian Real,Mexican Peso,Russian Ruble (Rub),2474.TW,TOASO.E.IS,AESGENER,AEFES.E.IS,ENJSA.E.IS,1906272D IN,HAL.NS,NHPC.NS,IOC.NS,SUM
07/09/2021,2.79,2.71,2.46,2.39,2.35,2.29,2.26,2.18,2.15,2.13,2.08,2.04,2.03,2.03,1.99,1.93,1.92,1.92,1.92,1.85,1.83,1.83,1.81,1.8,1.79,1.76,1.75,1.73,1.72,1.72,1.7,1.68,1.67,1.66,1.66,1.66,1.65,1.64,1.64,1.63,1.63,1.63,1.58,1.58,1.55,1.53,1.51,1.5,1.47,1.4,1.35,1.25,1.23,1.19,1.09,0.62,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,3.09,2.7,2.69,2.4,2.17,2.49,2.22,1.84,2.21,1.98,2.19,1.98,2.13,1.3,1.85,2.53,2.01,1.7,1.92,1.91,1.73,1.61,1.77,1.75,1.66,2.05,1.61,1.67,1.5,1.65,1.35,1.53,1.39,1.74,1.54,1.56,1.56,1.66,1.51,1.52,1.56,0.0,1.47,0.0,1.46,0.0,1.68,1.81,1.32,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,1.7,1.33,1.29,1.26,1.25,0.43,0.38,0.38,0.37,94.41
