,AAPL,MSFT,AMZN,FB,GOOG,JNJ,TSLA,PG,JPM,HD,BAC,NESN.SW,XOM,DIS,ACN,ASML.AS,INTC,Cash,TXN,NVDA,CVX,ROG.SW,ADBE,C,ORCL,UNH,7203.T,MRK,AZN.L,IBM,6758.T,CBA.AX,CRM,GS,PEP,QCOM,GE,ABT,MS,MC.PA,MDT,BLK,HSBA.L,SAP.DE,GSK.L,ANTM,SAN.PA,KO,PFE,VZ,BMY,LLY,INTU,OR.PA,CSL.AX,LOW,CAT,ULVR.L,DHR,ADSK,RY.TO,NKE,GM,LRCX,WBC.AX,RDSA.AS,RIO.L,8035.T,TD.TO,TJX,6594.T,NOVO B.CO,7741.T,SIE.DE,DE,CNR.TO,8306.T,BNS.TO,RKT.L,ZURN.SW,6098.T,USB,TGT,MU,TTE.PA,6501.T,MMM,UBSG.SW,DTE.DE,ADS.DE,6702.T,KER.PA,EL,BNP.PA,ABBN.SW,REL.L,AMAT,HPQ,6981.T,BSX,PGR,LLOY.L,DSV.CO,PRU.L,MQG.AX,7974.T,SU.PA,ABI.BR,EMR,EL.PA,FDX,WOW.AX,NG.L,DGE.L,MAR,AI.PA,RI.PA,388.HK,ISP.MI,VOD.L,CVS,IFX.DE,7267.T,NAB.AX,LONN.SW,BN.PA,SLB,BBVA.MC,ENEL.MI,ALV.DE,Euro,CS.PA,TCL.AX,8031.T,IBE.MC,SNPS,LULU,COF,DPW.DE,BP.L,GIVN.SW,BDX,4911.T,TLS.AX,SIKA.SW,SGO.PA,LSEG.L,U.S. Dollar For Futures,6367.T,SAN.MC,EW,DG.PA,WDC,BARC.L,BMO.TO,ETN,ECL,ANZ.AX,Swiss Franc,8058.T,CLNX.MC,4661.T,RIO.AX,PHIA.AS,RMS.PA,DSM.AS,6954.T,WELL,VRTX,CRH.L,BMW.DE,BAYN.DE,4503.T,INGA.AS,SREN.SW,ATCO A.ST,NEM,WES.AX,4507.T,DAI.DE,ERIC B.ST,6902.T,GLE.PA,ZAL.DE,PSA,DSY.PA,HUM,BBY,GEBN.SW,GLEN.L,FMG.AX,A,HOLN.SW,HEIA.AS,VOLV B.ST,VEEV,TEL,KNEBV.HE,TWLO,ASSA B.ST,GMG.AX,DSYA.,VOW3.DE,CL,PCAR,ES,British Pound,EBAY,SUM
07/09/2021,5.4,5.26,5.11,4.02,3.13,2.1,1.68,1.57,1.48,1.39,1.26,1.21,1.06,1.0,0.99,0.89,0.89,0.86,0.84,0.83,0.81,0.7,0.69,0.69,0.66,0.63,0.62,0.61,0.6,0.6,0.59,0.54,0.53,0.52,0.51,0.51,0.49,0.48,0.45,0.44,0.43,0.43,0.41,0.39,0.39,0.39,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.52
07/12/2021,5.57,5.29,5.36,3.96,3.16,2.1,1.59,1.58,1.45,1.39,1.21,1.22,1.01,0.97,1.0,0.89,0.87,0.87,0.83,0.83,0.79,0.71,0.71,0.67,0.69,0.63,0.62,0.6,0.59,0.59,0.58,0.54,0.53,0.51,0.51,0.5,0.47,0.48,0.44,0.43,0.43,0.43,0.41,0.41,0.39,0.39,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.31,0.3,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.53
07/13/2021,5.57,5.29,5.36,3.96,3.16,2.1,1.59,1.58,1.45,1.39,1.21,1.22,1.01,0.97,1.0,0.89,0.87,0.87,0.83,0.83,0.79,0.71,0.71,0.67,0.69,0.63,0.62,0.6,0.59,0.59,0.58,0.54,0.53,0.51,0.51,0.5,0.47,0.48,0.44,0.43,0.43,0.43,0.41,0.41,0.39,0.39,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.31,0.3,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.53
07/14/2021,5.58,5.25,5.39,3.96,3.14,2.1,1.62,1.57,1.47,1.39,1.22,1.22,1.02,0.99,1.01,0.89,0.87,0.87,0.83,0.81,0.79,0.71,0.71,0.67,0.71,0.63,0.62,0.6,0.59,0.6,0.58,0.54,0.52,0.52,0.51,0.5,0.48,0.48,0.44,0.44,0.43,0.43,0.41,0.41,0.39,0.39,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.09,0.09,0.0,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,81.55000000000001
07/15/2021,5.52,5.2,5.35,3.96,3.14,2.08,1.68,1.57,1.48,1.38,1.23,1.21,1.02,1.03,1.0,0.9,0.88,0.86,0.83,0.83,0.79,0.71,0.7,0.68,0.7,0.63,0.62,0.59,0.6,0.59,0.59,0.54,0.52,0.53,0.51,0.5,0.47,0.48,0.45,0.44,0.43,0.43,0.41,0.41,0.39,0.39,0.37,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.31,0.31,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,81.60000000000001
07/16/2021,5.58,5.28,5.3,3.96,3.16,2.08,1.64,1.57,1.46,1.36,1.21,1.22,1.01,1.03,1.01,0.91,0.88,0.86,0.83,0.82,0.79,0.71,0.7,0.67,0.7,0.64,0.63,0.59,0.6,0.59,0.6,0.53,0.52,0.52,0.52,0.5,0.47,0.48,0.46,0.44,0.43,0.43,0.41,0.41,0.39,0.39,0.37,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.31,0.31,0.3,0.31,0.3,0.29,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.16,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.1,0.14,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.09,0.1,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,81.55000000000001
07/19/2021,5.73,5.32,5.27,3.9,3.19,2.09,1.61,1.6,1.47,1.39,1.19,1.21,0.99,1.04,1.02,0.92,0.87,0.87,0.82,0.77,0.77,0.71,0.71,0.67,0.7,0.65,0.63,0.6,0.58,0.6,0.6,0.53,0.51,0.52,0.53,0.5,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.38,0.39,0.36,0.37,0.35,0.35,0.35,0.34,0.34,0.34,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.26,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.16,0.19,0.17,0.16,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.1,0.14,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.0,0.1,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,81.59
07/20/2021,5.73,5.32,5.27,3.9,3.19,2.09,1.61,1.6,1.47,1.39,1.19,1.21,0.99,1.04,1.02,0.92,0.87,0.87,0.82,0.77,0.77,0.71,0.71,0.67,0.7,0.65,0.63,0.6,0.58,0.6,0.6,0.53,0.51,0.52,0.53,0.5,0.47,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.38,0.39,0.36,0.37,0.35,0.35,0.35,0.34,0.34,0.34,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.26,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.16,0.19,0.17,0.16,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.1,0.14,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.0,0.1,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,81.59
07/21/2021,5.69,5.35,5.23,3.89,3.23,2.1,1.6,1.63,1.45,1.4,1.17,1.23,0.97,1.02,1.02,0.91,0.86,0.88,0.82,0.74,0.76,0.73,0.71,0.66,0.71,0.65,0.64,0.61,0.58,0.59,0.59,0.53,0.51,0.51,0.54,0.5,0.46,0.48,0.45,0.43,0.43,0.42,0.4,0.41,0.39,0.4,0.37,0.38,0.36,0.35,0.35,0.34,0.34,0.34,0.31,0.31,0.3,0.31,0.32,0.3,0.3,0.3,0.27,0.27,0.28,0.27,0.27,0.26,0.24,0.25,0.26,0.26,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.16,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.18,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.12,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.1,0.14,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.0,0.1,0.09,0.1,0.1,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.1,0.1,0.1,0.0,0.09,0.09,0.09,0.0,0.0,81.63000000000001
07/22/2021,5.69,5.35,5.23,3.89,3.23,2.1,1.6,1.63,1.45,1.4,1.17,1.23,0.97,1.02,1.02,0.91,0.86,0.88,0.82,0.74,0.76,0.73,0.71,0.66,0.71,0.65,0.64,0.61,0.58,0.59,0.59,0.53,0.51,0.51,0.54,0.5,0.46,0.48,0.45,0.43,0.43,0.42,0.4,0.41,0.39,0.4,0.37,0.38,0.36,0.35,0.35,0.34,0.34,0.34,0.31,0.31,0.3,0.31,0.32,0.3,0.3,0.3,0.27,0.27,0.28,0.27,0.27,0.26,0.24,0.25,0.26,0.26,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.16,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.18,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.12,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.1,0.14,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.0,0.1,0.09,0.1,0.1,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.1,0.1,0.1,0.0,0.09,0.09,0.09,0.0,0.0,81.63000000000001
