,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,NVDA,UNH,V,HD,PG,DIS,BAC,MA,PYPL,CMCSA,XOM,ADBE,VZ,INTC,CSCO,NFLX,CRM,PFE,KO,T,ABT,PEP,CVX,ABBV,WMT,WFC,AVGO,MRK,TMO,ACN,TXN,MCD,NKE,MDT,COST,C,DHR,HON,LLY,LIN,UPS,QCOM,UNP,PM,BMY,ORCL,NEE,LOW,AMGN,MS,BA,RTX,SBUX,CAT,IBM,GS,AMAT,BLK,GE,INTU,MMM,AMT,TGT,CVS,DE,SCHW,AXP,ISRG,CHTR,ANTM,AMD,BKNG,LMT,MU,NOW,LRCX,FIS,MO,SPGI,CI,MDLZ,PLD,ZTS,ADP,SYK,TFC,USB,GILD,TMUS,PNC,CCI,TJX,CME,DUK,FDX,CB,CSX,COP,ATVI,GM,COF,CL,NSC,EL,MMC,BDX,FISV,SHW,SO,ITW,APD,EQIX,ICE,ADSK,FCX,D,ADI,BSX,EW,ILMN,NEM,NXPI,PGR,ETN,EMR,AON,GPN,HCA,F,NOC,HUM,WM,VRTX,MCO,ECL,REGN,DOW,DG,MET,KLAC,JCI,IDXX,ROP,EOG,TWTR,IQV,AIG,DD,ROST,TEL,LHX,TT,KMB,EXC,GD,SLB,TROW,PSA,CNC,AEP,SRE,DLR,PPG,ALGN,PRU,MCHP,SPG,A,BK,BAX,ALL,SYY,EA,STZ,BIIB,APTV,APH,TRV,MPC,PH,EBAY,INFO,ALXN,SNPS,MSCI,CMG,GIS,MAR,XEL,CMI,DXCM,CARR,ORLY,CDNS,WBA,n/a,MRNA,FTNT,RMD,MSI,CTSH,SBAC,DFS,MTCH,SIVB,XLNX,PXD,SUM
07/09/2021,5.53,5.29,3.88,2.22,1.99,1.95,1.54,1.41,1.35,1.25,1.13,1.09,1.08,0.97,0.93,0.91,0.91,0.89,0.86,0.74,0.69,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
07/12/2021,5.53,5.29,3.88,2.22,1.99,1.95,1.54,1.41,1.35,1.25,1.13,1.09,1.08,0.97,0.93,0.91,0.91,0.89,0.86,0.74,0.69,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
07/13/2021,5.53,5.29,3.88,2.22,1.99,1.95,1.54,1.41,1.35,1.25,1.13,1.09,1.08,0.97,0.93,0.91,0.91,0.89,0.86,0.74,0.69,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
07/14/2021,5.53,5.29,3.88,2.22,1.99,1.95,1.54,1.41,1.35,1.25,1.13,1.09,1.08,0.97,0.93,0.91,0.91,0.89,0.86,0.74,0.69,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
07/15/2021,5.53,5.29,3.88,2.22,1.99,1.95,1.54,1.41,1.35,1.25,1.13,1.09,1.08,0.97,0.93,0.91,0.91,0.89,0.86,0.74,0.69,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
07/16/2021,5.53,5.29,3.88,2.22,1.99,1.95,1.54,1.41,1.35,1.25,1.13,1.09,1.08,0.97,0.93,0.91,0.91,0.89,0.86,0.74,0.69,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08
07/19/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
07/20/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
07/21/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
07/22/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
07/23/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
07/26/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
07/27/2021,5.92,5.62,4.06,2.29,2.02,1.97,1.44,1.3,1.44,1.19,1.37,1.04,1.08,0.93,0.91,0.88,0.86,0.88,0.94,0.72,0.74,0.77,0.64,0.62,0.62,0.64,0.62,0.6,0.58,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.54,0.54,0.55,0.52,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.43,0.41,0.39,0.4,0.38,0.39,0.38,0.36,0.36,0.36,0.33,0.36,0.36,0.36,0.34,0.33,0.37,0.32,0.34,0.33,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.26,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.14,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.46000000000001
