,Vestas Wind Systems A/S,NPI.TO,Orsted A/S,Siemens Gamesa Renewable Energy,916.HK,BLX.TO,LNT,ABBN.SW,DUK,SSE.L,INE.TO,PRY.MI,RNW.TO,3402.T,GE,NEE,ELE.MC,ENEL.MI,IBE.MC,RWE.DE,TPIC,EDP.LS,ENGI.PA,SKF B.ST,HXL,NDX1.DE,ENR.DE,112610.KS,ANA.MC,AGL.AX,"Xinjiang Goldwind Science & Technology Co., Ltd. (Class H)",ACA,Gurit Holding AG,FKR.MI,1798.HK,TENERGY.AT,BKW.SW,EOLU B.ST,EKT.DE,Neoen SA,182.HK,"Unison Co., Ltd.",PNE Wind AG (Registered),US Dollar,"China High Speed Transmission Equipment Group Co., Ltd.",China Suntien Green Energy Corporation Limited (Class H),SIFG.AS,SGL Carbon SE,AMSC,ARISE.ST,Nordex SE - Rights,BWEN,100130.KQ,Iberdrola SA - Rights,SUM
07/09/2021,8.49,7.74,7.29,7.23,6.81,3.32,2.45,2.39,2.34,2.28,2.26,2.22,2.17,2.07,2.06,2.05,2.0,1.98,1.98,1.95,1.95,1.9,1.87,1.86,1.77,1.77,1.69,1.52,1.46,1.44,1.4,0.94,0.92,0.91,0.86,0.86,0.82,0.63,0.51,0.5,0.48,0.45,0.36,0.34,0.32,0.3,0.24,0.21,0.17,0.15,0.14,0.07,0.06,0.0,99.95
07/12/2021,8.28,7.81,7.35,6.92,6.87,3.26,2.49,2.52,2.38,2.32,2.25,2.26,2.24,1.98,2.12,2.06,2.05,2.0,1.95,1.98,1.88,1.93,1.9,1.9,1.79,1.78,1.64,1.42,1.51,1.46,1.45,0.94,0.96,0.91,0.81,0.85,0.85,0.61,0.51,0.49,0.48,0.42,0.37,0.52,0.33,0.29,0.24,0.21,0.16,0.15,0.0,0.07,0.06,0.05,100.03
07/13/2021,8.28,7.81,7.35,6.92,6.87,3.26,2.49,2.52,2.38,2.32,2.25,2.26,2.24,1.98,2.12,2.06,2.05,2.0,1.95,1.98,1.88,1.93,1.9,1.9,1.79,1.78,1.64,1.42,1.51,1.46,1.45,0.94,0.96,0.91,0.81,0.85,0.85,0.61,0.51,0.49,0.48,0.42,0.37,0.52,0.33,0.29,0.24,0.21,0.16,0.15,0.0,0.07,0.06,0.05,100.03
07/22/2021,8.16,8.01,7.51,5.94,7.14,3.3,2.67,2.53,2.58,2.32,2.2,2.29,2.26,2.04,2.03,2.22,2.05,2.0,2.01,1.91,1.72,1.91,1.92,1.91,1.63,1.69,1.46,1.62,1.55,1.49,1.47,0.91,0.96,0.92,0.86,0.82,0.87,0.59,0.51,0.48,0.56,0.44,0.35,0.63,0.34,0.34,0.23,0.25,0.14,0.15,0.0,0.06,0.06,0.0,100.01
