,The Cleveland Clinic Foundation 4.86%,HP Inc 6%,FREEPORT-MCMORAN INC 5.45%,"T-Mobile USA, Inc. 3.6%",Olin Corporation 5%,Buckeye Partners LP 5.85%,Chicken Soup for the Soul Entertainment Inc PRF PERPETUAL USD - Ser A,Scorpio Tankers Inc 7%,Summit Hotel Properties Inc 6.25% PRF PERPETUAL USD 25 - Ser E,Invesco Mortgage Capital Inc Cum Red Pfd Shs Series -B-,Dime Community Bancshares Inc 5.50% PRF PERPETUAL USD 25 Ser A,Dreyfus Treasury Secs Cash Mgmt Admin,Compass Diversified Holdings Series C,TFC,Fortress Transportation and Infrastructure Investors LLC FXDFR PRF PERPETUA,Dynex Capital Inc FXDFR PRF PERPETUAL USD 25 Ser C,Annaly Capital Management Inc Pfd,Costamare Inc 8.875% PRF PERPETUAL USD,Aspen Insurance Holdings Ltd 5.625% PRF PERPETUAL USD 25,Plymouth Industrial REIT Inc Ser A,Athene Holding Ltd FXDFR PRF PERPETUAL USD 25 - Ser A 1/1000 Int Dep,Federal Agricultural Mortgage Corp 5.25% PRF PERPETUAL USD 25 - Ser F,US Airways Group Inc.,KKR Real Estate Finance Trust Inc 6.50% PRF PERPETUAL USD 25,Teekay LNG Partners LP Cum Red Perp Pfd Registered Units Series -B-,STX,AIG,VLO,HMLP,CMRE,OGE,ATCO,BMY,HBI,SON,MPW,BKH,FLO,BG,"Valmont Industries, Inc. 5.25%",Pebblebrook Hotel Trust PRF PERPETUAL USD 25 - Ser G,Freeport-Mcmoran Inc 5.45%,US Airways Group Inc. 3.95%,DARXX,OLN 5 02.01.30,BPL 5.85 11.15.43,STNG 7 06.30.25,FCX 5.45 03.15.43,FTAI V8.25 PERP A,HPQ 6 09.15.41,KREF 6.5 PERP A,TGP V8.5 PERP B,MTVD 6.85 01.15.40 144A,IVR V7.75 PERP B,ABR V6.25 PERP F,VMI 5.25 10.01.54,INN 6.25 PERP E,TMUS 3.6 11.15.60,NLY V6.75 PERP I,CLECLI 4.858 01.01.14,DCOM 5.5 PERP,AHL 5.625 PERP *,DX V6.9 PERP C,O,CODI 7.875 PERP C,WMB,PEB 6.375 PERP G,FAMCA 5.25 PERP F,CMRE 8.875 PERP E,PLYM 7.5 PERP A,ATH V6.35 PERP A,AAL 3.95 11.15.25,CSSE 9.75 PERP A,SUM
07/23/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/28/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/30/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,4.34,3.51,0.0,3.5,4.08,3.95,2.52,2.43,2.37,2.37,2.43,0.04,2.39,2.1,2.38,2.39,2.4,2.33,2.39,2.25,2.22,1.92,0.0,2.63,2.44,1.9,1.84,1.96,2.13,2.22,2.28,2.27,2.29,2.15,2.21,2.1,1.94,2.16,2.0,3.27,2.33,3.4,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
04/26/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.11,2.14,0.0,0.0,2.01,1.71,2.11,1.87,2.14,2.11,2.09,2.31,2.02,0.0,0.0,0.0,0.0,3.85,3.39,3.15,3.12,3.05,3.04,2.94,2.9,2.85,2.83,2.78,2.77,2.7,2.69,2.61,2.57,2.52,2.42,2.41,2.33,2.31,2.23,2.16,2.13,2.12,1.67,1.58,1.21,1.1,0.55,99.98999999999998
04/29/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.96,2.19,0.0,0.0,1.96,1.63,2.1,1.79,1.97,1.92,2.05,2.3,1.93,0.0,0.0,0.0,0.0,3.92,3.42,3.16,3.16,3.14,3.0,3.0,2.97,2.9,2.85,2.86,2.82,2.76,2.65,2.69,2.61,2.6,2.48,2.44,2.38,2.27,2.26,2.12,2.09,2.12,1.7,1.61,1.23,1.13,0.56,100.0
