,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,Gold 100 Oz Futr Aug21,Bloomberg Gold Subindex Swap - Ubs Ag,Bloomberg Gold Subindex Swap - Citibank Na,Bloomberg Gold Subindex Swap - Goldman Sachs,Bloomberg Gold Subindex Swap - Goldman Sachs - Cash Offset,Bloomberg Gold Subindex Swap - Citibank Na - Cash Offset,Bloomberg Gold Subindex Swap - Ubs Ag - Cash Offset,Gold 100 Oz Futr Aug21 - Cash Offset,SUM
07/09/2021,100.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.0
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73,46.3,44.51,38.47,-38.47,-44.51,-46.3,-70.73,100.00000000000001
