,CCOI,AWR,AVA,SJI,CWT,SHEN,TTGT,CPK,MDP,SSP,AMCX,NWN,SCHL,QNST,UTL,CBB,GCI,CNSL,ATNI,MCS,SPOK,AGPXX,003000.KS,MSEX,Cash/Receivables/Payables,AP4.SI,n/a,CNK,LYLTV,THRY,CARS,TDS,LYLT,SUM
07/09/2021,9.41,8.81,8.65,8.6,8.46,5.57,5.08,4.52,4.48,4.37,4.32,4.29,4.28,3.51,3.11,3.03,2.61,2.48,1.92,1.86,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/12/2021,9.48,8.98,8.69,8.75,8.69,4.94,5.05,4.51,4.57,4.32,4.28,4.3,4.33,3.52,3.1,3.04,2.6,2.5,1.94,1.75,0.63,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,9.48,8.98,8.69,8.75,8.69,4.94,5.05,4.51,4.57,4.32,4.28,4.3,4.33,3.52,3.1,3.04,2.6,2.5,1.94,1.75,0.63,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,9.48,8.98,8.69,8.75,8.69,4.94,5.05,4.51,4.57,4.32,4.28,4.3,4.32,3.52,3.1,3.04,2.6,2.5,1.94,1.75,0.63,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/15/2021,9.65,8.97,8.66,8.73,8.7,4.9,4.91,4.56,4.58,4.33,4.39,4.31,4.29,3.53,3.09,3.02,2.62,2.49,1.94,1.68,0.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,9.75,9.06,8.63,8.69,8.76,4.93,5.0,4.56,4.62,4.31,4.19,4.34,4.18,3.51,3.1,3.06,2.57,2.49,1.94,1.67,0.63,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/19/2021,9.2,8.68,8.33,8.12,8.4,4.58,4.53,4.39,4.38,4.01,3.72,4.18,3.75,3.27,2.97,2.89,2.46,2.34,1.82,1.48,0.58,0.02,0.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,9.12,8.86,8.34,8.04,8.61,4.59,4.44,4.36,4.27,3.93,3.67,4.15,3.7,3.25,2.94,2.88,2.42,2.33,1.79,1.46,0.59,0.14,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,9.12,8.86,8.34,8.04,8.61,4.59,4.44,4.36,4.27,3.93,3.67,4.15,3.7,3.25,2.94,2.88,2.42,2.33,1.79,1.46,0.59,0.14,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,9.12,8.86,8.34,8.04,8.61,4.59,4.44,4.36,4.27,3.93,3.67,4.15,3.7,3.25,2.94,2.88,2.42,2.33,1.79,1.46,0.59,0.14,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
