,JNK,HYG,Xtrackers USD High Yield Corp Bd ETF,LQD,VCIT,AGG,BND,Us Dollars,HYLB,n/a,SUM
07/09/2021,18.96,18.94,18.9,10.98,10.54,10.46,10.42,0.82,0.0,0.0,100.02
07/12/2021,18.86,18.82,18.8,11.02,10.56,10.48,10.45,1.01,0.0,0.0,100.0
07/13/2021,18.86,18.82,18.8,11.02,10.56,10.48,10.45,1.01,0.0,0.0,100.0
07/14/2021,18.89,18.85,18.82,10.98,10.53,10.44,10.41,1.08,0.0,0.0,100.0
07/15/2021,18.89,18.85,18.82,10.97,10.53,10.44,10.41,1.08,0.0,0.0,99.99
07/16/2021,18.89,18.85,18.83,10.96,10.53,10.45,10.41,1.08,0.0,0.0,100.0
07/19/2021,18.86,18.81,18.79,11.0,10.55,10.48,10.44,1.08,0.0,0.0,100.01
07/20/2021,18.85,18.81,18.77,11.0,10.56,10.48,10.44,1.08,0.0,0.0,99.99
07/21/2021,18.85,18.81,18.77,11.0,10.56,10.48,10.44,1.08,0.0,0.0,99.99
07/22/2021,18.85,18.81,18.77,11.0,10.56,10.48,10.44,1.08,0.0,0.0,99.99
07/23/2021,18.79,18.77,18.74,11.06,10.6,10.52,10.48,1.04,0.0,0.0,100.0
07/26/2021,18.87,18.84,18.81,11.08,10.6,10.52,10.48,0.8,0.0,0.0,100.0
07/27/2021,18.9,18.86,18.83,11.06,10.59,10.5,10.46,0.8,0.0,0.0,100.0
07/28/2021,18.9,18.86,18.83,11.06,10.59,10.5,10.46,0.8,0.0,0.0,100.0
07/29/2021,18.9,18.86,18.83,11.05,10.59,10.5,10.47,0.8,0.0,0.0,100.0
07/30/2021,18.87,18.82,18.8,11.09,10.61,10.52,10.49,0.79,0.0,0.0,99.99
08/02/2021,18.89,18.85,18.83,11.07,10.6,10.5,10.47,0.79,0.0,0.0,100.0
08/03/2021,18.89,18.85,18.83,11.07,10.6,10.5,10.47,0.79,0.0,0.0,100.0
08/04/2021,18.89,18.85,18.83,11.07,10.6,10.5,10.47,0.79,0.0,0.0,100.0
08/05/2021,18.87,18.83,18.81,11.08,10.61,10.52,10.48,0.79,0.0,0.0,99.99
08/06/2021,18.82,18.79,18.75,11.13,10.64,10.56,10.52,0.79,0.0,0.0,100.0
09/02/2021,18.9,18.87,0.0,11.04,10.56,10.49,10.45,0.0,18.83,0.85,99.98999999999998
09/03/2021,18.9,18.87,0.0,11.04,10.56,10.49,10.45,0.0,18.83,0.85,99.98999999999998
09/06/2021,18.91,18.88,0.0,11.04,10.57,10.49,10.45,0.0,18.81,0.85,100.0
09/07/2021,18.94,18.91,0.0,11.02,10.56,10.48,10.44,0.0,18.86,0.8,100.01
09/08/2021,18.94,18.91,0.0,11.02,10.56,10.48,10.44,0.0,18.86,0.8,100.01
09/09/2021,18.94,18.91,0.0,11.02,10.56,10.48,10.44,0.0,18.86,0.8,100.01
09/10/2021,18.93,18.9,0.0,10.99,10.55,10.48,10.44,0.0,18.87,0.83,99.99
09/13/2021,18.85,18.83,0.0,11.03,10.54,10.47,10.43,0.0,18.78,1.06,99.99
09/14/2021,18.87,18.83,0.0,11.02,10.54,10.46,10.42,0.0,18.8,1.06,100.0
09/15/2021,18.87,18.83,0.0,11.02,10.54,10.46,10.42,0.0,18.8,1.06,100.0
09/16/2021,18.88,18.85,0.0,11.03,10.53,10.46,10.42,0.0,18.79,1.06,100.02
09/17/2021,18.85,18.83,0.0,11.05,10.54,10.47,10.43,0.0,18.78,1.05,100.0
09/20/2021,18.88,18.84,0.0,11.03,10.53,10.46,10.42,0.0,18.8,1.05,100.01
09/21/2021,18.89,18.85,0.0,11.02,10.51,10.45,10.41,0.0,18.82,1.05,100.0
