,First Trust Nasdaq Cybersecurity (CIBR) SWAP Bank of America NA,Cash,First Trust Nasdaq Cybersecurity (Cibr) Swap Goldman Sachs International,First Trust NASDAQ Cybersecurity ETF,First Trust Nasdaq Cybersecurity (Cibr) Swap Goldman Sachs International -,First Trust Nasdaq Cybersecurity (Cibr) Swap Bank Of America Na - Cash Offs,First Trust Nasdaq Cybersecurity (Cibr) Swap Ubs Ag,First Trust Nasdaq Cybersecurity (Cibr) Swap Ubs Ag - Cash Offset,SUM
07/09/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/12/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/13/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/14/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/15/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/16/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/19/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/20/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/21/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/22/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/23/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/26/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/27/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/28/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/29/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
07/30/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
08/02/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
08/03/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
08/04/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
08/05/2021,127.16,93.97,67.07,6.03,-67.07,-127.16,0.0,0.0,99.99999999999996
08/06/2021,122.87,94.23,61.77,5.77,-61.77,-122.87,9.37,-9.37,100.0
