,MP,AA,RGLD,CENX,CMC,NEM,STLD,FCX,NUE,CLF,RS,ATI,ARNC,CDE,HL,X,WOR,ARCH,SCHN,CRS,BTU,UEC,CMP,HCC,KALU,TMST,MTRN,SXC,MUX,CONSOL Energy Inc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,CEIX,SSIXX,State Street Instl Liquid Reserves Prem,McEwen Mining Inc.,GVMXX,AMR,n/a,SUM
07/09/2021,5.86,4.91,4.78,4.61,4.6,4.57,4.5,4.43,4.37,4.33,4.32,4.3,4.3,4.11,4.08,3.94,3.0,2.8,2.47,2.41,2.33,2.24,2.23,2.21,2.11,1.88,1.7,1.09,0.82,0.62,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,5.79,4.78,4.72,4.42,4.61,4.51,4.66,4.29,4.44,4.33,4.33,4.47,4.26,3.89,3.86,3.99,3.01,3.0,2.53,2.43,2.87,2.08,2.22,2.32,2.1,1.87,1.66,1.09,0.75,0.65,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,5.79,4.78,4.72,4.42,4.61,4.51,4.66,4.29,4.44,4.33,4.33,4.47,4.26,3.89,3.86,3.99,3.01,3.0,2.53,2.43,2.87,2.08,2.22,2.32,2.1,1.87,1.66,1.09,0.75,0.65,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,5.58,4.85,4.6,4.58,4.56,4.41,4.58,4.33,4.42,4.47,4.24,4.48,4.28,3.85,3.83,4.15,2.98,2.92,2.55,2.46,3.07,2.08,2.2,2.28,2.1,1.9,1.64,1.11,0.75,0.67,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,5.76,4.83,4.57,4.49,4.58,4.36,4.69,4.33,4.44,4.58,4.27,4.49,4.28,3.73,3.73,4.23,3.01,2.89,2.52,2.45,2.94,2.0,2.22,2.33,2.13,1.93,1.64,1.09,0.73,0.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,5.54,4.73,4.69,4.43,4.61,4.47,4.67,4.34,4.44,4.62,4.3,4.42,4.18,3.81,3.87,4.19,3.02,2.93,2.54,2.41,2.95,1.99,2.24,2.31,2.12,1.92,1.66,1.1,0.72,0.69,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,5.37,4.61,4.8,4.42,4.65,4.51,4.73,4.2,4.47,4.42,4.35,4.4,4.08,3.79,3.91,4.04,3.09,2.9,2.6,2.42,2.99,1.99,2.63,2.36,2.08,1.94,1.65,1.09,0.73,0.7,0.1,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,5.36,4.58,4.88,4.45,4.72,4.56,4.78,4.22,4.48,4.23,4.45,4.39,4.21,3.75,3.84,3.96,3.11,2.9,2.69,2.43,2.6,1.96,2.73,2.37,2.12,1.9,1.67,1.1,0.73,0.0,0.0,0.0,0.7,0.12,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,5.37,4.58,4.88,4.45,4.72,4.56,4.78,4.22,4.48,4.23,4.45,4.39,4.21,3.75,3.84,3.97,3.11,2.9,2.69,2.43,2.6,1.96,2.73,2.37,2.12,1.9,1.67,1.1,0.73,0.7,0.12,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,5.36,4.58,4.88,4.45,4.72,4.56,4.78,4.22,4.48,4.23,4.45,4.39,4.21,3.75,3.84,3.96,3.11,2.9,2.69,2.43,2.6,1.96,2.73,2.37,2.12,1.9,1.67,1.1,0.73,0.0,0.0,0.0,0.7,0.0,0.12,0.0,0.0,0.0,0.0,99.99
