,ENB.TO,TRP.TO,KMI,OKE,WMB,LNG,PPL.TO,EPD,TRGP,ET,IPL.TO,KEY.TO,MMP,MPLX,AM,ETRN,GEI.TO,MIC,PAGP,Plains All American Pipeline LP,CNX,WES,ENLC,NFE,DCP,PSXP,SHLX,CQP,CEQP,NS,PAA,SAR.AX,601319.SS,n/a,DTM,SUM
07/09/2021,8.33,7.65,7.02,6.39,6.33,5.56,5.06,4.54,4.54,4.51,4.48,4.35,4.06,3.55,2.86,2.67,2.46,2.2,1.96,1.82,1.64,1.34,1.27,1.17,0.91,0.89,0.67,0.65,0.6,0.49,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/12/2021,8.42,7.79,7.09,6.32,6.33,5.69,5.05,4.57,4.47,4.52,4.53,4.3,4.09,3.5,2.86,2.67,2.46,2.26,1.89,0.0,1.64,1.31,1.22,1.13,0.9,0.88,0.67,0.66,0.59,0.48,1.75,-0.04,0.0,0.0,0.0,100.0
07/13/2021,8.42,7.79,7.09,6.32,6.33,5.69,5.05,4.57,4.47,4.52,4.53,4.3,4.09,3.5,2.86,2.67,2.46,2.26,1.89,0.0,1.64,1.31,1.22,1.13,0.9,0.88,0.67,0.66,0.59,0.48,1.75,-0.04,0.0,0.0,0.0,100.0
07/14/2021,8.3,7.74,7.12,6.45,6.33,5.63,5.08,4.54,4.6,4.49,4.46,4.28,4.04,3.56,2.91,2.7,2.36,2.22,1.91,0.0,1.69,1.32,1.27,1.1,0.9,0.88,0.67,0.65,0.59,0.47,1.77,-0.04,0.0,0.0,0.0,99.99
07/15/2021,8.32,7.76,7.09,6.42,6.31,5.57,5.14,4.6,4.58,4.46,4.51,4.32,4.03,3.54,2.87,2.75,2.41,2.23,1.86,0.0,1.67,1.32,1.29,1.1,0.89,0.87,0.68,0.65,0.58,0.47,1.72,-0.04,0.0,0.0,0.0,99.97
07/16/2021,8.32,7.76,7.09,6.42,6.31,5.57,5.14,4.6,4.58,4.46,4.51,4.32,4.03,3.54,2.87,2.75,2.41,2.23,1.86,0.0,1.67,1.32,1.29,1.1,0.89,0.87,0.68,0.65,0.58,0.47,1.72,-0.04,0.0,0.0,0.0,99.97
07/26/2021,8.43,7.91,7.03,6.29,6.32,5.7,5.26,4.62,4.62,4.46,4.68,4.35,4.08,3.5,2.94,2.63,2.43,2.36,1.86,0.0,1.6,1.29,1.17,1.04,0.85,0.87,0.65,0.64,0.58,0.47,1.72,-0.36,0.0,0.0,0.0,99.99
07/27/2021,8.47,7.91,7.0,6.28,6.3,5.67,5.26,4.63,4.59,4.49,4.7,4.38,4.09,3.53,2.91,2.62,2.44,2.37,1.87,0.0,1.59,1.29,1.19,1.04,0.85,0.86,0.62,0.63,0.59,0.46,1.73,-0.36,0.0,0.0,0.0,100.0
07/28/2021,8.47,7.91,7.0,6.28,6.3,5.67,5.26,4.63,4.59,4.49,4.7,4.38,4.09,3.53,2.91,2.62,2.44,2.37,1.87,0.0,1.59,1.29,1.19,1.04,0.85,0.86,0.62,0.63,0.59,0.46,1.73,-0.36,0.0,0.0,0.0,100.0
07/29/2021,8.33,7.82,7.06,6.27,6.29,5.66,5.39,4.64,4.61,4.42,4.56,4.46,4.15,3.52,2.95,2.67,2.42,2.33,1.87,0.0,1.61,1.34,1.22,0.98,0.87,0.87,0.63,0.62,0.6,0.46,1.73,-0.35,0.0,0.0,0.0,100.0
