,KO,PEP,PG,PM,MDLZ,SBUX,MCD,MO,GIS,MNST,CL,HSY,ADM,KDP,EQIX,SYY,KHC,CMG,STZ,BF.B,ZTS,K,TSN,CAG,BLL,MKC,SJM,YUM,XTSLA,HRL,CPB,CLX,IFF,CHD,LW,CCK,YUMC,TAP,POST,BG,KMB,SAM,BYND,DAR,ELAN,INGR,FRPT,HAIN,BERY,USFD,GPK,CHG.BK,LANC,COLD,AGCO,ECL,MIDD,PFGC,THS,FLO,SON,SMPL,SMG,BF.A,DRI,NEOG,PRMW.TO,HLF,BGS,CELH,JJSF,SAFM,CASY,BCPC,SXT,COKE,COTY,DPZ,ENR,AMCR,MED,JBT,WEN,SLGN,SEE,PKG,WING,MAT,FIZZ,OI,HELE,PBH,SFM,MOS,TWNK,EXLS,SHAK,CNNE,CORE,JACK,BRBR,TXRH,JBSS,UNFI,CBRL,CAKE,MGPI,EPC,NWL,CALM,UVV,CVGW,WW,PPC,PRGO,WDFC,FDP,ATR,VGR,TR,SEB,BJRI,JEF,ACCO,USD,127.HK,n/a,BISXX,DOUG WI,DOUG,SUM
07/09/2021,11.31,10.12,7.58,5.1,4.58,4.5,4.41,3.93,3.07,2.74,2.19,1.87,1.79,1.7,1.6,1.49,1.49,1.44,1.39,1.28,1.27,1.24,1.23,1.19,1.19,1.16,0.99,0.83,0.75,0.71,0.62,0.62,0.6,0.6,0.59,0.57,0.54,0.49,0.46,0.45,0.44,0.41,0.36,0.36,0.31,0.28,0.26,0.25,0.25,0.24,0.21,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/12/2021,11.32,10.21,7.66,5.02,4.62,4.55,4.41,3.85,3.05,2.72,2.21,1.89,1.75,1.68,1.66,1.45,1.47,1.45,1.37,1.27,1.3,1.24,1.22,1.2,1.25,1.14,0.99,0.84,0.75,0.72,0.63,0.63,0.59,0.61,0.59,0.59,0.54,0.49,0.46,0.43,0.44,0.41,0.33,0.35,0.31,0.29,0.26,0.25,0.25,0.23,0.21,0.0,0.2,0.2,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/13/2021,11.32,10.21,7.66,5.02,4.62,4.55,4.41,3.85,3.05,2.72,2.21,1.89,1.75,1.68,1.66,1.45,1.47,1.45,1.37,1.27,1.3,1.24,1.22,1.2,1.25,1.14,0.99,0.84,0.75,0.72,0.63,0.63,0.59,0.61,0.59,0.59,0.54,0.49,0.46,0.43,0.44,0.41,0.33,0.35,0.31,0.29,0.26,0.25,0.25,0.23,0.21,0.0,0.2,0.2,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/14/2021,11.32,10.12,7.62,5.04,4.59,4.58,4.43,3.91,3.03,2.71,2.2,1.89,1.77,1.68,1.64,1.48,1.47,1.46,1.36,1.27,1.29,1.24,1.22,1.2,1.23,1.14,1.0,0.84,0.81,0.71,0.62,0.62,0.59,0.61,0.59,0.59,0.53,0.49,0.46,0.43,0.44,0.42,0.33,0.35,0.31,0.29,0.26,0.25,0.25,0.24,0.21,0.0,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,99.94999999999996
07/15/2021,11.32,10.12,7.62,5.04,4.59,4.58,4.43,3.91,3.03,2.71,2.2,1.89,1.77,1.68,1.64,1.48,1.47,1.46,1.36,1.27,1.29,1.24,1.22,1.2,1.23,1.14,1.0,0.84,0.81,0.71,0.62,0.62,0.59,0.61,0.59,0.59,0.53,0.49,0.46,0.43,0.44,0.42,0.33,0.35,0.31,0.29,0.26,0.25,0.25,0.24,0.21,0.0,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,99.94999999999996
07/16/2021,11.46,10.38,7.63,4.96,4.61,4.67,4.45,3.87,3.01,2.77,2.21,1.89,1.75,1.69,1.64,1.43,1.45,1.47,1.35,1.23,1.31,1.22,1.2,1.13,1.23,1.12,0.99,0.83,0.88,0.7,0.61,0.62,0.58,0.6,0.57,0.59,0.54,0.47,0.45,0.43,0.44,0.4,0.32,0.35,0.31,0.27,0.26,0.25,0.25,0.23,0.21,0.0,0.2,0.2,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/19/2021,11.64,10.43,7.67,4.99,4.64,4.6,4.42,3.88,3.01,2.79,2.21,1.91,1.72,1.72,1.65,1.4,1.44,1.44,1.34,1.23,1.3,1.22,1.19,1.14,1.22,1.13,1.0,0.82,0.87,0.71,0.61,0.62,0.57,0.6,0.57,0.58,0.53,0.46,0.44,0.42,0.44,0.39,0.3,0.35,0.3,0.27,0.24,0.25,0.24,0.23,0.21,0.0,0.2,0.2,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,99.93
07/20/2021,11.64,10.43,7.67,4.99,4.64,4.6,4.42,3.88,3.01,2.79,2.21,1.91,1.72,1.72,1.65,1.4,1.44,1.44,1.34,1.23,1.3,1.22,1.19,1.14,1.22,1.13,1.0,0.82,0.87,0.71,0.61,0.62,0.57,0.6,0.57,0.58,0.53,0.46,0.44,0.42,0.44,0.39,0.3,0.35,0.3,0.27,0.24,0.25,0.24,0.23,0.21,0.0,0.2,0.2,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,99.93
07/21/2021,11.64,10.48,7.75,4.98,4.65,4.59,4.38,3.87,3.03,2.78,2.24,1.91,1.7,1.71,1.65,1.38,1.44,1.42,1.33,1.22,1.3,1.23,1.18,1.15,1.24,1.14,1.01,0.82,0.88,0.71,0.61,0.64,0.57,0.61,0.56,0.57,0.53,0.46,0.44,0.41,0.45,0.39,0.29,0.35,0.3,0.27,0.24,0.25,0.24,0.22,0.2,0.0,0.21,0.2,0.17,0.19,0.19,0.17,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.1,0.11,0.1,0.11,0.09,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,99.99
07/22/2021,11.59,10.56,7.81,4.97,4.67,4.5,4.31,3.86,3.08,2.77,2.24,1.92,1.69,1.71,1.66,1.37,1.45,1.42,1.33,1.22,1.3,1.25,1.18,1.17,1.22,1.16,1.02,0.81,0.88,0.72,0.62,0.65,0.56,0.61,0.54,0.56,0.52,0.46,0.44,0.41,0.45,0.41,0.3,0.34,0.31,0.27,0.24,0.26,0.24,0.21,0.2,0.0,0.2,0.2,0.17,0.18,0.19,0.16,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.1,0.11,0.11,0.11,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,99.98999999999997
