,DANGCEM.NL,GTCO NL,NESTLE.NL,ZENITHBANK.NL,CASH,MTNN.NL,FBNH.NL,STANBIC.NL,NB.NL,FLOURMILL.NL,UBA.NL,DANGSUGAR.NL,WAPCO.NL,ACCESS.NL,FCMB.NL,FIDELITYBK.NL,TRANSCORP.NL,ETI.NL,UACN.NL,STERLNBANK.NL,UNILEVER NL,GTCO.NL,UNILEVER.NL,STERLNBA NL,B 08/12/21,n/a,B 0 08/12/21,UPDCREIT.NL,SUM
07/09/2021,14.12,10.33,9.96,8.25,7.16,4.83,4.54,4.36,4.09,3.82,3.65,3.56,3.49,3.33,2.83,2.18,2.03,1.98,1.98,1.81,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,14.11,10.32,9.95,8.3,7.16,4.82,4.59,4.32,4.08,3.83,3.48,3.6,3.56,3.31,2.76,2.18,2.16,1.96,1.99,1.81,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,14.11,10.32,9.95,8.3,7.16,4.82,4.59,4.32,4.08,3.83,3.48,3.6,3.56,3.31,2.76,2.18,2.16,1.96,1.99,1.81,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,14.12,10.38,9.95,8.29,7.14,4.82,4.66,4.32,4.09,3.83,3.48,3.6,3.57,3.29,2.73,2.18,2.12,1.98,1.98,1.78,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,14.17,10.45,9.99,8.14,7.15,4.81,4.55,4.34,4.1,3.84,3.5,3.61,3.54,3.3,2.74,2.21,2.12,1.95,1.99,1.79,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,14.18,0.0,10.0,8.11,7.16,4.81,4.37,4.34,4.1,3.84,3.52,3.61,3.54,3.34,2.74,2.21,2.15,1.99,2.02,1.81,1.72,10.42,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,14.2,0.0,10.01,8.12,7.16,4.85,4.38,4.38,3.97,3.85,3.55,3.58,3.57,3.27,2.76,2.28,2.17,1.99,2.04,1.77,1.72,10.38,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,14.2,0.0,10.01,8.12,7.16,4.85,4.38,4.38,3.97,3.85,3.55,3.58,3.57,3.27,2.76,2.28,2.17,1.99,2.04,1.77,1.72,10.38,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,14.16,0.0,9.99,8.15,7.14,4.87,4.43,4.37,3.96,3.84,3.61,3.53,3.55,3.34,2.74,2.27,2.1,2.02,2.04,1.77,1.72,10.39,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,14.18,0.0,10.0,8.16,7.15,4.87,4.4,4.38,3.97,3.84,3.61,3.53,3.56,3.34,2.74,2.28,2.15,1.95,2.04,0.0,0.0,10.42,1.72,1.72,0.0,0.0,0.0,0.0,100.01
07/23/2021,14.18,0.0,10.0,8.16,7.14,4.87,4.4,4.38,3.97,3.84,3.62,3.53,3.56,3.34,2.75,2.28,2.15,1.95,2.04,0.0,0.0,10.42,1.72,1.72,0.0,0.0,0.0,0.0,100.02
07/26/2021,15.09,0.0,9.87,8.12,7.03,4.81,4.5,4.29,3.91,3.79,3.57,3.5,3.51,3.28,2.71,2.24,2.12,1.92,2.04,0.0,0.0,10.3,1.71,1.71,0.0,0.0,0.0,0.0,100.02
07/27/2021,15.09,0.0,9.87,8.12,7.03,4.81,4.5,4.29,3.91,3.79,3.57,3.5,3.51,3.28,2.71,2.24,2.12,1.92,2.04,0.0,0.0,10.3,1.71,1.71,0.0,0.0,0.0,0.0,100.02
07/29/2021,14.92,0.0,9.75,8.03,6.93,4.75,4.44,4.24,3.87,3.86,3.57,3.52,3.67,3.31,2.69,2.28,2.1,1.98,2.27,0.0,0.0,10.24,1.84,1.73,0.0,0.0,0.0,0.0,99.99
07/30/2021,14.9,0.0,9.75,8.07,6.92,4.69,4.44,4.27,3.87,3.86,3.55,3.6,3.67,3.33,2.76,2.31,2.09,1.96,2.25,0.0,0.0,10.19,1.82,1.71,0.0,0.0,0.0,0.0,100.00999999999998
08/02/2021,15.06,0.0,9.85,8.04,-11.32,4.77,4.43,4.31,3.91,3.81,3.49,3.63,3.71,3.27,2.7,2.2,2.09,2.01,2.05,1.73,0.0,10.13,1.82,0.0,18.31,0.0,0.0,0.0,100.0
08/03/2021,15.06,0.0,9.85,8.04,-11.32,4.77,4.43,4.31,3.91,3.81,3.49,3.63,3.71,3.27,2.7,2.2,2.09,2.01,2.05,1.73,0.0,10.13,1.82,0.0,18.31,0.0,0.0,0.0,100.0
08/04/2021,15.05,0.0,9.84,8.06,-11.3,4.79,4.42,4.3,3.87,3.8,3.49,3.68,3.7,3.28,2.71,2.24,2.29,1.97,2.05,1.72,0.0,9.92,1.82,0.0,18.29,0.0,0.0,0.0,99.99
08/05/2021,15.1,0.0,9.87,8.11,-11.36,4.9,4.5,4.31,3.88,3.81,3.5,3.5,3.53,3.3,2.72,2.23,2.21,2.0,2.02,1.7,0.0,9.96,1.85,0.0,18.36,0.0,0.0,0.0,99.99999999999996
08/06/2021,15.15,0.0,9.9,8.06,7.02,5.0,4.45,4.32,3.86,3.83,3.46,3.5,3.54,3.24,2.73,2.24,2.1,2.01,2.02,0.0,0.0,9.97,1.9,1.7,0.0,0.0,0.0,0.0,100.0
08/10/2021,15.14,0.0,9.9,8.06,0.0,4.91,4.39,4.33,3.86,3.88,3.46,3.55,3.58,3.27,2.84,2.25,2.1,2.02,2.02,0.0,0.0,9.81,1.9,1.72,0.0,7.01,0.0,0.0,100.0
08/11/2021,15.13,0.0,9.89,8.04,0.0,4.91,4.39,4.33,3.86,3.88,3.46,3.54,3.58,3.27,2.82,2.24,2.15,2.04,2.02,0.0,0.0,9.81,1.89,1.75,0.0,7.0,0.0,0.0,100.0
08/13/2021,14.71,0.0,9.94,7.99,0.0,5.05,4.41,4.35,3.87,3.74,3.52,3.62,3.56,3.32,2.87,2.28,2.16,2.09,2.03,0.0,0.0,9.85,1.88,1.73,0.0,7.02,0.0,0.0,99.99
08/16/2021,14.77,0.0,9.92,8.04,0.0,5.04,4.37,4.34,3.87,3.82,3.47,3.51,3.55,3.28,2.82,2.3,2.11,2.16,2.02,0.0,0.0,9.97,1.89,1.74,0.0,7.0,0.0,0.0,99.98999999999998
08/18/2021,14.72,0.0,9.88,8.05,0.0,5.02,4.38,4.33,3.85,3.67,3.5,3.5,3.62,3.26,2.74,2.34,2.15,2.15,2.03,0.0,0.0,9.88,2.03,1.72,0.0,7.17,0.0,0.0,99.99
08/19/2021,14.72,0.0,9.88,8.0,0.0,5.02,4.41,4.33,3.85,3.69,3.48,3.59,3.57,3.26,2.85,2.23,2.12,2.12,2.07,0.0,0.0,9.92,2.03,1.7,0.0,7.15,0.0,0.0,99.99
08/20/2021,15.27,0.0,9.02,8.01,0.0,5.04,4.46,4.34,3.87,3.71,3.49,3.6,3.59,3.28,2.86,2.28,2.15,2.11,2.11,0.0,0.0,9.94,1.97,1.73,0.0,7.17,0.0,0.0,100.0
08/23/2021,15.31,0.0,9.05,8.05,0.0,5.05,4.47,4.36,3.54,3.72,3.53,3.6,3.76,3.29,2.77,2.27,2.23,2.02,2.12,0.0,0.0,9.86,1.97,1.72,0.0,7.32,0.0,0.0,100.01
08/24/2021,15.31,0.0,9.05,8.05,0.0,5.05,4.47,4.36,3.54,3.72,3.53,3.6,3.76,3.29,2.77,2.27,2.23,2.02,2.12,0.0,0.0,9.86,1.97,1.72,0.0,7.32,0.0,0.0,100.01
08/25/2021,15.29,0.0,9.03,8.06,0.0,5.05,4.46,4.35,3.53,3.71,3.5,3.59,3.7,3.24,2.82,2.26,2.2,2.01,2.32,0.0,0.0,9.88,1.97,1.73,0.0,7.31,0.0,0.0,100.01000000000002
08/26/2021,15.33,0.0,9.06,8.08,0.0,5.06,4.48,4.36,3.54,3.71,3.51,3.6,3.52,3.29,2.76,2.27,2.19,2.02,2.33,0.0,0.0,9.84,1.97,1.76,0.0,7.32,0.0,0.0,100.0
08/27/2021,15.33,0.0,9.06,8.15,0.0,5.06,4.51,4.36,3.54,3.7,3.46,3.63,3.6,3.26,2.74,2.23,2.19,2.08,2.17,0.0,0.0,9.88,1.97,1.76,0.0,7.31,0.0,0.0,99.99
08/30/2021,15.35,0.0,9.06,8.09,0.0,5.07,4.54,4.36,3.55,3.68,3.47,3.53,3.61,3.29,2.81,2.27,2.17,2.08,2.24,0.0,0.0,9.81,1.98,1.74,0.0,7.32,0.0,0.0,100.02
08/31/2021,15.35,0.0,9.06,8.09,0.0,5.07,4.54,4.36,3.55,3.68,3.47,3.53,3.61,3.29,2.81,2.27,2.17,2.08,2.24,0.0,0.0,9.81,1.98,1.74,0.0,7.32,0.0,0.0,100.02
09/01/2021,15.37,0.0,9.08,8.14,0.0,5.09,4.55,4.37,3.55,3.73,3.5,3.61,3.61,3.3,2.82,2.27,2.1,2.08,2.23,0.0,0.0,9.74,1.78,1.75,0.0,7.32,0.0,0.0,99.99
09/02/2021,15.03,0.0,9.12,8.12,0.0,5.11,4.57,4.39,3.77,3.75,3.53,3.65,3.63,3.28,2.81,2.27,2.06,2.01,2.26,0.0,0.0,9.76,1.79,1.76,0.0,7.34,0.0,0.0,100.01000000000002
09/03/2021,15.11,0.0,9.17,8.08,0.0,5.14,4.6,4.41,3.41,3.75,3.58,3.64,3.65,3.33,2.83,2.25,2.1,2.01,2.26,0.0,0.0,9.77,1.8,1.75,0.0,7.38,0.0,0.0,100.02
09/06/2021,15.24,0.0,9.17,8.1,0.0,5.14,4.59,4.41,3.31,3.75,3.62,3.62,3.65,3.39,2.78,2.3,2.05,2.01,2.16,0.0,0.0,9.82,1.8,1.73,0.0,7.38,0.0,0.0,100.02
09/08/2021,15.2,0.0,9.15,8.09,0.0,5.13,4.58,4.27,3.3,3.89,3.64,3.61,3.7,3.36,2.73,2.24,2.16,2.0,2.15,1.73,0.0,9.92,1.79,0.0,0.0,7.35,0.0,0.0,99.99
09/09/2021,15.2,0.0,9.15,8.09,0.0,5.13,4.58,4.27,3.3,3.89,3.64,3.61,3.7,3.36,2.73,2.24,2.16,2.0,2.15,1.73,0.0,9.92,1.79,0.0,0.0,7.35,0.0,0.0,99.99
09/10/2021,15.27,0.0,9.19,8.16,0.0,5.15,4.57,4.23,3.32,3.74,3.54,3.54,3.74,3.45,2.69,2.25,2.1,2.03,2.17,1.8,0.0,9.87,1.8,0.0,0.0,7.38,0.0,0.0,99.99
09/13/2021,15.3,0.0,9.21,8.05,0.0,5.16,4.61,4.19,3.37,3.75,3.71,3.59,3.73,3.46,2.74,2.21,2.11,2.01,2.17,1.73,0.0,9.71,1.81,0.0,0.0,7.39,0.0,0.0,100.01000000000002
09/14/2021,15.3,0.0,9.21,8.05,0.0,5.16,4.61,4.19,3.37,3.75,3.71,3.59,3.73,3.46,2.74,2.21,2.11,2.01,2.17,1.73,0.0,9.71,1.81,0.0,0.0,7.39,0.0,0.0,100.01000000000002
09/15/2021,15.32,0.0,9.22,8.02,0.0,5.17,4.65,4.2,3.37,3.78,3.6,3.61,3.73,3.39,2.79,2.21,2.11,1.94,2.14,1.73,0.0,9.71,1.81,0.0,0.0,7.49,0.0,0.0,99.99000000000002
09/16/2021,15.29,0.0,9.2,8.01,0.0,5.16,4.61,4.2,3.38,3.77,3.64,3.61,3.66,3.42,2.82,2.3,2.11,1.95,2.13,1.76,0.0,9.71,1.8,0.0,0.0,7.47,0.0,0.0,100.0
09/17/2021,15.31,0.0,9.21,8.05,0.0,5.16,4.62,4.21,3.38,3.79,3.62,3.55,3.75,3.42,2.76,2.35,2.08,1.96,2.03,1.74,0.0,9.69,1.81,0.0,0.0,7.52,0.0,0.0,100.01
09/20/2021,15.33,0.0,9.22,8.01,0.0,5.24,4.62,4.21,3.38,3.8,3.6,3.53,3.67,3.32,2.77,2.32,2.16,1.96,2.03,1.73,0.0,9.72,1.81,0.0,0.0,7.58,0.0,0.0,100.01
09/21/2021,15.33,0.0,9.22,8.01,0.0,5.24,4.62,4.21,3.38,3.8,3.6,3.53,3.67,3.32,2.77,2.32,2.16,1.96,2.03,1.73,0.0,9.72,1.81,0.0,0.0,7.58,0.0,0.0,100.01
09/22/2021,15.27,0.0,9.19,8.03,0.0,5.22,4.61,4.21,3.37,3.79,3.58,3.52,3.57,3.3,2.76,2.33,2.15,1.95,2.06,1.71,0.0,10.02,1.8,0.0,0.0,7.55,0.0,0.0,99.99
09/23/2021,15.32,0.0,9.22,7.96,0.0,5.24,4.62,4.11,3.38,3.8,3.6,3.53,3.67,3.31,2.78,2.29,2.16,1.98,2.08,1.73,0.0,9.8,1.77,0.0,0.0,7.66,0.0,0.0,100.01
09/24/2021,15.33,0.0,9.22,7.77,0.0,5.24,4.62,4.22,3.38,3.79,3.62,3.53,3.72,3.28,2.78,2.31,2.16,2.04,2.08,1.73,0.0,9.73,1.77,0.0,0.0,7.67,0.0,0.0,99.99
09/27/2021,15.35,0.0,9.24,7.75,0.0,5.25,4.63,4.23,3.39,3.84,3.53,3.54,3.74,3.17,2.76,2.32,2.09,2.0,2.07,1.72,0.0,9.85,1.77,0.0,0.0,7.75,0.0,0.0,99.99
09/28/2021,15.35,0.0,9.24,7.75,0.0,5.25,4.63,4.23,3.39,3.84,3.53,3.54,3.74,3.17,2.76,2.32,2.09,2.0,2.07,1.72,0.0,9.85,1.77,0.0,0.0,7.75,0.0,0.0,99.99
09/29/2021,15.25,0.0,9.18,7.92,0.0,5.22,4.6,4.2,3.37,3.78,3.53,3.52,3.72,3.28,2.74,2.35,2.15,2.05,2.06,1.69,0.0,9.92,1.76,0.0,0.0,7.71,0.0,0.0,100.0
09/30/2021,15.25,0.0,9.18,7.9,0.0,5.22,4.6,4.2,3.37,3.82,3.51,3.56,3.73,3.37,2.78,2.34,2.12,2.03,2.08,1.69,0.0,9.76,1.76,0.0,0.0,7.75,0.0,0.0,100.02
10/01/2021,15.05,0.0,9.84,8.06,0.0,4.79,4.42,4.3,3.87,3.8,3.49,3.68,3.7,3.28,2.71,2.24,2.29,1.97,2.05,1.72,0.0,9.92,1.82,0.0,0.0,0.0,18.29,0.0,111.29
10/04/2021,16.83,0.0,9.37,7.63,0.0,5.03,4.77,4.06,3.3,3.75,3.43,3.43,3.67,3.24,2.59,2.28,2.09,2.01,2.04,1.63,0.0,9.68,1.7,0.0,0.0,7.48,0.0,0.0,100.01
10/05/2021,16.83,0.0,9.37,7.63,0.0,5.03,4.77,4.06,3.3,3.75,3.43,3.43,3.67,3.24,2.59,2.28,2.09,2.01,2.04,1.63,0.0,9.68,1.7,0.0,0.0,7.48,0.0,0.0,100.01
10/06/2021,16.83,0.0,9.37,7.63,0.0,5.03,4.77,4.06,3.3,3.75,3.43,3.43,3.67,3.24,2.59,2.28,2.09,2.01,2.04,1.63,0.0,9.68,1.7,0.0,0.0,7.48,0.0,0.0,100.01
10/07/2021,16.8,0.0,9.35,7.63,0.0,5.03,4.85,4.05,3.29,3.75,3.45,3.45,3.65,3.23,2.64,2.26,2.09,2.01,2.03,1.62,0.0,9.68,1.7,0.0,0.0,7.46,0.0,0.0,100.02000000000002
10/08/2021,16.6,0.0,9.24,7.67,0.0,4.97,5.26,4.0,3.26,3.62,3.57,3.43,3.6,3.28,2.58,2.3,2.13,2.1,2.01,1.64,0.0,9.7,1.68,0.0,0.0,7.37,0.0,0.0,100.01000000000002
10/11/2021,16.46,0.0,9.16,7.69,0.0,4.93,5.79,3.97,3.23,3.59,3.52,3.36,3.66,3.25,2.66,2.37,2.05,2.19,1.98,1.59,0.0,9.59,1.66,0.0,0.0,7.3,0.0,0.0,100.0
10/12/2021,16.46,0.0,9.16,7.69,0.0,4.93,5.79,3.97,3.23,3.59,3.52,3.36,3.66,3.25,2.66,2.37,2.05,2.19,1.98,1.59,0.0,9.59,1.66,0.0,0.0,7.3,0.0,0.0,100.0
10/13/2021,16.39,0.0,9.12,7.76,0.0,4.9,5.65,3.95,3.21,3.58,3.52,3.34,3.64,3.24,2.67,2.35,2.11,2.29,2.06,1.65,0.0,9.61,1.66,0.0,0.0,7.27,0.0,0.0,99.97
10/14/2021,16.43,0.0,9.14,7.8,0.0,4.92,5.61,3.86,3.03,3.59,3.53,3.35,3.83,3.26,2.67,2.36,2.07,2.51,2.07,1.61,0.0,9.43,1.66,0.0,0.0,7.27,0.0,0.0,100.0
10/15/2021,16.28,0.0,9.06,7.73,0.0,4.87,6.1,3.86,3.0,3.56,3.54,3.36,3.74,3.29,2.64,2.35,2.07,2.67,2.05,1.57,0.0,9.41,1.64,0.0,0.0,7.21,0.0,0.0,100.0
10/18/2021,16.08,0.0,8.95,7.68,0.0,4.81,6.65,3.88,2.99,3.52,3.59,3.32,3.87,3.25,2.57,2.47,2.09,2.4,2.09,1.67,0.0,9.4,1.62,0.0,0.0,7.11,0.0,0.0,100.01
10/19/2021,16.08,0.0,8.95,7.68,0.0,4.81,6.65,3.88,2.99,3.52,3.59,3.32,3.87,3.25,2.57,2.47,2.09,2.4,2.09,1.67,0.0,9.4,1.62,0.0,0.0,7.11,0.0,0.0,100.01
10/21/2021,16.07,0.0,8.49,7.72,0.0,4.67,6.65,3.93,3.05,3.51,3.61,3.32,3.79,3.24,2.69,2.42,2.15,2.47,2.09,1.64,0.0,9.76,1.62,0.0,0.0,7.1,0.0,0.0,99.99
10/22/2021,16.07,0.0,8.49,7.72,0.0,4.67,6.65,3.93,3.05,3.51,3.61,3.32,3.79,3.24,2.69,2.42,2.15,2.47,2.09,1.64,0.0,9.76,1.62,0.0,0.0,7.1,0.0,0.0,99.99
10/25/2021,15.99,0.0,8.45,7.71,0.0,4.76,6.81,3.9,3.26,3.49,3.61,3.37,3.79,3.19,2.68,2.39,2.16,2.58,2.08,1.6,0.0,9.51,1.61,0.0,0.0,7.05,0.0,0.0,99.99
10/26/2021,15.99,0.0,8.45,7.71,0.0,4.76,6.81,3.9,3.26,3.49,3.61,3.37,3.79,3.19,2.68,2.39,2.16,2.58,2.08,1.6,0.0,9.51,1.61,0.0,0.0,7.05,0.0,0.0,99.99
10/27/2021,15.94,0.0,8.42,7.7,0.0,4.74,6.87,4.04,3.25,3.46,3.62,3.36,3.79,3.18,2.63,2.36,2.15,2.67,2.07,1.61,0.0,9.31,1.77,0.0,0.0,7.03,0.0,0.0,99.96999999999998
10/28/2021,15.92,0.0,8.41,7.66,0.0,4.74,7.03,3.84,3.25,3.49,3.59,3.36,3.74,3.16,2.67,2.39,2.15,2.71,2.07,1.57,0.0,9.34,1.89,0.0,0.0,7.01,0.0,0.0,99.99
10/29/2021,15.91,0.0,8.41,7.63,0.0,4.74,6.94,3.84,3.15,3.49,3.63,3.36,3.79,3.16,2.7,2.41,2.15,2.77,2.13,1.59,0.0,9.3,1.9,0.0,0.0,7.01,0.0,0.0,100.01
11/04/2021,15.95,0.0,8.4,7.75,0.0,4.79,4.95,3.85,3.53,3.5,4.01,3.09,4.33,3.46,2.71,2.39,2.22,3.22,2.13,1.58,0.0,9.29,1.9,0.0,0.0,6.97,0.0,0.0,100.02
11/05/2021,16.15,0.0,8.5,7.8,0.0,4.85,4.66,3.89,3.57,3.52,4.03,3.15,4.27,3.45,2.58,2.37,2.2,3.15,1.95,1.55,0.0,9.37,1.93,0.0,0.0,7.06,0.0,0.0,100.0
11/09/2021,16.19,0.0,8.53,7.67,0.0,4.86,5.5,3.91,3.58,3.53,3.85,3.17,4.09,3.44,2.63,2.4,2.17,3.19,1.95,1.6,0.0,9.36,1.77,0.0,0.0,6.6,0.0,0.0,99.99
11/10/2021,16.1,0.0,8.48,7.66,0.0,4.84,6.29,3.88,3.56,3.43,4.0,3.15,4.05,3.51,2.61,2.39,2.22,3.23,2.09,1.65,0.0,9.31,1.64,0.0,0.0,5.93,0.0,0.0,100.02
11/11/2021,15.99,0.0,8.42,7.57,0.0,5.27,6.39,3.86,3.54,3.41,3.97,3.13,4.1,3.47,2.59,2.37,2.18,3.31,2.24,1.58,0.0,9.16,1.79,0.0,0.0,5.88,0.0,-0.21,100.01000000000002
