,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY NOTE.5,TREASURY NOTE.6,TREASURY NOTE.7,BLK CSH FND TREASURY SL AGENCY,TREASURY NOTE.8,TREASURY NOTE.9,T 2.375 01/31/23,T 2.5 08/15/23,T 2.75 05/31/23,T 2.875 11/30/23,T 2.75 07/31/23,T 2.875 10/31/23,T 0.25 11/15/23,T 0.125 10/15/23,XTSLA,United States Treasury Notes 0.25%,T 0.125 12/15/23,4282.T,T 0.25 03/15/24,United States Treasury Notes 0.13%,T 0.375 08/15/24,n/a,SUM
07/09/2021,23.41,19.17,18.45,13.38,12.45,11.43,0.61,0.55,0.43,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.42,19.18,18.45,13.37,12.45,11.43,0.61,0.55,0.4,0.07,0.07,0.01,0.0,0.0,0.0,0.0,100.01
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41,19.18,18.45,13.38,12.45,11.43,0.61,0.55,0.4,0.0,0.0,0.01,0.07,0.07,0.0,0.0,100.01
09/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.17,18.96,18.46,13.38,12.29,11.43,0.61,0.55,0.6,0.0,0.07,0.0,0.07,0.0,0.41,0.0,99.99999999999999
