,605277.SS,XRT,SPY,SPHB,XHB,FXO,KBWB,IAT,PSCE,FCG,IEO,AMZA,CALF,IJS,SLYV,AVUV,URA,XSVM,SLX,URNM,First Trust Materials AlphaDEX® ETF,XME,605277.SS.1,DRIV,TECH,LIT,BATT,PEJ,FXN,MLPA,AMLP,FENY,VDE,XES,OIH,SPDR® S&P Oil & Gas Explor & Prodtn ETF,U.S. Bank Money Market Deposit Account,XOP,VanEck Vectors Oil Services ETF,Invesco S&P SmallCap Energy ETF,VICI,IAI,603087.SS,n/a,SUM
07/09/2021,15.27,7.33,7.16,6.94,6.91,4.5,4.38,4.38,4.04,4.03,3.8,3.74,2.88,2.79,2.79,2.76,2.73,2.73,2.72,2.66,2.6,2.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,0.0,7.05,14.67,0.0,0.0,0.0,0.0,0.0,1.13,1.14,1.15,1.17,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.23,13.96,7.53,7.13,7.05,1.2,1.18,1.18,1.16,1.16,1.15,1.14,1.13,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,0.0,7.05,14.67,0.0,0.0,0.0,0.0,0.0,1.13,1.14,1.15,1.17,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.23,13.96,7.53,7.13,7.05,1.2,1.18,1.18,1.16,1.16,1.15,1.14,1.13,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,0.0,7.06,14.65,0.0,0.0,0.0,0.0,0.0,1.15,1.16,1.16,1.17,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.16,13.99,7.62,7.11,7.0,1.21,1.19,1.18,1.17,1.16,1.15,0.0,0.0,0.55,1.15,1.14,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/15/2021,0.0,7.15,14.46,0.0,0.0,0.0,0.0,0.0,1.15,1.15,1.15,1.16,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,13.38,7.98,7.27,7.0,1.2,1.17,1.17,1.16,1.16,1.16,1.15,1.13,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
07/16/2021,0.0,7.15,14.46,0.0,0.0,0.0,0.0,0.0,1.15,1.15,1.15,1.16,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,13.38,7.98,7.27,7.0,1.2,1.17,1.17,1.16,1.16,1.16,1.15,1.13,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
07/19/2021,0.0,7.08,14.73,0.0,0.0,0.0,0.0,0.0,1.1,1.11,1.12,1.14,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,13.86,7.85,7.16,6.96,1.16,1.15,1.15,1.13,1.13,1.11,1.11,1.09,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,0.0,7.02,14.78,0.0,0.0,0.0,0.0,0.0,1.08,1.08,1.1,1.13,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24,14.0,8.03,7.26,6.92,1.15,1.15,1.14,1.13,1.12,1.07,1.07,1.07,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/21/2021,0.0,7.04,14.91,0.0,0.0,0.0,0.0,0.0,1.05,1.06,1.09,1.12,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.23,14.28,7.9,7.19,6.91,1.13,1.15,1.14,1.11,1.11,1.06,1.06,1.05,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,0.0,7.04,14.91,0.0,0.0,0.0,0.0,0.0,1.05,1.06,1.09,1.12,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.23,14.28,7.9,7.19,6.91,1.13,1.15,1.14,1.11,1.11,1.06,1.06,1.05,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,0.0,7.11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.06,1.08,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.3,7.9,7.2,6.88,1.12,1.12,1.12,1.09,1.09,1.03,1.04,0.0,0.57,1.03,0.0,1.02,0.0,0.0,0.0,0.0,99.98
07/26/2021,0.0,7.19,14.72,0.0,0.0,0.0,0.0,0.0,1.06,1.06,1.09,1.09,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,13.68,8.18,7.36,6.92,1.14,1.12,1.12,1.11,1.1,1.07,1.07,1.06,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,7.19,14.72,0.0,0.0,0.0,0.0,0.0,1.06,1.06,1.09,1.09,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,13.68,8.18,7.36,6.92,1.14,1.12,1.12,1.11,1.1,1.07,1.07,1.06,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
