,IVV,YSS.V,YSS.V.1,YSS.V.2,YSS.V.3,YSS.V.4,SPX 06/16/23 C5600 Index,SPY 03/17/23 C510 Equity,SPY 09/16/22 C510 Equity,SPX 03/18/22 C5000 Index,n/a,SUM
07/09/2021,97.36,1.25,0.57,0.41,0.39,0.01,0.0,0.0,0.0,0.0,0.0,99.99
10/14/2021,97.8,0.0,0.0,0.0,0.0,0.0,0.84,0.61,0.42,0.32,0.01,100.0
10/15/2021,97.9,0.0,0.0,0.0,0.0,0.0,0.87,0.56,0.39,0.28,0.01,100.01000000000002
10/18/2021,97.51,0.0,0.0,0.0,0.0,0.0,0.94,0.62,0.49,0.43,0.01,100.0
10/19/2021,97.51,0.0,0.0,0.0,0.0,0.0,0.94,0.62,0.49,0.43,0.01,100.0
10/20/2021,97.51,0.0,0.0,0.0,0.0,0.0,0.94,0.62,0.49,0.43,0.01,100.0
10/21/2021,97.11,0.0,0.0,0.0,0.0,0.0,1.08,0.7,0.57,0.53,0.0,99.99
10/22/2021,96.94,0.0,0.0,0.0,0.0,0.0,1.12,0.74,0.61,0.59,0.0,100.0
10/25/2021,96.81,0.0,0.0,0.0,0.0,0.0,1.14,0.78,0.63,0.61,0.02,99.99
10/26/2021,96.81,0.0,0.0,0.0,0.0,0.0,1.14,0.78,0.63,0.61,0.02,99.99
10/27/2021,96.85,0.0,0.0,0.0,0.0,0.0,1.14,0.77,0.63,0.59,0.02,100.0
10/28/2021,96.73,0.0,0.0,0.0,0.0,0.0,1.17,0.81,0.65,0.62,0.02,100.0
10/29/2021,96.64,0.0,0.0,0.0,0.0,0.0,1.19,0.82,0.67,0.65,0.02,99.99
11/01/2021,96.32,0.0,0.0,0.0,0.0,0.0,1.27,0.88,0.74,0.77,0.02,99.99999999999996
11/02/2021,96.32,0.0,0.0,0.0,0.0,0.0,1.27,0.88,0.74,0.77,0.02,99.99999999999996
11/03/2021,96.2,0.0,0.0,0.0,0.0,0.0,1.3,0.91,0.77,0.81,0.02,100.01
11/04/2021,96.15,0.0,0.0,0.0,0.0,0.0,1.31,0.91,0.78,0.83,0.01,99.99
11/05/2021,96.01,0.0,0.0,0.0,0.0,0.0,1.35,0.94,0.81,0.88,0.01,100.0
11/08/2021,95.28,0.0,0.0,0.0,0.0,0.0,1.53,1.05,0.97,1.17,0.01,100.01
11/09/2021,95.28,0.0,0.0,0.0,0.0,0.0,1.53,1.05,0.97,1.17,0.01,100.01
11/10/2021,94.89,0.0,0.0,0.0,0.0,0.0,1.62,1.09,1.04,1.35,0.01,100.0
11/11/2021,94.78,0.0,0.0,0.0,0.0,0.0,1.65,1.1,1.07,1.39,0.01,100.0
11/12/2021,95.02,0.0,0.0,0.0,0.0,0.0,1.59,1.08,1.02,1.28,0.01,100.0
11/15/2021,95.56,0.0,0.0,0.0,0.0,0.0,1.49,1.02,0.91,1.02,0.01,100.01
11/16/2021,95.13,0.0,0.0,0.0,0.0,0.0,1.59,1.07,1.0,1.2,0.01,100.0
11/17/2021,95.13,0.0,0.0,0.0,0.0,0.0,1.59,1.07,1.0,1.2,0.01,100.0
11/18/2021,95.16,0.0,0.0,0.0,0.0,0.0,1.59,1.07,1.0,1.17,0.0,99.99
11/19/2021,94.85,0.0,0.0,0.0,0.0,0.0,1.67,1.11,1.06,1.29,0.0,99.98
11/22/2021,94.83,0.0,0.0,0.0,0.0,0.0,1.71,1.12,1.07,1.27,0.0,100.0
11/23/2021,94.83,0.0,0.0,0.0,0.0,0.0,1.71,1.12,1.07,1.27,0.0,100.0
11/24/2021,94.68,0.0,0.0,0.0,0.0,0.0,1.74,1.15,1.11,1.32,0.0,100.0
11/25/2021,94.73,0.0,0.0,0.0,0.0,0.0,1.74,1.15,1.1,1.29,0.0,100.01
