,CTVA,OTLY,GIVN.SW,INGR,APPH,DE,TTCF,MFI.TO,BLL,NZYM B.CO,KRZ.IR,ORBIA.MX,BYND,CHR.CO,SY1.DE,TRMB,BG,IFF,BHIL,6326.T,NESN.SW,BUCN.SW,345.HK,VMI,BN.PA,LNN,DNA,JBT,FMC,ADM,CAG,TSN,BCPC,ASA.OL,ECL,K,BERY,CRBN.AS,MONDE.PM,AMRS,BIOG B.ST,LOCL,TWI,CDZI,ANIC.L,GRWG,HYFM,n/a,UAVS,BABY.V,BABY.TO,SUM
12/24/2021,4.52,4.32,4.19,3.99,3.7,3.57,3.53,3.52,3.39,3.25,3.22,3.15,3.12,3.11,3.09,3.05,2.98,2.96,2.2,2.17,2.15,2.08,2.05,2.01,2.0,1.99,1.92,1.65,1.56,1.53,1.09,1.06,1.04,1.03,1.01,1.0,0.99,0.96,0.96,0.87,0.74,0.68,0.52,0.48,0.46,0.41,0.4,0.18,0.12,0.06,0.0,100.03
12/27/2021,4.55,4.44,4.16,3.94,3.65,3.55,3.39,3.57,3.37,3.24,3.18,3.24,3.0,3.14,3.08,3.03,3.02,2.95,2.16,2.18,2.15,2.12,2.02,2.03,2.01,2.05,1.8,1.65,1.6,1.54,1.07,1.05,1.03,1.04,1.02,1.0,0.99,0.97,0.96,0.85,0.74,0.7,0.65,0.47,0.45,0.41,0.41,0.18,0.13,0.06,0.0,99.99
12/28/2021,4.55,4.44,4.16,3.94,3.65,3.55,3.39,3.57,3.37,3.24,3.18,3.24,3.0,3.14,3.08,3.03,3.02,2.95,2.16,2.18,2.15,2.12,2.02,2.03,2.01,2.05,1.8,1.65,1.6,1.54,1.07,1.05,1.03,1.04,1.02,1.0,0.99,0.97,0.96,0.85,0.74,0.7,0.65,0.47,0.45,0.41,0.41,0.18,0.13,0.06,0.0,99.99
12/29/2021,4.55,4.44,4.16,3.94,3.65,3.55,3.39,3.57,3.37,3.24,3.18,3.24,3.0,3.14,3.08,3.03,3.02,2.95,2.16,2.18,2.15,2.12,2.02,2.03,2.01,2.05,1.8,1.65,1.6,1.54,1.07,1.05,1.03,1.04,1.02,1.0,0.99,0.97,0.96,0.85,0.74,0.7,0.65,0.47,0.45,0.41,0.41,0.18,0.13,0.06,0.0,99.99
12/30/2021,4.6,4.36,4.2,3.97,3.51,3.55,3.32,3.58,3.43,3.29,3.15,3.27,2.94,3.18,3.09,3.11,3.05,2.99,2.17,2.17,2.16,2.13,2.02,2.04,2.04,2.06,1.64,1.66,1.6,1.55,1.07,1.06,1.04,1.1,1.03,1.0,1.01,0.98,0.94,0.82,0.75,0.67,0.69,0.44,0.44,0.4,0.4,0.18,0.12,0.06,0.0,100.03
12/31/2021,4.6,4.36,4.2,3.97,3.51,3.55,3.32,3.58,3.43,3.29,3.15,3.27,2.94,3.18,3.09,3.11,3.05,2.99,2.17,2.17,2.16,2.13,2.02,2.04,2.04,2.06,1.64,1.66,1.6,1.55,1.07,1.06,1.04,1.1,1.03,1.0,1.01,0.98,0.94,0.82,0.75,0.67,0.69,0.44,0.44,0.4,0.4,0.18,0.12,0.06,0.0,100.03
01/03/2022,4.61,4.37,4.25,3.99,3.2,3.46,3.24,3.56,3.57,3.35,3.15,3.34,2.97,3.19,3.14,3.07,3.08,3.06,2.06,2.16,2.17,2.16,1.98,2.06,2.05,2.04,1.51,1.66,1.6,1.57,1.09,1.06,1.05,1.06,1.04,1.01,1.03,1.01,0.91,0.82,0.76,0.72,0.75,0.45,0.46,0.4,0.41,0.18,0.11,0.06,0.0,100.0
01/03/2022,4.61,4.37,4.25,3.99,3.2,3.46,3.24,3.56,3.57,3.35,3.15,3.34,2.97,3.19,3.14,3.07,3.08,3.06,2.06,2.16,2.17,2.16,1.98,2.06,2.05,2.04,1.51,1.66,1.6,1.57,1.09,1.06,1.05,1.06,1.04,1.01,1.03,1.01,0.91,0.82,0.76,0.72,0.75,0.45,0.46,0.4,0.41,0.18,0.11,0.06,0.0,100.0
01/03/2022,4.61,4.37,4.25,3.99,3.2,3.46,3.24,3.56,3.57,3.35,3.15,3.34,2.97,3.19,3.14,3.07,3.08,3.06,2.06,2.16,2.17,2.16,1.98,2.06,2.05,2.04,1.51,1.66,1.6,1.57,1.09,1.06,1.05,1.06,1.04,1.01,1.03,1.01,0.91,0.82,0.76,0.72,0.75,0.45,0.46,0.4,0.41,0.18,0.11,0.06,0.0,100.0
01/04/2022,4.61,4.37,4.25,3.99,3.2,3.46,3.24,3.56,3.57,3.35,3.15,3.34,2.97,3.19,3.14,3.07,3.08,3.06,2.06,2.16,2.17,2.16,1.98,2.06,2.05,2.04,1.51,1.66,1.6,1.57,1.09,1.06,1.05,1.06,1.04,1.01,1.03,1.01,0.91,0.82,0.76,0.72,0.75,0.45,0.46,0.4,0.41,0.18,0.11,0.06,0.0,100.0
