,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,Ishares Ftse China Large-Cap (Fxi) Swap Societe Generale - Cash Offset,Ishares Ftse China Large-Cap (Fxi) Swap Ubs Ag - Cash Offset,Ishares Ftse China Large-Cap (Fxi) Swap Citibank Na - Cash Offset,Ishares Ftse China Large-Cap (Fxi) Swap Bank Of America Na - Cash Offset,Ishares Ftse China Large-Cap (Fxi) Swap Goldman Sachs International - Cash,Ishares Ftse China Large-Cap (Fxi) Swap Goldman Sachs International,Ishares Ftse China Large-Cap (Fxi) Swap Bank Of America Na,Ishares Ftse China Large-Cap (Fxi) Swap Citibank Na,Ishares Ftse China Large-Cap (Fxi) Swap Ubs Ag,Ishares Ftse China Large-Cap (Fxi) Swap Societe Generale,SUM
07/09/2021,100.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/26/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/28/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/29/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
07/30/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
08/02/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
08/03/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,22.74,21.21,17.82,13.3,-13.3,-17.82,-21.21,-22.74,-24.48,100.0
