,PG,KO,WMT,PEP,COST,PM,MDLZ,MO,CL,EL,KMB,SYY,WBA,STZ,ADM,MNST,GIS,KHC,KR,HSY,BF.B,TSN,CLX,CHD,MKC,CAG,K,SJM,HRL,KDP,DAR,BG,SAM,LW,TAP,FRPT,CASY,USFD,POST,MED,HLF,INGR,BJ,PFGC,CPB,SPB,WDFC,FLO,HAIN,SAFM,LANC,UNFI,SFM,NUS,CENTA,SMPL,ENR,JJSF,COKE,IPAR,EPC,THS,PSMT,COTY,BGS,TWNK,VGR,FIZZ,RAD,CHEF,USNA,IMKTA,PPC,ELF,UVV,CALM,CVGW,CENT,FDP,SPTN,WMK,ANDE,MGPI,JBSS,TR,GO,TPB,CELH,BYND,TTCF,XXII,VITL,AVO,FREE,BRBR,UTZ,REYN,EGCO.BK,HFFG,LNDC,VLGEA,NBEV,LMNR,PTBL.TA,1379.T,SAR.AX,n/a,SUM
07/09/2021,13.56,8.95,8.38,8.06,6.19,4.46,3.9,3.68,2.98,2.97,1.99,1.81,1.77,1.75,1.69,1.68,1.63,1.28,1.28,1.13,1.1,1.04,1.0,0.99,0.96,0.86,0.75,0.68,0.65,0.62,0.61,0.58,0.56,0.56,0.5,0.49,0.42,0.39,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,13.56,8.95,8.38,8.06,6.19,4.46,3.9,3.68,2.98,2.97,1.99,1.81,1.77,1.75,1.69,1.68,1.63,1.28,1.28,1.13,1.1,1.04,1.0,0.99,0.96,0.86,0.75,0.68,0.65,0.62,0.61,0.58,0.56,0.56,0.5,0.49,0.42,0.39,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96
07/13/2021,13.56,8.95,8.38,8.06,6.19,4.46,3.9,3.68,2.98,2.97,1.99,1.81,1.77,1.75,1.69,1.68,1.63,1.28,1.28,1.13,1.1,1.04,1.0,0.99,0.96,0.86,0.75,0.68,0.65,0.62,0.61,0.58,0.56,0.56,0.5,0.49,0.42,0.39,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96
07/14/2021,13.56,8.95,8.38,8.06,6.19,4.46,3.9,3.68,2.98,2.97,1.99,1.81,1.77,1.75,1.69,1.68,1.63,1.28,1.28,1.13,1.1,1.04,1.0,0.99,0.96,0.86,0.75,0.68,0.65,0.62,0.61,0.58,0.56,0.56,0.5,0.49,0.42,0.39,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96
07/15/2021,13.56,8.95,8.38,8.06,6.19,4.46,3.9,3.68,2.98,2.97,1.99,1.81,1.77,1.75,1.69,1.68,1.63,1.28,1.28,1.13,1.1,1.04,1.0,0.99,0.96,0.86,0.75,0.68,0.65,0.62,0.61,0.58,0.56,0.56,0.5,0.49,0.42,0.39,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96
07/16/2021,13.56,8.95,8.38,8.06,6.19,4.46,3.9,3.68,2.98,2.97,1.99,1.81,1.77,1.75,1.69,1.68,1.63,1.28,1.28,1.13,1.1,1.04,1.0,0.99,0.96,0.86,0.75,0.68,0.65,0.62,0.61,0.58,0.56,0.56,0.5,0.49,0.42,0.39,0.35,0.33,0.33,0.31,0.3,0.3,0.28,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.96
07/19/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,99.97
07/20/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,99.97
07/21/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,99.97
07/22/2021,13.72,8.87,8.42,8.16,6.55,4.64,3.88,3.61,2.93,3.12,2.06,1.76,1.79,1.73,1.56,1.64,1.6,1.21,1.34,1.15,1.04,0.98,1.03,1.0,0.97,0.83,0.75,0.67,0.64,0.6,0.61,0.53,0.54,0.55,0.47,0.46,0.38,0.39,0.33,0.29,0.33,0.3,0.32,0.29,0.26,0.24,0.25,0.24,0.22,0.25,0.22,0.2,0.19,0.19,0.19,0.21,0.16,0.16,0.16,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,99.97
