,Ise Cloud Computing Index Swap Goldman Sachs International,Ise Cloud Computing Index Swap Bank Of America Na,Cash,MSFT,ANET,BABA,AMZN,MDB,GOOGL,VMW,ORCL,RXT,KC,LUMN,HPE,MSTR,IBM,CTXS,AKAM,CSCO,FSLY,SPLK,TWLO,NOW,ADBE,SHOP,HUBS,TEAM,NTAP,FIVN,CRM,PSTG,APPN,DOMO,SAP,ASAN,DOCU,NET,SPT,SMAR,ESTC,AVLR,WK,ZM,EVBG,TRHC,INTU,CRWD,DDOG,ZS,PCTY,DBX,COUP,PAYC,BOX,QTWO,OTEX.TO,MNTV,ZEN,BL,MIME,QLYS,VEEV,APPF,WDAY,PLAN,SNOW,PANW,Ise Cloud Computing Index Swap Bank Of America Na - Cash Offset,Ise Cloud Computing Index Swap Goldman Sachs International - Cash Offset,SUM
07/09/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/12/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/13/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/14/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/15/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/16/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/19/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/20/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/21/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
07/22/2021,77.87,76.54,53.97,1.7,1.66,1.66,1.66,1.61,1.6,1.58,1.55,1.52,1.36,1.28,1.19,1.11,1.06,1.06,1.06,1.04,0.99,0.93,0.91,0.91,0.9,0.9,0.89,0.87,0.83,0.81,0.8,0.8,0.8,0.63,0.52,0.44,0.37,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,-76.54,-77.87,100.01
