,MSFT,AMZN,AMAT,GOOG,PYPL,ISRG,ADBE,HEI,PINS,AAPL,V,SPGI,UNH,ENPH,SHAK,TECH,VEEV,NTRA,NVDA,CRWD,DXCM,CSGP,GENI,DDOG,MQ,SHOP,SPG,SQ,SBNY,MELI,PAYC,USFD,DKNG,CLB,TTD,n/a,TSM,AMD,CTLT,QCOM,SEDG,SNAP,UPST,FSV.TO,PGNY,AFRM,XLNX,FANG,MGM,LYV,COIN,SG,JYNT,SUM
09/07/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/08/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/09/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/10/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/13/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/14/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/15/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/16/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/17/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/20/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/21/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/22/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/23/2021,7.77,7.72,5.96,5.68,5.14,4.85,4.18,4.04,3.9,3.9,3.59,2.79,2.58,2.56,2.53,2.51,2.46,2.17,2.15,2.08,1.93,1.91,1.88,1.84,1.79,1.56,1.38,1.32,1.31,1.24,1.06,1.02,0.93,0.92,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
