,RVLV,FB,GOOGL,TGT,MOH,NTAP,NLOK,MRK,SYKE,ABBV,JNJ,QRTEA,ORCL,DELL,STX,HD,UNH,NCR,DVA,VMW,GM,EBAY,AMZN,VZ,MSFT,HPQ,TMUS,LH,BAC,XRX,LOW,TXN,ANGI,UTHR,CMCSA,BRK.B,JPM,MTCH,QNST,HIBB,NRG,QCOM,AVGO,MXIM,PRGS,JAZZ,MU,AAPL,PAYX,CVS,SMCI,SSTK,WMT,WWE,BBY,IDXX,RCII,T,CNC,SSNC,C,JCOM,ARW,SEM,FTNT,ROKU,HPE,MTD,MET,CERN,CAH,LMT,SYF,BR,HOLX,NKE,CDNS,WAT,INTC,F,INTU,ANTM,TDC,STE,ALXN,WHR,KR,SIVB,BMY,CRL,FIBK,CBRE,PINS,AMP,APPF,ABT,ADBE,CVLT,NSIT,SNPS,BKNG,GD,DG,PG,EXLS,PGR,AMGN,GRMN,REGN,MASI,ON,DIS,ATUS,DIOD,RJF,LLY,DLTR,PANW,GILD,VICI,CENTA,TTEC,EW,SYK,CL,EXC,HSIC,FITB,NFLX,NOW,PFE,MDT,CHTR,HCA,MPW,ADP,HUM,TTWO,Z,CNA,KTB,TSCO,ABNB,A,USB,MS,MCK,CSGS,R,ETSY,SJM,TDY,ALLY,MCY,IAC,BPMC,DASH,NVCR,LZB,BIO,CCS,DGX,VTRS,DPZ,SPB,SYNA,SNAP,ZTS,EVR,HSY,MODV,SPSC,SANM,PFG,GMED,TXT,ACI,QRVO,ADSK,RGR,KMB,LGF.A,IVZ,DISCA,CNO,TSN,TRV,LHX,JEF,YUM,ALL,PLUS,ADI,NOC,PNC,CFG,GIS,NUS,MMS,NUAN,ICUI,OMCL,TYL,HZNP,CRWD,CRVL,ALGN,TPX,7342.T,WY,WBA,n/a,YELP,DLB,BAX,XPER,PRU,BK,CI,TWTR,CARG,WU,ORI,AFL,HRC,CDK,HII,W,VRSN,BMBL,FICO,PINC,CDW,COO,GHC,COF,JBL,SNX,CHH,BDX,VRNT,SWKS,GS,TDS,MCD,EA,TGNA,ZBH,PBH,VRTX,MEI,CRM,WELL,IQV,FE,LSTR,WFC,FOXA,NTRS,AFG,NXPI,DKS,CRI,CINF,WDC,PSA,DHI,SNDR,HRB,EL,NVDA,GRPN,ATVI,NDAQ,BIG,WERN,VTR,APLE,SUM
07/09/2021,1.4,1.22,1.1,1.07,1.03,0.98,0.97,0.96,0.95,0.95,0.94,0.94,0.93,0.9,0.9,0.89,0.88,0.88,0.88,0.85,0.83,0.82,0.81,0.77,0.77,0.77,0.75,0.73,0.72,0.7,0.69,0.69,0.67,0.65,0.64,0.64,0.64,0.64,0.61,0.61,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.52000000000001
07/12/2021,1.28,1.21,1.12,1.08,1.03,0.98,1.0,0.96,0.96,0.97,0.95,0.91,0.98,0.91,0.91,0.9,0.89,0.86,0.88,0.86,0.8,0.83,0.86,0.78,0.78,0.76,0.76,0.75,0.7,0.71,0.7,0.68,0.66,0.67,0.64,0.65,0.63,0.62,0.59,0.6,0.6,0.59,0.59,0.57,0.58,0.58,0.56,0.58,0.57,0.55,0.54,0.55,0.54,0.51,0.49,0.52,0.49,0.5,0.5,0.49,0.48,0.5,0.48,0.47,0.49,0.47,0.47,0.49,0.46,0.47,0.45,0.46,0.45,0.47,0.47,0.46,0.46,0.46,0.44,0.43,0.44,0.44,0.43,0.44,0.43,0.43,0.41,0.41,0.42,0.43,0.42,0.41,0.4,0.4,0.39,0.41,0.41,0.41,0.39,0.4,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.37,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.31,0.32,0.33,0.32,0.32,0.32,0.31,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.51
07/13/2021,1.28,1.21,1.12,1.08,1.03,0.98,1.0,0.96,0.96,0.97,0.95,0.91,0.98,0.91,0.91,0.9,0.89,0.86,0.88,0.86,0.8,0.83,0.86,0.78,0.78,0.76,0.76,0.75,0.7,0.71,0.7,0.68,0.66,0.67,0.64,0.65,0.63,0.62,0.59,0.6,0.6,0.59,0.59,0.57,0.58,0.58,0.56,0.58,0.57,0.55,0.54,0.55,0.54,0.51,0.49,0.52,0.49,0.5,0.5,0.49,0.48,0.5,0.48,0.47,0.49,0.47,0.47,0.49,0.46,0.47,0.45,0.46,0.45,0.47,0.47,0.46,0.46,0.46,0.44,0.43,0.44,0.44,0.43,0.44,0.43,0.43,0.41,0.41,0.42,0.43,0.42,0.41,0.4,0.4,0.39,0.41,0.41,0.41,0.39,0.4,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.37,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.31,0.32,0.33,0.32,0.32,0.32,0.31,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.51
07/14/2021,1.37,1.21,1.1,1.08,1.03,0.98,0.99,0.95,0.95,0.96,0.94,0.92,0.99,0.91,0.91,0.89,0.89,0.87,0.87,0.86,0.82,0.82,0.86,0.77,0.77,0.75,0.75,0.74,0.7,0.7,0.69,0.68,0.66,0.66,0.64,0.65,0.64,0.64,0.6,0.62,0.6,0.59,0.6,0.57,0.57,0.58,0.56,0.58,0.57,0.55,0.54,0.55,0.54,0.5,0.49,0.52,0.5,0.49,0.49,0.49,0.48,0.5,0.48,0.47,0.5,0.48,0.47,0.48,0.46,0.47,0.45,0.46,0.45,0.46,0.46,0.46,0.45,0.47,0.44,0.43,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.41,0.4,0.4,0.39,0.41,0.41,0.41,0.39,0.4,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.37,0.35,0.35,0.36,0.34,0.35,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.29,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.27,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.25,0.22,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.48
07/15/2021,1.39,1.22,1.11,1.1,1.03,0.97,0.98,0.94,0.95,0.97,0.94,0.93,0.98,0.88,0.92,0.89,0.9,0.85,0.88,0.84,0.83,0.81,0.86,0.77,0.77,0.73,0.75,0.74,0.71,0.7,0.69,0.69,0.65,0.66,0.64,0.65,0.65,0.64,0.61,0.61,0.59,0.59,0.61,0.57,0.57,0.58,0.56,0.58,0.57,0.55,0.52,0.56,0.54,0.5,0.5,0.52,0.5,0.49,0.5,0.49,0.49,0.5,0.48,0.47,0.5,0.48,0.47,0.48,0.47,0.47,0.45,0.45,0.46,0.46,0.46,0.46,0.45,0.47,0.45,0.44,0.44,0.44,0.42,0.43,0.43,0.43,0.42,0.44,0.42,0.43,0.42,0.41,0.38,0.41,0.38,0.4,0.4,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.35,0.37,0.35,0.37,0.36,0.34,0.36,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.29,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.26,0.26,0.27,0.26,0.26,0.26,0.27,0.25,0.24,0.25,0.25,0.27,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.25,0.23,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.52000000000001
07/16/2021,1.38,1.22,1.13,1.1,1.03,0.96,0.98,0.95,0.95,0.98,0.95,0.91,0.99,0.86,0.92,0.88,0.91,0.84,0.88,0.83,0.83,0.82,0.86,0.77,0.79,0.71,0.77,0.74,0.7,0.69,0.69,0.69,0.62,0.65,0.64,0.65,0.64,0.65,0.6,0.6,0.59,0.59,0.61,0.57,0.57,0.58,0.56,0.59,0.58,0.55,0.52,0.56,0.55,0.5,0.49,0.52,0.49,0.49,0.5,0.49,0.48,0.49,0.48,0.47,0.5,0.48,0.45,0.49,0.46,0.47,0.45,0.45,0.45,0.47,0.46,0.46,0.46,0.47,0.45,0.44,0.44,0.45,0.42,0.43,0.43,0.42,0.42,0.43,0.43,0.43,0.42,0.4,0.37,0.41,0.39,0.4,0.41,0.4,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.37,0.35,0.37,0.35,0.34,0.36,0.35,0.35,0.36,0.34,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.3,0.31,0.29,0.3,0.3,0.28,0.27,0.28,0.27,0.28,0.27,0.28,0.27,0.28,0.26,0.26,0.27,0.25,0.26,0.27,0.27,0.25,0.24,0.25,0.25,0.27,0.24,0.26,0.23,0.25,0.24,0.26,0.23,0.25,0.23,0.25,0.23,0.24,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.2,0.21,0.19,0.21,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.38000000000001
07/19/2021,1.27,1.21,1.13,1.12,1.06,0.95,0.94,0.96,0.96,0.98,0.95,0.89,0.99,0.86,0.91,0.9,0.92,0.85,0.87,0.83,0.81,0.81,0.85,0.79,0.79,0.72,0.77,0.74,0.69,0.69,0.7,0.68,0.63,0.66,0.65,0.66,0.65,0.65,0.6,0.57,0.59,0.6,0.61,0.57,0.57,0.57,0.55,0.61,0.59,0.56,0.55,0.54,0.56,0.47,0.51,0.52,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.45,0.5,0.46,0.46,0.49,0.47,0.48,0.45,0.46,0.45,0.48,0.46,0.47,0.46,0.48,0.45,0.43,0.45,0.45,0.42,0.43,0.42,0.44,0.43,0.44,0.43,0.43,0.43,0.4,0.37,0.41,0.39,0.4,0.41,0.4,0.39,0.4,0.38,0.38,0.39,0.39,0.39,0.36,0.37,0.37,0.37,0.38,0.34,0.37,0.35,0.34,0.36,0.35,0.35,0.37,0.35,0.35,0.34,0.33,0.34,0.33,0.34,0.34,0.33,0.32,0.33,0.33,0.32,0.31,0.3,0.32,0.3,0.31,0.31,0.28,0.26,0.29,0.27,0.29,0.26,0.28,0.28,0.28,0.27,0.26,0.27,0.25,0.27,0.27,0.27,0.25,0.24,0.25,0.24,0.26,0.24,0.26,0.23,0.25,0.24,0.26,0.24,0.24,0.22,0.26,0.22,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.22,0.18,0.21,0.19,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.57000000000001
07/20/2021,1.31,1.2,1.14,1.12,1.05,0.94,0.95,0.97,0.98,0.99,0.95,0.87,1.01,0.86,0.89,0.91,0.93,0.83,0.87,0.83,0.79,0.82,0.85,0.79,0.8,0.71,0.78,0.74,0.68,0.67,0.71,0.68,0.65,0.67,0.65,0.66,0.64,0.65,0.6,0.56,0.59,0.59,0.6,0.56,0.57,0.56,0.54,0.6,0.59,0.56,0.54,0.56,0.56,0.46,0.5,0.54,0.5,0.5,0.5,0.51,0.48,0.5,0.48,0.45,0.51,0.45,0.46,0.5,0.46,0.47,0.46,0.46,0.44,0.48,0.48,0.46,0.46,0.48,0.44,0.42,0.45,0.45,0.4,0.44,0.43,0.43,0.44,0.43,0.43,0.44,0.43,0.4,0.36,0.41,0.4,0.41,0.42,0.4,0.38,0.4,0.38,0.39,0.39,0.4,0.39,0.37,0.37,0.38,0.36,0.38,0.33,0.37,0.35,0.33,0.35,0.35,0.35,0.37,0.35,0.35,0.33,0.33,0.34,0.33,0.35,0.34,0.33,0.31,0.32,0.33,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.28,0.26,0.28,0.27,0.29,0.25,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.27,0.27,0.26,0.25,0.24,0.25,0.24,0.26,0.24,0.27,0.23,0.26,0.24,0.26,0.25,0.23,0.22,0.26,0.22,0.25,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.21,0.21,0.2,0.22,0.18,0.2,0.19,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.56
07/21/2021,1.31,1.2,1.14,1.12,1.05,0.94,0.95,0.97,0.98,0.99,0.95,0.87,1.01,0.86,0.89,0.91,0.93,0.83,0.87,0.83,0.79,0.82,0.85,0.79,0.8,0.71,0.78,0.74,0.68,0.67,0.71,0.68,0.65,0.67,0.65,0.66,0.64,0.65,0.6,0.56,0.59,0.59,0.6,0.56,0.57,0.56,0.54,0.6,0.59,0.56,0.54,0.56,0.56,0.46,0.5,0.54,0.5,0.5,0.5,0.51,0.48,0.5,0.48,0.45,0.51,0.45,0.46,0.5,0.46,0.47,0.46,0.46,0.44,0.48,0.48,0.46,0.46,0.48,0.44,0.42,0.45,0.45,0.4,0.44,0.43,0.43,0.44,0.43,0.43,0.44,0.43,0.4,0.36,0.41,0.4,0.41,0.42,0.4,0.38,0.4,0.38,0.39,0.39,0.4,0.39,0.37,0.37,0.38,0.36,0.38,0.33,0.37,0.35,0.33,0.35,0.35,0.35,0.37,0.35,0.35,0.33,0.33,0.34,0.33,0.35,0.34,0.33,0.31,0.32,0.33,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.28,0.26,0.28,0.27,0.29,0.25,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.27,0.27,0.26,0.25,0.24,0.25,0.24,0.26,0.24,0.27,0.23,0.26,0.24,0.26,0.25,0.23,0.22,0.26,0.22,0.25,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.21,0.21,0.2,0.22,0.18,0.2,0.19,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.56
07/22/2021,1.31,1.2,1.14,1.12,1.05,0.94,0.95,0.97,0.98,0.99,0.95,0.87,1.01,0.86,0.89,0.91,0.93,0.83,0.87,0.83,0.79,0.82,0.85,0.79,0.8,0.71,0.78,0.74,0.68,0.67,0.71,0.68,0.65,0.67,0.65,0.66,0.64,0.65,0.6,0.56,0.59,0.59,0.6,0.56,0.57,0.56,0.54,0.6,0.59,0.56,0.54,0.56,0.56,0.46,0.5,0.54,0.5,0.5,0.5,0.51,0.48,0.5,0.48,0.45,0.51,0.45,0.46,0.5,0.46,0.47,0.46,0.46,0.44,0.48,0.48,0.46,0.46,0.48,0.44,0.42,0.45,0.45,0.4,0.44,0.43,0.43,0.44,0.43,0.43,0.44,0.43,0.4,0.36,0.41,0.4,0.41,0.42,0.4,0.38,0.4,0.38,0.39,0.39,0.4,0.39,0.37,0.37,0.38,0.36,0.38,0.33,0.37,0.35,0.33,0.35,0.35,0.35,0.37,0.35,0.35,0.33,0.33,0.34,0.33,0.35,0.34,0.33,0.31,0.32,0.33,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.28,0.26,0.28,0.27,0.29,0.25,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.27,0.27,0.26,0.25,0.24,0.25,0.24,0.26,0.24,0.27,0.23,0.26,0.24,0.26,0.25,0.23,0.22,0.26,0.22,0.25,0.23,0.22,0.23,0.23,0.24,0.22,0.22,0.21,0.21,0.2,0.22,0.18,0.2,0.19,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.56
