,IWN,XLF,SPDR® S&P MIDCAP 400 ETF Trust,FGXXX,IUSG,MDY,First American Government Obligs X,XLC,IWF,IVW,n/a,SCHG,VGT,VUG,SUM
07/09/2021,34.75,34.28,30.24,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,0.0,34.49,0.0,0.0,35.38,29.74,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,0.0,34.49,0.0,0.0,35.38,29.74,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,0.0,34.26,0.0,0.0,35.58,29.78,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,0.0,34.77,0.0,0.0,35.13,29.78,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,34.77,0.0,0.0,35.13,29.78,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,34.62,0.0,0.0,35.57,29.49,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,0.0,34.79,0.0,0.0,35.43,29.44,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,0.0,34.69,0.0,0.0,35.58,29.4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,34.69,0.0,0.0,35.58,29.4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,34.38,0.0,0.0,35.83,29.45,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,34.66,0.0,0.0,35.34,29.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,34.66,0.0,0.0,35.34,29.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,34.21,0.0,0.0,35.97,29.5,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,34.31,0.0,0.0,35.9,29.46,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,0.0,34.31,0.0,0.0,35.9,29.46,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
