,LMBS,FTSL,FTSM,UCON,SLQD,HYLS,CMBS,FEMB,US Dollar,First Trust Emerging Mkts Lcl Ccy Bd ETF,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
07/09/2021,39.98,17.49,9.99,9.99,9.98,5.01,4.99,2.46,0.11,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,39.93,17.49,9.99,10.0,9.99,5.0,5.02,2.47,0.11,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,39.93,17.49,9.99,10.0,9.99,5.0,5.02,2.47,0.11,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,39.93,17.49,9.99,10.0,9.99,5.0,5.02,0.0,0.0,2.47,0.11,0.0,0.0,0.0,100.0
07/15/2021,39.95,17.5,9.99,9.99,9.99,5.0,5.01,0.0,0.0,2.47,0.11,0.0,0.0,0.0,100.01
07/16/2021,39.97,17.5,10.0,10.0,9.98,5.0,5.0,0.0,0.0,2.44,0.11,0.0,0.0,0.0,100.0
07/19/2021,39.96,17.49,9.99,10.0,9.99,4.99,5.0,0.0,0.0,2.47,0.11,0.0,0.0,0.0,100.0
07/20/2021,39.92,17.52,10.0,10.0,9.99,4.99,5.01,2.46,0.0,0.0,0.0,0.0,0.11,0.0,100.0
07/21/2021,39.92,17.52,10.0,10.0,9.99,4.99,5.01,0.0,0.0,2.46,0.11,0.0,0.0,0.0,100.0
07/22/2021,39.97,17.49,9.99,9.99,9.99,4.97,5.03,2.46,0.11,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,39.97,17.49,9.99,9.99,10.0,4.97,5.03,0.0,0.0,2.45,0.11,0.0,0.0,0.0,100.0
07/26/2021,39.91,17.47,10.01,10.0,10.02,4.98,5.03,0.0,0.0,2.46,0.11,0.0,0.0,0.0,99.99
07/27/2021,39.93,17.48,10.01,10.0,10.01,4.99,5.03,0.0,0.0,2.44,0.11,0.0,0.0,0.0,100.0
07/28/2021,39.93,17.48,10.01,10.0,10.01,4.99,5.03,0.0,0.0,2.44,0.11,0.0,0.0,0.0,100.0
07/29/2021,39.95,17.47,10.01,10.0,10.01,4.99,5.03,0.0,0.0,2.44,0.11,0.0,0.0,0.0,100.01
07/30/2021,39.97,17.44,10.01,10.0,10.01,4.98,5.03,0.0,0.0,2.45,0.11,0.0,0.0,0.0,100.0
08/02/2021,39.94,17.44,10.01,10.0,10.02,4.99,5.03,0.0,0.0,2.48,0.11,0.0,0.0,0.0,100.02
08/03/2021,39.96,17.44,10.0,10.0,10.02,4.99,5.03,2.45,0.11,0.0,0.0,0.0,0.0,0.0,100.0
