,B 0 08/12/21,CMBR 0 08/19/21,B 0 08/26/21,United States Treasury Note/Bond,United States Treasury Note/Bond.1,United States Treasury Bill,B 0 09/16/21,XIB 0 10/07/21,United States Treasury Bill.1,United States Treasury Bill.2,United States Treasury Note/Bond.2,United States Treasury Note/Bond.3,B 0 09/09/21,United States Treasury Bill.3,United States Treasury Note/Bond.4,United States Treasury Note/Bond.5,United States Treasury Note/Bond.6,United States Treasury Note/Bond.7,United States Treasury Note/Bond.8,United States Treasury Note/Bond.9,United States Treasury Note/Bond.10,United States Treasury Note/Bond.11,B 0 08/05/21,United States Treasury Bill.4,United States Treasury Note/Bond.12,United States Treasury Note/Bond.13,United States Treasury Note/Bond.14,United States Treasury Note/Bond.15,United States Treasury Note/Bond.16,United States Treasury Note/Bond.17,United States Treasury Note/Bond.18,United States Treasury Note/Bond.19,United States Treasury Note/Bond.20,United States Treasury Note/Bond.21,United States Treasury Note/Bond.22,United States Treasury Bill.5,United States Treasury Note/Bond.23,United States Treasury Note/Bond.24,United States Treasury Note/Bond.25,B 0 10/21/21,United States Treasury Note/Bond.26,United States Treasury Note/Bond.27,United States Treasury Note/Bond.28,United States Treasury Note/Bond.29,United States Treasury Note/Bond.30,B 0 01/27/22,United States Treasury Note/Bond.31,United States Treasury Note/Bond.32,United States Treasury Note/Bond.33,United States Treasury Note/Bond.34,United States Treasury Note/Bond.35,AGPXX,United States Treasury Bill.6,T 1.75 05/31/22,T 2 10/31/21,T 0.125 07/31/22,T 1.375 01/31/22,B 0 06/16/22,T 1.5 09/30/21,T 1.75 03/31/22,T 1.5 01/31/22,T 2.125 12/31/21,B 0 12/30/21,T 2.5 02/15/22,T 1.875 01/31/22,T 1.875 03/31/22,T 2.625 12/15/21,T 2.5 01/15/22,T 1.75 06/30/22,T 1.875 02/28/22,T 1.75 02/28/22,T 0.375 03/31/22,T 0.125 06/30/22,B 0 10/28/21,T 1.25 10/31/21,B 0 01/06/22,T 2.125 06/30/22,T 1.75 05/15/22,T 1.875 05/31/22,T 1.75 06/15/22,T 1.125 02/28/22,T 1.875 04/30/22,T 1.625 12/31/21,T 2.875 11/15/21,T 1.75 11/30/21,B 0 10/14/21,B 0 02/24/22,T 0.125 05/31/22,T 2 07/31/22,T 2 11/15/21,T 1.875 11/30/21,T 1.75 07/15/22,T 1.5 11/30/21,T 2.875 10/15/21,B 0 10/07/21,T 1.75 04/30/22,T 0.125 04/30/22,B 0 11/04/21,XIB 0 12/30/21,T 2 02/15/22,B 0 01/13/22,n/a,B 0 06.16.22,T 1.75 05.31.22,B 0 07.14.22,T 0.125 07.31.22,T 1.375 01.31.22,T 1.125 02.28.22,B 0 01.27.22,T 1.75 03.31.22,T 1.5 01.31.22,B 0 02.24.22,T 2.125 12.31.21,B 0 12.30.21,T 1.75 07.15.22,T 2.5 02.15.22,T 1.875 01.31.22,T 1.875 03.31.22,T 2.5 01.15.22,T 2.625 12.15.21,T 1.75 06.30.22,B 0 02.03.22,B 0 02.10.22,T 1.875 02.28.22,T 1.75 02.28.22,T 0.375 03.31.22,T 0.125 06.30.22,B 0 01.06.22,B 0 02.17.22,T 2.125 06.30.22,T 1.875 05.31.22,T 1.75 06.15.22,T 1.75 05.15.22,T 2 02.15.22,T 1.75 11.30.21,T 1.875 04.30.22,T 1.625 12.31.21,T 0.125 05.31.22,T 2 07.31.22,B 0 04.28.22,B 0 01.13.22,T 1.75 04.30.22,T 0.125 04.30.22,B 0 01.20.22,WIB 0 02.17.22,B 0 09.08.22,WIB 0 02.24.22,T 1.875 07.31.22,T 1.5 08.15.22,T 1.625 08.15.22,T 1.875 08.31.22,T 2.125 05.15.22,SUM
07/09/2021,4.33,3.72,3.71,3.4,3.37,3.21,3.21,3.2,3.09,3.06,2.67,2.66,2.65,2.41,2.36,2.33,2.22,2.21,2.08,2.08,2.08,2.07,2.04,1.9,1.79,1.78,1.78,1.78,1.6,1.54,1.48,1.48,1.48,1.48,1.48,1.46,1.39,1.39,1.35,1.34,1.33,1.29,1.11,1.1,1.05,1.02,0.8,0.74,0.6,0.27,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.79,3.25,3.06,3.03,2.99,2.92,2.85,2.75,2.72,2.71,2.68,2.66,2.65,2.65,2.62,2.49,2.49,2.44,2.44,2.44,2.34,2.34,2.01,2.0,2.0,2.0,1.74,1.66,1.66,1.66,1.66,1.66,1.65,1.63,1.57,1.56,1.56,1.51,1.25,1.23,1.07,0.9,0.66,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,4.61,3.96,3.73,0.04,3.64,3.56,3.48,3.35,0.03,3.3,3.26,3.24,3.22,3.23,3.19,3.03,3.03,2.97,2.97,0.03,2.85,0.03,2.44,2.43,2.44,2.43,2.12,2.03,2.02,2.02,2.02,0.02,0.02,1.98,1.92,1.9,1.9,1.84,1.52,1.5,0.01,1.1,0.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.68,3.16,2.98,2.94,2.91,2.84,2.77,2.68,0.0,2.63,2.6,2.58,2.57,2.58,2.55,2.42,2.42,2.37,2.37,2.37,2.27,2.27,1.95,1.94,1.94,1.94,1.69,1.62,1.61,1.61,1.61,1.61,1.6,1.58,1.53,1.52,1.52,1.47,1.22,1.2,1.04,0.87,0.64,0.47,2.65,1.86,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
10/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.68,3.16,2.98,2.94,2.91,2.84,2.77,2.68,0.0,2.63,2.6,2.58,2.57,2.58,2.55,2.42,2.42,2.37,2.37,2.37,2.27,2.27,1.95,1.94,1.94,1.94,1.69,1.62,1.61,1.61,1.61,1.61,1.6,1.58,1.53,1.52,1.52,1.47,1.22,1.2,1.04,0.87,0.64,0.47,2.65,1.86,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
11/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,3.87,3.8,3.23,3.04,2.93,2.92,2.9,2.83,2.78,2.73,2.71,2.71,2.68,2.66,2.64,2.63,2.62,2.6,2.54,2.54,2.47,2.47,2.43,2.42,2.33,2.25,1.99,1.98,1.98,1.98,1.89,1.65,1.65,1.65,1.62,1.56,1.26,0.94,0.89,0.66,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,3.87,3.8,3.23,3.04,2.93,2.92,2.9,2.83,2.78,2.73,2.71,2.71,2.68,2.66,2.64,2.63,2.62,2.6,2.54,2.54,2.47,2.47,2.43,2.42,2.33,2.25,1.99,1.98,1.98,1.98,1.89,1.65,1.65,1.65,1.62,1.56,1.26,0.94,0.89,0.66,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,3.84,3.77,3.21,3.02,2.91,2.9,2.88,2.82,2.76,2.71,2.69,2.69,2.67,2.64,2.62,2.61,2.61,2.59,2.53,2.53,2.45,2.45,2.41,2.41,2.31,0.0,1.98,1.97,1.97,1.97,1.88,1.64,1.64,1.64,1.61,1.55,1.25,0.94,0.89,0.65,0.62,2.23,0.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,3.86,3.79,3.23,3.03,2.92,2.92,2.89,2.83,0.0,2.72,2.26,2.7,2.68,2.65,2.63,2.62,2.62,2.6,2.54,2.54,2.46,2.46,2.42,2.42,2.32,2.24,1.99,1.98,1.98,1.98,1.89,1.64,1.65,1.64,1.62,1.56,1.25,0.94,0.89,0.66,0.62,0.0,0.64,2.77,0.0,0.0,0.0,0.0,0.0,99.99
12/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,3.85,3.79,3.23,3.03,2.92,2.91,2.89,2.82,2.77,2.72,0.0,2.7,2.67,2.65,2.62,2.61,0.0,2.59,2.54,2.54,2.46,2.46,2.43,2.42,2.33,2.24,2.79,1.97,1.97,1.97,1.89,0.0,1.65,0.0,1.62,1.56,1.26,0.44,1.92,0.66,0.61,0.0,0.63,0.0,1.86,1.62,1.62,1.02,0.81,99.99
