,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust C 4.14,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust P 394.17,US Dollar,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust P 290.44,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust C 444.21,SUM
07/09/2021,100.7,4.53,1.06,-1.18,-5.11,100.0
07/12/2021,101.18,4.36,1.06,-1.12,-5.47,100.01
07/13/2021,101.18,4.36,1.06,-1.12,-5.47,100.01
07/22/2021,99.66,5.36,1.03,-1.42,-4.63,100.0
08/03/2021,101.83,4.25,1.0,-1.14,-5.94,100.0
