,700.HK,Taiwan Semiconductor Manufacturing Co. Ltd. Sponsored ADR,BABA,3690.HK,Reliance Industries Limited Sponsored GDR 144A,Infosys Limited Sponsored ADR,China Construction Bank Corporation Class H,JD,HDFC.NS,NIO,2317.TW,BIDU,2454.TW,Ping An Insurance (Group) Company of China Ltd. Class H,1398.HK,NTES,2269.HK,TCS.NS,PDD,ICICI Bank Limited Sponsored ADR,Bank of China Limited Class H,HINDUNILVR.NS,2308.TW,China Merchants Bank Co. Ltd. Class H,United Microelectronics Corp. Sponsored ADR,1810.HK,BBCA.JK,2881.TW,1303.TW,Kweichow Moutai Co. Ltd. Class A,YUMC,BYD Company Limited Class H,2331.HK,2020.HK,2882.TW,2002.TW,1301.TW,2891.TW,KOTAKBANK.NS,STATE STREET INSTITUTIONAL LIQ STATE STR,2382.HK,Wipro Limited Sponsored ADR,2319.HK,AXISBANK.NS,1326.TW,China Life Insurance Co. Ltd. Class H,3711.TW,BILI,2885.TW,2357.TW,1216.TW,2382.TW,BBRI.JK,1101.TW,BAJFINANCE.NS,BHARTIARTL.NS,175.HK,Bank of Communications Co. Ltd. Class H,291.HK,JSWSTEEL.NS,2883.TW,2890.TW,1024.HK,2379.TW,CP All Public Co. Ltd.(Alien Mkt),3034.TW,HCLTECH.NS,2886.TW,Zijin Mining Group Co. Ltd. Class H,TCOM,1109.HK,China Petroleum & Chemical Corporation Class H,M&M.NS,868.HK,ZTO Express (Cayman) Inc. Sponsored ADR Class A,PBBANK.KL,CIPLA.NS,China Merchants Bank Co. Ltd. Class A,BeiGene Ltd. Sponsored ADR,2313.HK,Au Optronics Corp. Sponsored ADR,Wuliangye Yibin Co. Ltd. Class A,TLKM.JK,ASIANPAINT.NS,SUNPHARMA.NS,APOLLOHOSP.NS,PTT Public Co. Ltd.(Alien Mkt),2412.TW,Larsen & Toubro Ltd. Sponsored GDR RegS,EDU,Great Wall Motor Co. Ltd. Class H,PMETAL.KL,2301.TW,SBIN.NS,MAYBANK.KL,Contemporary Amperex Technology Co. Ltd. Class A,BMRI.JK,688.HK,Zai Lab Ltd. Sponsored ADR,3008.TW,ADANIPORTS.NS,1402.TW,1093.HK,Advanced Info Service Public Co. Ltd.(Alien Mkt),1177.HK,MARUTI.NS,1102.TW,1476.TW,ALI.PM,3231.TW,LAURUSLABS.NS,2207.TW,Agricultural Bank of China Limited Class H,1801.HK,Anhui Conch Cement Company Limited Class H,China Pacific Insurance (Group) Co. Ltd. Class H,2884.TW,China Renminbi,ASII.JK,5871.TW,DRREDDY.NS,2888.TW,6239.TW,SIEMENS.NS,WNS,China Shenhua Energy Co. Ltd. Class H,6098.HK,TAL,Siam Commercial Bank Public Company Limited(Alien Mkt),2892.TW,Huazhu Group Ltd Sponsored ADR,2603.TW,4938.TW,2007.HK,3045.TW,3044.TW,KCE Electronics Public Co. Ltd.(Alien Mkt),916.HK,992.HK,1308.HK,6505.TW,2324.TW,288.HK,SMPH.PM,TECHM.NS,Airports of Thailand Public Co. Ltd.(Alien Mkt),BIOCON.NS,TATAMOTORS.NS,HINDZINC.NS,384.HK,COSCO SHIPPING Holdings Co. Ltd. Class A,2327.TW,2328.HK,VIPS,1918.HK,Siam Cement Public Co. Ltd. NVDR,THYROCARE.NS,WuXi AppTec Co. Ltd. Class A,TENAGA.KL,3481.TW,268.HK,Tsingtao Brewery Co. Ltd. Class H,151.HK,2353.TW,Hong Kong Dollar,GODREJCP.NS,SM.PM,6969.HK,INDHOTEL.NS,ULTRACEMCO.NS,HINDALCO.NS,960.HK,Haier Smart Home Co. Ltd. Class H,ONGC.NS,Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,PTT Exploration & Production Plc(Alien Mkt),2474.TW,BURSA.KL,ESCORTS.NS,eMemory Technology Inc.,2880.TW,2395.TW,DIXON.NS,968.HK,LONGi Green Energy Technology Co Ltd Class A,TATASTEEL.NS,2404.TW,2887.TW,998.HK,267.HK,XPEV,Srisawad Corporation Public Company Ltd(Alien Mkt),DIVISLAB.NS,5876.TW,322.HK,853.HK,IOICORP.KL,586.HK,Delta Electronics (Thailand) Public Co. Ltd.(Alien Mkt),China Tourism Group Duty Free Corporation Limited Class A,NESTLEIND.NS,ITC Limited Sponsored GDR RegS,Wuxi Shangji Automation Co. Ltd. Class A,144.HK,JD.com Inc. Sponsored ADR Class A,Industrial and Commercial Bank of China Limited Class H,HAVELLS.NS,IIFL.NS,2449.TW,China CITIC Bank Corporation Ltd Class H,Bajaj Finserv Limited,914.HK,3898.HK,3037.TW,Jiangsu Yoke Technology Co. Ltd. Class A,SUM
07/09/2021,6.48,6.38,5.94,2.37,1.52,1.31,1.24,1.12,1.08,1.01,0.95,0.93,0.86,0.83,0.74,0.74,0.72,0.71,0.67,0.65,0.55,0.52,0.51,0.5,0.49,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.42,0.41,0.41,0.39,0.39,0.38,0.37,0.37,0.34,0.34,0.32,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.87
07/12/2021,6.26,6.4,5.74,2.24,1.52,1.33,1.15,1.12,1.11,0.94,0.96,0.89,0.87,0.81,0.75,0.72,0.75,0.72,0.66,0.66,0.55,0.53,0.51,0.49,0.49,0.47,0.47,0.48,0.46,0.45,0.44,0.44,0.43,0.41,0.42,0.39,0.39,0.39,0.37,0.37,0.34,0.34,0.32,0.32,0.3,0.28,0.3,0.28,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.26,0.25,0.23,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.16,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48
07/13/2021,6.26,6.4,5.74,2.24,1.52,1.33,1.15,1.12,1.11,0.94,0.96,0.89,0.87,0.81,0.75,0.72,0.75,0.72,0.66,0.66,0.55,0.53,0.51,0.49,0.49,0.47,0.47,0.48,0.46,0.45,0.44,0.44,0.43,0.41,0.42,0.39,0.39,0.39,0.37,0.37,0.34,0.34,0.32,0.32,0.3,0.28,0.3,0.28,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.26,0.25,0.23,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.16,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.48
07/14/2021,6.34,6.5,5.87,2.32,1.51,1.34,1.13,1.16,1.09,0.93,0.94,0.91,0.86,0.8,0.74,0.74,0.78,0.71,0.67,0.66,0.55,0.52,0.5,0.49,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.43,0.44,0.44,0.41,0.38,0.38,0.39,0.37,0.37,0.34,0.34,0.32,0.31,0.3,0.28,0.3,0.3,0.27,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.26,0.25,0.25,0.25,0.26,0.25,0.22,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.19,0.16,0.2,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.15,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.71000000000001
07/15/2021,6.25,6.57,5.82,2.35,1.53,1.32,1.13,1.15,1.08,0.94,0.94,0.9,0.87,0.8,0.73,0.74,0.78,0.7,0.66,0.67,0.55,0.52,0.5,0.49,0.5,0.49,0.48,0.48,0.45,0.44,0.44,0.46,0.42,0.43,0.42,0.38,0.38,0.39,0.37,0.37,0.33,0.34,0.32,0.32,0.3,0.27,0.3,0.3,0.27,0.29,0.28,0.29,0.28,0.29,0.28,0.28,0.27,0.25,0.25,0.26,0.26,0.25,0.22,0.25,0.24,0.24,0.24,0.23,0.24,0.21,0.23,0.21,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.18,0.19,0.19,0.16,0.2,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.18,0.16,0.17,0.17,0.18,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.17,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.11,0.12,0.11,0.11,0.1,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.56
07/16/2021,6.44,6.58,5.88,2.41,1.51,1.3,1.12,1.19,1.1,0.9,0.95,0.92,0.86,0.8,0.72,0.75,0.75,0.69,0.66,0.67,0.55,0.51,0.51,0.49,0.51,0.49,0.46,0.48,0.46,0.44,0.43,0.46,0.43,0.43,0.42,0.36,0.38,0.38,0.37,0.37,0.33,0.33,0.32,0.32,0.29,0.27,0.3,0.3,0.27,0.29,0.29,0.29,0.28,0.28,0.27,0.28,0.28,0.25,0.25,0.26,0.25,0.25,0.23,0.25,0.24,0.24,0.23,0.23,0.23,0.21,0.23,0.22,0.22,0.24,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.19,0.17,0.21,0.17,0.18,0.18,0.17,0.19,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.18,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.1,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.11,0.17,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.1,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7
07/19/2021,6.54,6.23,6.01,2.37,1.52,1.31,1.12,1.19,1.09,0.87,0.97,0.92,0.88,0.81,0.72,0.77,0.79,0.69,0.65,0.68,0.54,0.51,0.54,0.5,0.49,0.49,0.47,0.5,0.46,0.45,0.43,0.42,0.45,0.44,0.44,0.37,0.38,0.39,0.37,0.37,0.33,0.35,0.31,0.32,0.29,0.27,0.32,0.3,0.27,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.25,0.26,0.26,0.26,0.25,0.22,0.25,0.24,0.24,0.25,0.23,0.23,0.21,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.2,0.22,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.2,0.17,0.2,0.18,0.18,0.18,0.17,0.19,0.17,0.17,0.17,0.16,0.16,0.17,0.19,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.17,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.1,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.14,0.12,0.13,0.12,0.13,0.13,0.11,0.12,0.12,0.13,0.13,0.12,0.12,0.14,0.12,0.11,0.12,0.12,0.12,0.11,0.2,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.12,0.1,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.11,0.0,0.1,0.11,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.86
07/29/2021,5.99,6.49,5.68,2.03,1.59,1.42,1.15,0.0,1.12,0.91,0.94,0.85,0.9,0.79,0.0,0.63,0.71,0.73,0.55,0.73,0.56,0.52,0.53,0.49,0.52,0.49,0.48,0.52,0.48,0.42,0.45,0.45,0.41,0.41,0.45,0.37,0.38,0.41,0.39,0.37,0.35,0.39,0.32,0.33,0.3,0.27,0.32,0.25,0.28,0.29,0.29,0.27,0.29,0.3,0.29,0.3,0.27,0.25,0.25,0.27,0.28,0.27,0.17,0.28,0.25,0.25,0.26,0.25,0.24,0.18,0.23,0.22,0.23,0.23,0.21,0.22,0.22,0.2,0.19,0.2,0.21,0.19,0.22,0.21,0.22,0.23,0.2,0.2,0.21,0.0,0.25,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.14,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.15,0.14,0.14,0.16,0.15,0.15,0.14,0.15,0.14,0.16,0.19,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.11,0.0,0.14,0.15,0.11,0.0,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.14,0.12,0.13,0.12,0.13,0.13,0.1,0.13,0.12,0.11,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.25,0.12,0.11,0.1,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.1,0.12,0.0,0.1,0.1,0.1,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,1.08,0.75,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,71.26
08/03/2021,5.98,6.48,5.82,1.96,1.58,1.43,1.14,1.17,1.1,0.93,0.95,0.87,0.91,0.78,0.0,0.71,0.78,0.73,0.57,0.74,0.56,0.52,0.51,0.5,0.55,0.56,0.48,0.5,0.48,0.41,0.43,0.48,0.43,0.42,0.43,0.38,0.39,0.41,0.37,0.16,0.36,0.39,0.32,0.31,0.3,0.27,0.32,0.3,0.28,0.28,0.3,0.26,0.29,0.3,0.3,0.31,0.29,0.25,0.25,0.29,0.27,0.27,0.18,0.3,0.25,0.25,0.26,0.25,0.25,0.19,0.21,0.22,0.22,0.21,0.22,0.22,0.2,0.2,0.22,0.2,0.21,0.18,0.23,0.21,0.21,0.22,0.2,0.2,0.21,0.0,0.26,0.18,0.2,0.2,0.18,0.2,0.18,0.17,0.15,0.17,0.16,0.17,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.16,0.0,0.15,0.16,0.13,0.15,0.16,0.15,0.15,0.14,0.12,0.0,0.14,0.15,0.13,0.19,0.14,0.13,0.14,0.12,0.14,0.14,0.12,0.14,0.12,0.13,0.12,0.12,0.14,0.12,0.13,0.12,0.13,0.13,0.1,0.12,0.11,0.12,0.11,0.12,0.12,0.14,0.12,0.11,0.12,0.1,0.12,0.11,0.1,0.12,0.11,0.1,0.12,0.13,0.14,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.1,0.11,0.12,0.14,0.1,0.11,0.1,0.1,0.12,0.0,0.11,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.74,0.1,0.11,0.1,0.0,0.11,0.14,0.1,0.1,0.0,71.47
08/04/2021,5.86,6.55,5.79,1.86,1.56,1.45,1.15,1.16,1.11,0.98,0.95,0.86,0.89,0.8,0.0,0.72,0.75,0.73,0.57,0.74,0.56,0.52,0.51,0.49,0.58,0.55,0.48,0.5,0.48,0.4,0.44,0.5,0.41,0.42,0.43,0.38,0.39,0.41,0.37,0.16,0.36,0.39,0.32,0.31,0.3,0.27,0.34,0.29,0.28,0.28,0.3,0.26,0.29,0.3,0.29,0.31,0.3,0.25,0.24,0.29,0.28,0.26,0.17,0.29,0.25,0.26,0.26,0.25,0.25,0.18,0.2,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.22,0.2,0.2,0.17,0.23,0.21,0.24,0.22,0.18,0.2,0.21,0.0,0.28,0.18,0.21,0.19,0.18,0.2,0.18,0.16,0.16,0.17,0.17,0.16,0.18,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.0,0.14,0.16,0.29,0.15,0.17,0.13,0.15,0.15,0.15,0.15,0.14,0.12,0.0,0.14,0.15,0.12,0.17,0.14,0.13,0.14,0.12,0.14,0.15,0.11,0.13,0.12,0.13,0.13,0.12,0.16,0.12,0.13,0.12,0.13,0.13,0.1,0.12,0.11,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.0,0.12,0.13,0.13,0.1,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.1,0.11,0.11,0.13,0.1,0.11,0.1,0.1,0.13,0.0,0.12,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.74,0.11,0.11,0.1,0.0,0.11,0.15,0.11,0.0,0.1,71.52
