,FGXXX,CAPITALONEACM,FMC CORP DISC COML PAPER 4/A2,HARLEY-DAVIDSON FDG CORP,MECHANICSBKACM,FGTXX,SBH2 COMDTY,SBN1 COMDTY,SBV1 COMDTY,SUM
07/09/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/12/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/13/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/14/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/15/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/16/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/19/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/20/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/21/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/22/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/23/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/26/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/27/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
07/28/2021,27.27,19.65,16.35,16.35,1.26,0.03,0.0,0.0,0.0,80.91000000000001
