,3690.HK,9988 HK,NIO,JD,PDD,2331.HK,YUMC,2020.HK,1211 HK,175.HK,2313.HK,TCOM,2333 HK,LI,XPEV,HTHT,EDU,881.HK,002594 C2,VIPS,3606 HK,601888 C1,6690 HK,6862.HK,1268.HK,TAL,425.HK,3998.HK,6618.HK,2238 HK,489.HK,1585.HK,780.HK,9922.HK,6110.HK,BZUN,839.HK,600104 C1,000333 C2,1114.HK,600690 C1,493.HK,DADA,000625 C2,000100 C2,603486 C1,600660 C1,6169.HK,136.HK,601633 C1,GOTU,667.HK,600741 C1,603833 C1,000069 C2,601966 C1,002024 C2,600754 C1,601799 C1,CASH,002625 C2,002920 C2,002508 C2,002607 C2,603816 C1,300144 C2,002444 C2,600699 C1,601689 C1,002405 C2,600655 C1,600704 C1,000800 C2,002242 C2,600739 C1,601058 C1,002032 C2,002563 C2,002429 C2,600859 C1,002705 C2,002925 C2,000581 C2,002572 C2,n/a,688169 C1,3690 HK,2331 HK,175 HK,2020 HK,2313 HK,881 HK,1268 HK,3998 HK,489 HK,6862 HK,425 HK,780 HK,6618 HK,1585 HK,6110 HK,9922 HK,839 HK,493 HK,1114 HK,136 HK,6169 HK,667 HK,SUM
07/09/2021,9.64,8.64,7.29,6.38,4.98,3.59,3.58,3.47,3.36,2.89,2.85,2.44,2.18,1.98,1.94,1.74,1.64,1.61,1.48,1.47,1.4,1.27,1.16,1.14,1.13,1.04,0.95,0.88,0.87,0.83,0.81,0.8,0.78,0.74,0.73,0.73,0.67,0.58,0.58,0.58,0.57,0.54,0.46,0.42,0.4,0.39,0.38,0.38,0.37,0.36,0.31,0.28,0.26,0.24,0.22,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,9.2,8.41,6.84,6.47,4.95,3.73,3.66,3.51,3.4,2.99,2.79,2.36,2.24,1.95,2.16,1.72,1.39,1.68,1.5,1.49,1.44,1.26,1.21,1.12,1.16,1.02,0.97,0.9,0.88,0.93,0.83,0.9,0.81,0.75,0.71,0.7,0.68,0.61,0.62,0.58,0.58,0.52,0.46,0.45,0.42,0.41,0.41,0.38,0.37,0.37,0.3,0.29,0.27,0.25,0.22,0.21,0.2,0.19,0.2,0.19,0.17,0.19,0.18,0.16,0.16,0.15,0.13,0.14,0.14,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.11,0.08,0.09,0.09,0.08,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,9.2,8.41,6.84,6.47,4.95,3.73,3.66,3.51,3.4,2.99,2.79,2.36,2.24,1.95,2.16,1.72,1.39,1.68,1.5,1.49,1.44,1.26,1.21,1.12,1.16,1.02,0.97,0.9,0.88,0.93,0.83,0.9,0.81,0.75,0.71,0.7,0.68,0.61,0.62,0.58,0.58,0.52,0.46,0.45,0.42,0.41,0.41,0.38,0.37,0.37,0.3,0.29,0.27,0.25,0.22,0.21,0.2,0.19,0.2,0.19,0.17,0.19,0.18,0.16,0.16,0.15,0.13,0.14,0.14,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.11,0.08,0.09,0.09,0.08,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,9.43,8.19,6.71,6.59,4.96,3.8,3.6,3.68,3.28,2.88,2.83,2.33,2.38,1.92,2.11,1.66,1.45,1.69,1.46,1.52,1.44,1.22,1.24,1.21,1.14,1.09,0.94,0.87,0.85,0.96,0.83,0.85,0.81,0.76,0.7,0.72,0.67,0.62,0.6,0.56,0.59,0.54,0.48,0.45,0.41,0.39,0.4,0.37,0.38,0.4,0.31,0.29,0.26,0.24,0.22,0.2,0.2,0.18,0.2,0.19,0.17,0.18,0.17,0.15,0.16,0.15,0.13,0.13,0.14,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.11,0.08,0.09,0.08,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/15/2021,9.56,8.2,6.77,6.5,4.9,3.6,3.58,3.63,3.51,2.92,2.75,2.28,2.38,1.96,2.09,1.65,1.41,1.63,1.55,1.5,1.46,1.3,1.26,1.31,1.15,1.04,0.96,0.83,0.88,0.95,0.82,0.87,0.82,0.79,0.7,0.69,0.67,0.61,0.61,0.55,0.59,0.54,0.48,0.45,0.41,0.38,0.4,0.37,0.36,0.39,0.28,0.28,0.26,0.25,0.22,0.21,0.19,0.18,0.21,0.19,0.17,0.18,0.17,0.14,0.15,0.15,0.13,0.13,0.14,0.12,0.12,0.11,0.11,0.09,0.1,0.1,0.11,0.08,0.09,0.08,0.07,0.07,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/16/2021,9.71,8.38,6.45,6.68,4.88,3.62,3.5,3.58,3.47,3.02,2.72,2.27,2.41,1.91,2.02,1.63,1.46,1.67,1.52,1.54,1.45,1.3,1.3,1.26,1.23,1.08,0.96,0.84,0.89,0.93,0.81,0.85,0.81,0.8,0.68,0.71,0.67,0.6,0.62,0.53,0.62,0.53,0.47,0.43,0.4,0.39,0.39,0.36,0.35,0.38,0.28,0.27,0.26,0.24,0.21,0.21,0.19,0.18,0.21,0.18,0.17,0.18,0.17,0.14,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.09,0.1,0.1,0.1,0.08,0.09,0.08,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,9.69,8.72,6.36,6.8,4.89,3.88,3.55,3.71,3.21,2.93,2.69,2.26,2.32,1.85,2.02,1.71,1.48,1.69,1.38,1.57,1.42,1.3,1.3,1.23,1.26,1.11,0.92,0.85,0.88,0.89,0.82,0.84,0.83,0.77,0.68,0.72,0.65,0.58,0.61,0.53,0.62,0.52,0.48,0.41,0.41,0.43,0.38,0.36,0.3,0.35,0.28,0.27,0.24,0.25,0.22,0.2,0.19,0.18,0.2,0.18,0.17,0.16,0.17,0.12,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.09,0.11,0.1,0.1,0.08,0.09,0.08,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/20/2021,9.69,8.72,6.36,6.8,4.89,3.88,3.55,3.71,3.21,2.93,2.69,2.26,2.32,1.85,2.02,1.71,1.48,1.69,1.38,1.57,1.42,1.3,1.3,1.23,1.26,1.11,0.92,0.85,0.88,0.89,0.82,0.84,0.83,0.77,0.68,0.72,0.65,0.58,0.61,0.53,0.62,0.52,0.48,0.41,0.41,0.43,0.38,0.36,0.3,0.35,0.28,0.27,0.24,0.25,0.22,0.2,0.19,0.18,0.2,0.18,0.17,0.16,0.17,0.12,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.09,0.11,0.1,0.1,0.08,0.09,0.08,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/21/2021,9.84,8.79,6.32,6.79,4.81,3.85,3.57,3.71,3.23,2.97,2.6,2.19,2.42,1.83,2.07,1.67,1.42,1.71,1.31,1.5,1.54,1.27,1.31,1.23,1.27,1.02,0.95,0.86,0.87,0.89,0.83,0.83,0.83,0.78,0.68,0.71,0.66,0.59,0.61,0.54,0.61,0.54,0.46,0.42,0.43,0.39,0.39,0.35,0.32,0.36,0.25,0.26,0.25,0.25,0.22,0.2,0.19,0.18,0.2,0.19,0.18,0.16,0.17,0.12,0.15,0.16,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.08,0.11,0.1,0.1,0.08,0.09,0.08,0.07,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/22/2021,9.54,8.68,6.53,6.8,4.78,3.88,3.59,3.75,3.23,2.95,2.64,2.14,2.45,1.88,2.15,1.66,1.31,1.74,1.34,1.47,1.51,1.36,1.31,1.22,1.26,0.98,0.95,0.84,0.91,0.89,0.83,0.83,0.84,0.78,0.69,0.69,0.66,0.6,0.62,0.54,0.64,0.52,0.47,0.41,0.43,0.38,0.39,0.35,0.28,0.37,0.24,0.27,0.25,0.26,0.22,0.2,0.19,0.2,0.2,0.19,0.18,0.17,0.17,0.13,0.15,0.17,0.14,0.13,0.13,0.12,0.13,0.11,0.11,0.08,0.11,0.1,0.1,0.08,0.09,0.08,0.07,0.08,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
