,NIO,TSLA,VWS.CO,DLR,ENPH,9022.T,PLUG,LI,KRX.IR,SEDG,ALO.PA,XPEV,300750.SZ,DAR,RUN,968.HK,SUZB3.SA,FSLR,66.HK,SGRE.MC,VNO,C38U.SI,586.HK,INDA,3283.T,WMS,WFG.TO,DEI,NEP,LI.PA,COV.PA,ROCK B.CO,601012.SS,SALM.OL,MRL.MC,MTH,1972.HK,N2IU.SI,KBH,SCATC.OL,3800.HK,ORA,NOVA,COL.MC,BMI,BLX.TO,REGI,1585.HK,SPWR,BDN,PDM,3234.T,SRAIL.SW,SGM.AX,CVA,2633.TW,257.HK,SWCH,601816.SS,ENLT.TA,ALFEN.AS,ECV.DE,JKS,RNW.TO,PGRE,RW0U.SI,TPIC,KC,371.HK,NEOEN.PA,112610.KS,NDX1.DE,WKHS,FCR.UN.TO,K71U.SI,CFP.TO,300274.SZ,SLR.MC,9519.T,SCHN,600703.SS,DEQ.DE,VBK.DE,819.HK,2208.HK,8968.T,3576.TW,ABIO.PA,SLCE3.SA,PLAZ B.ST,NIU,OMGE3.SA,ENRG.TA,3487.T,ERII,TKTT.PA,FKR.MI,1407.T,TS0U.SI,TENERGY.AT,SK6U.SI,9517.T,FAG.ST,1798.HK,S92.DE,213420.KQ,MERC,GSF.OL,SUPER-R.BK,002459.SZ,REX,8341.TW,SPK.MC,6443.TW,CMCOM.AS,182.HK,6244,300450.SZ,018000.KQ,002202.SZ,Interest/Overdraft,BCPG-R.BK,LRE.MC,PNE3.DE,ZAG.VI,1381.HK,658.HK,SPCG-R.BK,686.HK,1257.HK,BTS-R.BK,603218.SS,SIFG.AS,002506.SZ,1330.HK,U9E.SI,Nordex Se-Rts,Great British Pound,Securities Lending - Bnym,Phillipine Peso,Japanese Yen,Swedish Krona,Danish Krone,Norwegian Krone,Swiss Franc,Thailand Baht,Euro,SUM
07/09/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/12/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/13/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/14/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/15/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/16/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/19/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/20/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/21/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/22/2021,6.65,5.25,4.7,4.52,4.23,4.09,3.02,2.86,2.8,2.64,2.63,2.62,2.07,2.0,1.81,1.78,1.62,1.6,1.6,1.45,1.41,1.31,1.25,1.2,1.2,1.14,1.12,1.09,1.08,1.02,0.85,0.78,0.75,0.7,0.7,0.66,0.64,0.64,0.63,0.61,0.61,0.58,0.58,0.54,0.53,0.51,0.5,0.46,0.46,0.44,0.43,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
