,NESN.SW,ASML.AS,ROG.SW,MC.PA,AZN.L,ULVR.L,1299.HK,NOVO B.CO,6758.T,DGE.L,OR.PA,6861.T,SAP.DE,CSL.AX,388.HK,ADS.DE,6098.T,7974.T,KER.PA,8035.T,RITN.,4063.T,SU.PA,LONN.SW,REL.L,6594.T,IFX.DE,7741.T,DSV.CO,WES.AX,ADYEN.AS,6367.T,SAF.PA,6954.T,SIKA.SW,6981.T,RMS.PA,RI.PA,PRX.AS,PHIA.AS,9983.T,GIVN.SW,GLEN.L,INVE B.ST,RKT.L,D05.SI,AI.PA,ATCO A.ST,VWS.CO,MQG.AX,STLA.MI,CPG.L,AIR.PA,ITX.MC,ERIC B.ST,BHP.AX,DAI.DE,EXPN.L,LSEG.L,WOW.AX,PGHN.SW,VOLV B.ST,6273.T,AHT.L,DB1.DE,DSY.PA,CLNX.MC,DSM.AS,2413.T,CAP.PA,FERG.L,ASSA B.ST,6902.T,TCL.AX,4661.T,9984.T,4911.T,HEXA B.ST,SAND.ST,EVO.ST,GEBN.SW,GMAB.CO,WKL.AS,4543.T,GMG.AX,4519.T,RACE.MI,STM.PA,MRK.DE,DTE.DE,TEP.PA,669.HK,AKZA.AS,4568.T,7733.T,WLN.PA,DHER.DE,6301.T,4523.T,KRZ.IR,LOGN.SW,SOON.SW,DWNI.DE,ESSITY B.ST,ATCOB.ST,ZAL.DE,DG.PA,6501.T,COLO B.CO,6869.T,LR.PA,SY1.DE,ALL.AX,EL.PA,6502.T,7309.T,APT.AX,KNIN.SW,KNEBV.HE,ALC.SW,8267.T,6857.T,HM B.ST,COL.AX,UCG.MI,HFG.DE,CNHI.MI,SHL.DE,STMN.SW,NCM.AX,KRX.IR,ERF.PA,HEIA.AS,FLTR.L,8113.T,NZYM B.CO,ASM.AS,AMS.MC,NICE.TA,6762.T,HLMA.L,9843.T,CRDA.L,SRT3.,EDEN.PA,NXT.L,6920.T,JHX.AX,4452.T,EPI A.ST,ENT.L,NIBE B.ST,PNDORA.CO,DIM.PA,ORSTED.CO,7832.T,SPX.L,SWMA.ST,MONC.MI,BXB.AX,RTO.L,4684.T,ALO.PA,RO.SW,NESTE.HE,CHKP,XRO.AX,MTX.DE,6723.T,MUV2.DE,6506.T,UMI.BR,PUM.DE,RR.L,8001.T,IHG.L,BEI.DE,SCHP.SW,6701.T,8058.T,FPH.NZ,ITRK.L,CCEP,SHL.AX,LEG.DE,ABF.L,27.HK,ALFA.ST,STJ.L,HO.PA,4307.T,8697.T,BNZL.L,BRBY.L,COH.AX,HEIO.AS,MAERSK B.CO,GN.CO,SAMPO.HE,QGEN,DSYA.,TEMN.SW,6586.T,3659.T,6479.T,KESKOB.HE,S32.AX,EUR,CHF,603613.SS,EQT.ST,SCA B.ST,MRO.L,KINV B.ST,7701.T,4689.T,9735.T,CFR.SW,SINCH.ST,9962.T,EOAN.DE,9613.T,2801.T,6645.T,SE,SUM
07/09/2021,4.13,3.31,3.09,2.48,1.82,1.79,1.73,1.68,1.47,1.29,1.27,1.15,1.11,1.09,0.81,0.81,0.8,0.78,0.74,0.73,0.72,0.69,0.65,0.62,0.61,0.6,0.59,0.59,0.58,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.66999999999999
07/12/2021,4.21,3.26,3.15,2.43,1.79,1.8,1.7,1.72,1.46,1.28,1.26,1.17,1.15,1.09,0.86,0.82,0.79,0.75,0.73,0.72,0.72,0.67,0.64,0.63,0.61,0.61,0.58,0.59,0.57,0.58,0.56,0.58,0.55,0.54,0.55,0.54,0.52,0.52,0.51,0.49,0.49,0.51,0.49,0.5,0.48,0.45,0.47,0.48,0.46,0.46,0.45,0.43,0.44,0.44,0.44,0.44,0.41,0.43,0.41,0.42,0.41,0.4,0.4,0.39,0.38,0.0,0.38,0.37,0.36,0.36,0.37,0.35,0.34,0.34,0.33,0.34,0.33,0.34,0.33,0.32,0.33,0.32,0.32,0.3,0.31,0.3,0.3,0.29,0.3,0.28,0.28,0.26,0.27,0.27,0.27,0.26,0.26,0.24,0.26,0.27,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.23,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.39,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.84
07/13/2021,4.21,3.26,3.15,2.43,1.79,1.8,1.7,1.72,1.46,1.28,1.26,1.17,1.15,1.09,0.86,0.82,0.79,0.75,0.73,0.72,0.72,0.67,0.64,0.63,0.61,0.61,0.58,0.59,0.57,0.58,0.56,0.58,0.55,0.54,0.55,0.54,0.52,0.52,0.51,0.49,0.49,0.51,0.49,0.5,0.48,0.45,0.47,0.48,0.46,0.46,0.45,0.43,0.44,0.44,0.44,0.44,0.41,0.43,0.41,0.42,0.41,0.4,0.4,0.39,0.38,0.0,0.38,0.37,0.36,0.36,0.37,0.35,0.34,0.34,0.33,0.34,0.33,0.34,0.33,0.32,0.33,0.32,0.32,0.3,0.31,0.3,0.3,0.29,0.3,0.28,0.28,0.26,0.27,0.27,0.27,0.26,0.26,0.24,0.26,0.27,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.23,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.39,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.84
07/14/2021,4.18,3.34,3.12,2.51,1.81,1.8,1.7,1.72,1.46,1.28,1.28,1.15,1.16,1.08,0.86,0.83,0.78,0.74,0.75,0.72,0.73,0.65,0.66,0.62,0.62,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.52,0.55,0.53,0.53,0.52,0.51,0.49,0.49,0.5,0.51,0.5,0.48,0.46,0.48,0.49,0.45,0.46,0.46,0.43,0.45,0.44,0.44,0.44,0.43,0.43,0.41,0.42,0.41,0.41,0.39,0.4,0.38,0.0,0.38,0.37,0.35,0.37,0.37,0.36,0.33,0.34,0.33,0.34,0.33,0.35,0.34,0.32,0.33,0.32,0.32,0.3,0.31,0.29,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.24,0.27,0.26,0.25,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.39,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.97999999999999
07/15/2021,4.18,3.34,3.12,2.51,1.81,1.8,1.7,1.72,1.46,1.28,1.28,1.15,1.16,1.08,0.86,0.83,0.78,0.74,0.75,0.72,0.73,0.65,0.66,0.62,0.62,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.52,0.55,0.53,0.53,0.52,0.51,0.49,0.49,0.5,0.51,0.5,0.48,0.46,0.48,0.49,0.45,0.46,0.46,0.43,0.45,0.44,0.44,0.44,0.43,0.43,0.41,0.42,0.41,0.41,0.39,0.4,0.38,0.0,0.38,0.37,0.35,0.37,0.37,0.36,0.33,0.34,0.33,0.34,0.33,0.35,0.34,0.32,0.33,0.32,0.32,0.3,0.31,0.29,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.24,0.27,0.26,0.25,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.39,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.97999999999999
07/16/2021,4.15,3.38,3.11,2.5,1.81,1.8,1.72,1.7,1.5,1.29,1.27,1.18,1.16,1.08,0.87,0.82,0.79,0.73,0.75,0.71,0.73,0.67,0.65,0.62,0.63,0.61,0.58,0.58,0.58,0.56,0.58,0.57,0.53,0.56,0.55,0.54,0.54,0.52,0.52,0.48,0.49,0.5,0.49,0.5,0.47,0.46,0.48,0.48,0.45,0.45,0.44,0.41,0.44,0.43,0.44,0.44,0.42,0.44,0.4,0.41,0.41,0.4,0.4,0.4,0.38,0.0,0.38,0.37,0.35,0.36,0.37,0.36,0.34,0.34,0.33,0.35,0.33,0.35,0.34,0.32,0.33,0.33,0.32,0.29,0.31,0.29,0.3,0.3,0.3,0.29,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.25,0.26,0.26,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.2,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.16,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.18,0.17,0.18,0.16,0.17,0.16,0.15,0.17,0.16,0.15,0.14,0.15,0.15,0.13,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.0,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.0,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.39,0.0,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.91
07/19/2021,4.14,3.42,3.13,2.5,1.75,1.8,1.72,1.73,1.5,1.3,1.28,1.17,1.16,1.07,0.88,0.82,0.8,0.74,0.75,0.72,0.73,0.66,0.65,0.61,0.63,0.61,0.58,0.58,0.59,0.57,0.58,0.58,0.52,0.54,0.56,0.55,0.55,0.52,0.53,0.48,0.49,0.51,0.51,0.51,0.47,0.46,0.48,0.49,0.42,0.45,0.44,0.41,0.44,0.41,0.44,0.45,0.43,0.45,0.39,0.42,0.41,0.4,0.4,0.4,0.37,0.0,0.37,0.38,0.34,0.36,0.37,0.36,0.33,0.34,0.33,0.35,0.32,0.35,0.34,0.31,0.33,0.33,0.33,0.29,0.31,0.29,0.3,0.3,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.26,0.26,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.21,0.19,0.18,0.18,0.18,0.16,0.19,0.18,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.18,0.16,0.17,0.16,0.15,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.0,0.14,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.39,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.03999999999999
07/20/2021,4.14,3.42,3.13,2.5,1.75,1.8,1.72,1.73,1.5,1.3,1.28,1.17,1.16,1.07,0.88,0.82,0.8,0.74,0.75,0.72,0.73,0.66,0.65,0.61,0.63,0.61,0.58,0.58,0.59,0.57,0.58,0.58,0.52,0.54,0.56,0.55,0.55,0.52,0.53,0.48,0.49,0.51,0.51,0.51,0.47,0.46,0.48,0.49,0.42,0.45,0.44,0.41,0.44,0.41,0.44,0.45,0.43,0.45,0.39,0.42,0.41,0.4,0.4,0.4,0.37,0.0,0.37,0.38,0.34,0.36,0.37,0.36,0.33,0.34,0.33,0.35,0.32,0.35,0.34,0.31,0.33,0.33,0.33,0.29,0.31,0.29,0.3,0.3,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.26,0.26,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.21,0.19,0.18,0.18,0.18,0.16,0.19,0.18,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.18,0.16,0.17,0.16,0.15,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.0,0.14,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.39,0.0,0.13,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.03999999999999
07/21/2021,4.18,3.37,3.17,2.47,1.74,1.82,1.73,1.75,1.47,1.3,1.29,1.17,1.16,1.08,0.92,0.81,0.8,0.73,0.75,0.71,0.73,0.66,0.64,0.61,0.63,0.61,0.56,0.57,0.58,0.57,0.59,0.58,0.53,0.54,0.56,0.54,0.54,0.53,0.54,0.49,0.47,0.51,0.49,0.51,0.48,0.46,0.48,0.5,0.42,0.46,0.43,0.41,0.44,0.42,0.4,0.46,0.42,0.45,0.39,0.41,0.42,0.4,0.4,0.4,0.37,0.0,0.37,0.38,0.34,0.36,0.37,0.36,0.33,0.34,0.33,0.34,0.32,0.35,0.32,0.32,0.34,0.33,0.33,0.29,0.31,0.29,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.26,0.27,0.26,0.26,0.25,0.23,0.26,0.24,0.24,0.24,0.24,0.25,0.28,0.23,0.23,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.19,0.21,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.19,0.2,0.21,0.19,0.18,0.19,0.18,0.16,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.18,0.15,0.17,0.16,0.15,0.17,0.17,0.15,0.14,0.15,0.15,0.14,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.0,0.14,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.39,0.12,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.07
07/22/2021,4.24,3.34,3.19,2.45,1.74,1.83,1.69,1.78,1.47,1.28,1.3,1.16,1.15,1.1,0.92,0.8,0.81,0.73,0.74,0.71,0.71,0.66,0.64,0.62,0.63,0.61,0.55,0.58,0.57,0.58,0.59,0.59,0.51,0.53,0.56,0.54,0.54,0.52,0.54,0.49,0.48,0.52,0.47,0.5,0.48,0.46,0.48,0.5,0.43,0.45,0.42,0.4,0.42,0.41,0.4,0.45,0.41,0.45,0.39,0.42,0.41,0.39,0.4,0.4,0.37,0.0,0.38,0.39,0.35,0.36,0.36,0.36,0.33,0.34,0.33,0.34,0.33,0.35,0.33,0.32,0.34,0.33,0.34,0.29,0.31,0.3,0.3,0.3,0.3,0.28,0.28,0.27,0.28,0.26,0.27,0.26,0.26,0.26,0.23,0.26,0.24,0.24,0.24,0.24,0.25,0.29,0.22,0.23,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.18,0.2,0.17,0.19,0.18,0.2,0.21,0.18,0.18,0.19,0.17,0.16,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.16,0.15,0.17,0.17,0.17,0.18,0.17,0.18,0.15,0.17,0.16,0.16,0.17,0.17,0.15,0.14,0.15,0.15,0.14,0.16,0.15,0.16,0.16,0.14,0.16,0.15,0.13,0.14,0.15,0.0,0.14,0.13,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.15,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.4,0.0,0.13,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.03
