,MSFT,AAPL,AMZN,GOOGL,HD,DIS,JPM,NEE,PLD,MS,PYPL,BAC,NVDA,TSLA,MA,HON,V,FB,UNH,PEP,NKE,RF,LIN,PG,PH,JCI,ACN,TMO,TJX,APTV,SPGI,ASML,COP,EXPE,ABBV,MRK,SYY,TXN,BMY,CMI,AMGN,AMAT,BLK,A,ADBE,KEYS,MDT,CVS,LMT,EW,NSC,AVGO,UPS,AXP,MDLZ,MAS,ETN,CI,BKNG,UNP,BLL,SHW,CRM,AMP,EL,CMCSA,CMG,CSCO,ECL,APD,ATVI,ZTS,CGNX,ICE,VFC,COST,TGT,AMD,CL,HUM,VZ,MMC,SLB,EXPD,PRU,NVO,VRTX,ROK,AFL,CDW,INFO,WDAY,TRV,Ssc Government Mm Gvmxx,PGR,RMD,Vital Farms Inc Ordinary Shares,BYND,TSCO,n/a,VITL,XYL,EA,DECK,GVMXX,NOW,RIVN,GNRC,DE,SUM
07/09/2021,6.72,5.16,4.09,3.92,2.42,2.32,1.97,1.89,1.88,1.58,1.56,1.55,1.53,1.51,1.47,1.42,1.4,1.38,1.37,1.31,1.3,1.25,1.21,1.19,1.18,1.18,1.17,1.16,1.07,1.06,1.06,1.05,1.04,1.04,1.03,1.01,1.01,0.97,0.96,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.87,0.85,0.8,0.79,0.78,0.77,0.77,0.76,0.73,0.71,0.69,0.66,0.66,0.62,0.59,0.59,0.59,0.58,0.57,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.34,0.33,0.28,0.25,0.23,0.21,0.18,0.18,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/12/2021,6.72,5.16,4.09,3.92,2.42,2.32,1.97,1.89,1.88,1.58,1.56,1.55,1.53,1.51,1.47,1.42,1.4,1.38,1.37,1.31,1.3,1.25,1.21,1.19,1.18,1.18,1.17,1.16,1.07,1.06,1.06,1.05,1.04,1.04,1.03,1.01,1.01,0.97,0.96,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.87,0.85,0.8,0.79,0.78,0.77,0.77,0.76,0.73,0.71,0.69,0.66,0.66,0.62,0.59,0.59,0.59,0.58,0.57,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.34,0.33,0.28,0.25,0.23,0.21,0.18,0.18,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/13/2021,6.72,5.16,4.09,3.92,2.42,2.32,1.97,1.89,1.88,1.58,1.56,1.55,1.53,1.51,1.47,1.42,1.4,1.38,1.37,1.31,1.3,1.25,1.21,1.19,1.18,1.18,1.17,1.16,1.07,1.06,1.06,1.05,1.04,1.04,1.03,1.01,1.01,0.97,0.96,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.87,0.85,0.8,0.79,0.78,0.77,0.77,0.76,0.73,0.71,0.69,0.66,0.66,0.62,0.59,0.59,0.59,0.58,0.57,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.34,0.33,0.28,0.25,0.23,0.21,0.18,0.18,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/14/2021,6.72,5.16,4.09,3.92,2.42,2.32,1.97,1.89,1.88,1.58,1.56,1.55,1.53,1.51,1.47,1.42,1.4,1.38,1.37,1.31,1.3,1.25,1.21,1.19,1.18,1.18,1.17,1.16,1.07,1.06,1.06,1.05,1.04,1.04,1.03,1.01,1.01,0.97,0.96,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.87,0.85,0.8,0.79,0.78,0.77,0.77,0.76,0.73,0.71,0.69,0.66,0.66,0.62,0.59,0.59,0.59,0.58,0.57,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.34,0.33,0.28,0.25,0.23,0.21,0.18,0.18,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/15/2021,6.72,5.16,4.09,3.92,2.42,2.32,1.97,1.89,1.88,1.58,1.56,1.55,1.53,1.51,1.47,1.42,1.4,1.38,1.37,1.31,1.3,1.25,1.21,1.19,1.18,1.18,1.17,1.16,1.07,1.06,1.06,1.05,1.04,1.04,1.03,1.01,1.01,0.97,0.96,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.87,0.85,0.8,0.79,0.78,0.77,0.77,0.76,0.73,0.71,0.69,0.66,0.66,0.62,0.59,0.59,0.59,0.58,0.57,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.34,0.33,0.28,0.25,0.23,0.21,0.18,0.18,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/16/2021,6.72,5.16,4.09,3.92,2.42,2.32,1.97,1.89,1.88,1.58,1.56,1.55,1.53,1.51,1.47,1.42,1.4,1.38,1.37,1.31,1.3,1.25,1.21,1.19,1.18,1.18,1.17,1.16,1.07,1.06,1.06,1.05,1.04,1.04,1.03,1.01,1.01,0.97,0.96,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.87,0.85,0.8,0.79,0.78,0.77,0.77,0.76,0.73,0.71,0.69,0.66,0.66,0.62,0.59,0.59,0.59,0.58,0.57,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.46,0.44,0.42,0.41,0.39,0.37,0.35,0.34,0.34,0.33,0.28,0.25,0.23,0.21,0.18,0.18,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/19/2021,7.84,3.89,4.18,4.37,2.3,1.96,1.84,1.68,1.94,1.68,1.7,1.49,2.07,0.53,1.35,1.29,1.43,1.48,1.34,1.41,1.37,1.12,1.19,1.03,0.99,1.23,1.12,1.1,0.67,1.09,1.11,1.16,1.09,0.8,0.37,0.94,0.92,1.09,0.98,0.82,0.75,0.9,0.97,1.08,0.97,0.85,0.83,0.92,0.99,0.94,0.7,0.0,1.09,0.8,0.76,0.64,0.68,1.21,0.62,0.56,0.53,0.59,0.63,0.58,0.58,0.52,0.53,1.1,0.47,0.48,0.47,0.77,0.47,0.5,0.48,0.52,0.53,0.51,0.46,0.46,0.41,0.47,0.6,0.46,0.47,0.41,0.3,0.4,0.34,0.73,0.31,0.22,0.58,0.24,0.0,0.22,0.09,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/20/2021,7.84,3.89,4.18,4.37,2.3,1.96,1.84,1.68,1.94,1.68,1.7,1.49,2.07,0.53,1.35,1.29,1.43,1.48,1.34,1.41,1.37,1.12,1.19,1.03,0.99,1.23,1.12,1.1,0.67,1.09,1.11,1.16,1.09,0.8,0.37,0.94,0.92,1.09,0.98,0.82,0.75,0.9,0.97,1.08,0.97,0.85,0.83,0.92,0.99,0.94,0.7,0.0,1.09,0.8,0.76,0.64,0.68,1.21,0.62,0.56,0.53,0.59,0.63,0.58,0.58,0.52,0.53,1.1,0.47,0.48,0.47,0.77,0.47,0.5,0.48,0.52,0.53,0.51,0.46,0.46,0.41,0.47,0.6,0.46,0.47,0.41,0.3,0.4,0.34,0.73,0.31,0.22,0.58,0.24,0.0,0.22,0.09,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,7.84,3.89,4.18,4.37,2.3,1.96,1.84,1.68,1.94,1.68,1.7,1.49,2.07,0.53,1.35,1.29,1.43,1.48,1.34,1.41,1.37,1.12,1.19,1.03,0.99,1.23,1.12,1.1,0.67,1.09,1.11,1.16,1.09,0.8,0.37,0.94,0.92,1.09,0.98,0.82,0.75,0.9,0.97,1.08,0.97,0.85,0.83,0.92,0.99,0.94,0.7,0.0,1.09,0.8,0.76,0.64,0.68,1.21,0.62,0.56,0.53,0.59,0.63,0.58,0.58,0.52,0.53,1.1,0.47,0.48,0.47,0.77,0.47,0.5,0.48,0.52,0.53,0.51,0.46,0.46,0.41,0.47,0.6,0.46,0.47,0.41,0.3,0.4,0.34,0.73,0.31,0.22,0.58,0.24,0.0,0.22,0.09,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,7.84,3.89,4.18,4.37,2.3,1.96,1.84,1.68,1.94,1.68,1.7,1.49,2.07,0.53,1.35,1.29,1.43,1.48,1.34,1.41,1.37,1.12,1.19,1.03,0.99,1.23,1.12,1.1,0.67,1.09,1.11,1.16,1.09,0.8,0.37,0.94,0.92,1.09,0.98,0.82,0.75,0.9,0.97,1.08,0.97,0.85,0.83,0.92,0.99,0.94,0.7,0.0,1.09,0.8,0.76,0.64,0.68,1.21,0.62,0.56,0.53,0.59,0.63,0.58,0.58,0.52,0.53,1.1,0.47,0.48,0.47,0.77,0.47,0.5,0.48,0.52,0.53,0.51,0.46,0.46,0.41,0.47,0.6,0.46,0.47,0.41,0.3,0.4,0.34,0.73,0.31,0.22,0.58,0.24,0.0,0.22,0.09,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
