,GOOGL,PSA,FB,MSFT,AAPL,ACN,AMZN,AMGN,JNJ,INTU,PG,CSCO,MA,ADBE,TGT,WM,V,KO,HSY,MMM,NVDA,VZ,ZTS,ABBV,TTC,ORCL,COST,BMY,RSG,MRK,EMR,A,HD,ABT,WMT,TXN,JKHY,JBHT,JPM,IBM,RF,JAZZ,SNA,NOW,VEEV,PEP,FRC,UNP,BAC,EA,LLY,TYL,TEAM,MG.TO,ISRG,AVGO,EPAM,MS,CTSH,CBOE,Deckers Outdoor Corp,SYK,SPGI,ZBRA,VMW,ITW,PNC,MSCI,ROL,EWBC,RMD,T,EL,PPG,PANW,CRM,FTNT,VRSK,ALGN,MMC,AOS,CHE,GRMN,NDSN,CNHI.MI,TW,TRV,AME,CVX,IEX,LOGN.SW,GNTX,PYPL,ELS,SNPS,GIS,CL,Ssc Government Mm Gvmxx,DECK,Equity Lifestyle Properties Inc,SHW,PH,MCO,SBUX,MPWR,WDAY,PPG Industries Inc,TEL,ADI,ITT,ETN,n/a,MDT,FDS,DOV,APH,BRK.B,BRO,BKNG,HLT,VLO,MPC,APA,EOG,COP,FANG,LOW,NKE,LIN,F,ODFL,RTX,KD WI,GD,QCOM,ADM,TROW,CMCSA,SPG,MCD,PLD,HSIC,CE,CF,KEYS,NSC,STX,DVN,GS,SUM
07/09/2021,3.47,2.94,2.83,2.79,2.69,2.61,2.4,2.37,2.37,2.3,2.03,1.85,1.83,1.81,1.79,1.7,1.69,1.68,1.49,1.47,1.44,1.41,1.32,1.31,1.3,1.17,1.11,1.09,1.06,1.06,1.01,0.97,0.95,0.94,0.91,0.91,0.88,0.88,0.86,0.85,0.84,0.83,0.83,0.83,0.81,0.78,0.76,0.76,0.74,0.74,0.72,0.71,0.7,0.7,0.69,0.69,0.69,0.68,0.68,0.68,0.67,0.67,0.66,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.58,0.57,0.56,0.55,0.55,0.55,0.55,0.53,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.43,0.37,0.33,0.32,0.29,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,3.47,2.99,2.76,2.79,2.75,2.65,2.55,2.33,2.37,2.34,2.05,1.84,1.81,1.85,1.81,1.7,1.68,1.68,1.51,1.46,1.4,1.39,1.35,1.32,1.29,1.22,1.13,1.08,1.07,1.05,0.99,0.97,0.94,0.95,0.91,0.89,0.89,0.86,0.84,0.85,0.79,0.84,0.83,0.84,0.82,0.78,0.75,0.74,0.7,0.73,0.73,0.73,0.71,0.66,0.7,0.7,0.69,0.65,0.67,0.67,0.0,0.66,0.66,0.64,0.64,0.63,0.6,0.63,0.62,0.57,0.58,0.55,0.56,0.55,0.57,0.55,0.56,0.54,0.51,0.5,0.5,0.49,0.5,0.49,0.46,0.5,0.48,0.48,0.46,0.46,0.47,0.44,0.44,0.0,0.33,0.31,0.29,0.23,0.65,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,3.47,2.99,2.76,2.79,2.75,2.65,2.55,2.33,2.37,2.34,2.05,1.84,1.81,1.85,1.81,1.7,1.68,1.68,1.51,1.46,1.4,1.39,1.35,1.32,1.29,1.22,1.13,1.08,1.07,1.05,0.99,0.97,0.94,0.95,0.91,0.89,0.89,0.86,0.84,0.85,0.79,0.84,0.83,0.84,0.82,0.78,0.75,0.74,0.7,0.73,0.73,0.73,0.71,0.66,0.7,0.7,0.69,0.65,0.67,0.67,0.0,0.66,0.66,0.64,0.64,0.63,0.6,0.63,0.62,0.57,0.58,0.55,0.56,0.55,0.57,0.55,0.56,0.54,0.51,0.5,0.5,0.49,0.5,0.49,0.46,0.5,0.48,0.48,0.46,0.46,0.47,0.44,0.44,0.0,0.33,0.31,0.29,0.23,0.65,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,3.45,3.0,2.77,2.77,2.76,2.66,2.52,2.32,2.36,2.31,2.03,1.84,1.8,1.83,1.79,1.7,1.68,1.67,1.5,1.46,1.39,1.39,1.34,1.31,1.31,1.24,1.13,1.08,1.07,1.04,1.0,0.97,0.94,0.95,0.9,0.89,0.88,0.87,0.86,0.85,0.82,0.84,0.83,0.84,0.81,0.77,0.77,0.75,0.72,0.72,0.71,0.73,0.71,0.67,0.7,0.7,0.7,0.66,0.67,0.68,0.0,0.66,0.65,0.64,0.64,0.63,0.61,0.64,0.62,0.6,0.57,0.55,0.56,0.55,0.57,0.54,0.56,0.54,0.52,0.5,0.5,0.49,0.5,0.49,0.48,0.5,0.49,0.48,0.47,0.47,0.46,0.44,0.44,0.0,0.33,0.31,0.29,0.23,0.66,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,3.48,3.02,2.79,2.76,2.75,2.64,2.51,2.31,2.35,2.31,2.03,1.82,1.81,1.81,1.81,1.69,1.67,1.67,1.5,1.45,1.42,1.39,1.34,1.32,1.3,1.23,1.12,1.09,1.06,1.03,1.01,0.97,0.94,0.94,0.9,0.9,0.88,0.87,0.87,0.84,0.82,0.84,0.83,0.83,0.81,0.77,0.78,0.74,0.73,0.72,0.72,0.72,0.69,0.67,0.7,0.71,0.7,0.68,0.67,0.67,0.0,0.66,0.65,0.64,0.62,0.63,0.62,0.63,0.62,0.6,0.57,0.55,0.56,0.55,0.57,0.53,0.56,0.53,0.53,0.5,0.5,0.49,0.51,0.49,0.49,0.5,0.5,0.48,0.47,0.47,0.46,0.44,0.44,0.0,0.33,0.31,0.29,0.23,0.66,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/16/2021,3.5,2.99,2.79,2.8,2.77,2.66,2.49,2.32,2.36,2.32,2.03,1.83,1.85,1.83,1.81,1.69,1.7,1.69,1.49,1.45,1.41,1.39,1.35,1.33,1.28,1.23,1.12,1.09,1.07,1.03,1.0,0.97,0.93,0.94,0.91,0.9,0.88,0.88,0.86,0.84,0.81,0.83,0.82,0.83,0.81,0.79,0.78,0.74,0.71,0.73,0.72,0.72,0.69,0.66,0.7,0.71,0.71,0.69,0.67,0.66,0.0,0.65,0.64,0.63,0.61,0.63,0.61,0.63,0.62,0.59,0.57,0.55,0.56,0.55,0.57,0.54,0.56,0.53,0.53,0.5,0.5,0.49,0.51,0.49,0.48,0.5,0.49,0.48,0.47,0.47,0.45,0.44,0.44,0.0,0.33,0.31,0.29,0.23,0.66,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/19/2021,3.11,2.69,2.46,2.5,3.05,3.15,2.19,2.08,2.09,2.05,1.84,1.94,1.68,2.5,1.62,1.54,1.56,1.51,1.36,1.32,1.18,0.7,1.21,1.17,1.17,1.09,1.01,0.97,0.97,0.49,0.9,0.86,0.84,1.02,1.34,0.79,0.8,0.79,0.76,0.75,0.75,0.72,0.73,0.74,1.35,0.71,0.71,0.9,0.62,0.65,0.63,0.64,0.61,0.44,0.62,0.62,0.63,0.61,0.6,0.6,0.0,0.57,2.74,0.55,0.54,0.57,0.54,0.57,0.56,0.0,0.51,1.62,0.51,0.49,0.51,0.47,0.5,0.49,0.46,0.8,0.44,0.43,0.45,0.44,0.42,0.44,0.45,0.43,0.41,0.42,0.0,0.39,0.39,0.0,0.77,0.28,0.26,0.21,0.57,0.34,0.91,0.89,0.89,0.88,0.51,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,3.11,2.69,2.43,2.49,3.0,3.12,2.16,2.09,2.08,2.05,1.85,1.95,1.67,2.5,1.61,1.54,1.55,1.51,1.36,1.29,1.13,0.7,1.21,1.18,1.16,1.1,1.0,0.97,0.97,0.49,0.89,0.86,0.84,1.03,1.34,0.78,0.81,0.78,0.74,0.74,0.72,0.71,0.72,0.74,1.36,0.72,0.69,0.9,0.61,0.65,0.63,0.64,0.61,0.43,0.62,0.61,0.62,0.6,0.59,0.59,0.0,0.57,2.76,0.54,0.54,0.57,0.53,0.57,0.56,0.0,0.52,1.62,0.51,0.49,0.51,0.47,0.51,0.49,0.45,0.8,0.44,0.43,0.45,0.44,0.41,0.44,0.45,0.43,0.39,0.42,0.0,0.38,0.38,0.0,0.77,0.28,0.27,0.64,0.56,0.35,0.92,0.88,0.9,0.88,0.51,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/21/2021,3.11,2.69,2.43,2.49,3.0,3.12,2.16,2.09,2.08,2.05,1.85,1.95,1.67,2.5,1.61,1.54,1.55,1.51,1.36,1.29,1.13,0.7,1.21,1.18,1.16,1.1,1.0,0.97,0.97,0.49,0.89,0.86,0.84,1.03,1.34,0.78,0.81,0.78,0.74,0.74,0.72,0.71,0.72,0.74,1.36,0.72,0.69,0.9,0.61,0.65,0.63,0.64,0.61,0.43,0.62,0.61,0.62,0.6,0.59,0.59,0.0,0.57,2.76,0.54,0.54,0.57,0.53,0.57,0.56,0.0,0.52,1.62,0.51,0.49,0.51,0.47,0.51,0.49,0.45,0.8,0.44,0.43,0.45,0.44,0.41,0.44,0.45,0.43,0.39,0.42,0.0,0.38,0.38,0.0,0.77,0.28,0.27,0.64,0.56,0.35,0.92,0.88,0.9,0.88,0.51,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/22/2021,3.11,2.69,2.43,2.49,3.0,3.12,2.16,2.09,2.08,2.05,1.85,1.95,1.67,2.5,1.61,1.54,1.55,1.51,1.36,1.29,1.13,0.7,1.21,1.18,1.16,1.1,1.0,0.97,0.97,0.49,0.89,0.86,0.84,1.03,1.34,0.78,0.81,0.78,0.74,0.74,0.72,0.71,0.72,0.74,1.36,0.72,0.69,0.9,0.61,0.65,0.63,0.64,0.61,0.43,0.62,0.61,0.62,0.6,0.59,0.59,0.0,0.57,2.76,0.54,0.54,0.57,0.53,0.57,0.56,0.0,0.52,1.62,0.51,0.49,0.51,0.47,0.51,0.49,0.45,0.8,0.44,0.43,0.45,0.44,0.41,0.44,0.45,0.43,0.39,0.42,0.0,0.38,0.38,0.0,0.77,0.28,0.27,0.64,0.56,0.35,0.92,0.88,0.9,0.88,0.51,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
