,Ice 7-10 Year U.S. Treasury Index Swap Citibank Na - Cash Offset,Cash,Ice 7-10 Year U.S. Treasury Index Swap Societe Generale - Cash Offset,Us 10 Yr Note Future 09/21/2021 (Tyu1) - Cash Offset,10 Year Treasury Note Future Sept 21,Ice 7-10 Year U.S. Treasury Index Swap Societe Generale,Ice 7-10 Year U.S. Treasury Index Swap Citibank Na,SUM
07/09/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/12/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/13/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/14/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/15/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/16/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/19/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/20/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/21/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/22/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/23/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/26/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/27/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
07/28/2021,153.12,100.0,44.19,2.74,-2.74,-44.19,-153.12,100.0
