,DDD,STMN,XONE,ALTR,AM3D,DSY,MSFT,TRMB,ADSK,PTC,ALMDG,HPQ,ANSS,RSW,DM,SSYS,PRLB,MTLS,HEXAB S,AME,ALGN,FARO,ARNC,BDT,UPS,LECO,ML,KALU,SYK,MDT,AJRD,NUVA,OERL,GE,MOG.A,UCTT,SIE,NNDM,SGL,KODK,DSM,3402,HXL,DD,XRX,EMN,AKE,MMM,HEN3,VOE,ATI,EVK,PYR,SAND,CRS,DREYFUS GOVT CASH MAN INS,EURO,GREAT BRITISH POUND,DSY FP,CLNKB,XTC,CFMS,XMTR,VNP,SWISS FRANC,JAPANESE YEN,SUM
07/09/2021,8.09,5.69,5.13,5.1,5.09,4.84,4.77,4.49,4.4,4.39,4.25,4.24,4.23,3.73,3.65,2.95,2.01,1.38,1.35,1.3,1.29,1.21,1.14,1.09,1.06,0.98,0.97,0.93,0.93,0.91,0.9,0.87,0.86,0.86,0.86,0.85,0.84,0.28,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.84,5.98,4.98,4.97,4.69,0.0,4.85,4.51,4.47,4.39,4.19,4.28,4.27,3.76,3.72,2.82,2.03,1.35,1.4,1.32,1.35,1.23,1.15,1.07,1.08,0.99,0.98,0.94,0.94,0.93,0.9,0.88,0.89,0.87,0.87,0.83,0.85,0.26,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.07,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,7.84,5.98,4.98,4.97,4.69,0.0,4.85,4.51,4.47,4.39,4.19,4.28,4.27,3.76,3.72,2.82,2.03,1.35,1.4,1.32,1.35,1.23,1.15,1.07,1.08,0.99,0.98,0.94,0.94,0.93,0.9,0.88,0.89,0.87,0.87,0.83,0.85,0.26,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.07,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,7.77,5.95,4.98,5.02,4.75,0.0,4.79,4.54,4.42,4.4,4.18,4.24,4.23,3.72,3.59,2.81,2.05,1.34,1.4,1.33,1.35,1.23,1.18,1.11,1.08,0.99,1.0,0.97,0.93,0.92,0.89,0.86,0.89,0.88,0.88,0.85,0.85,0.26,0.15,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.07,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77
07/15/2021,7.13,6.13,4.88,5.09,4.79,0.0,4.85,4.65,4.43,4.4,4.23,4.18,4.25,3.8,3.55,2.75,2.03,1.33,1.42,1.36,1.4,1.25,1.2,1.11,1.09,1.01,1.01,0.99,0.95,0.94,0.9,0.89,0.9,0.89,0.89,0.88,0.87,0.26,0.15,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.07,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,6.83,6.22,4.79,5.11,4.71,0.0,4.98,4.63,4.56,4.46,4.2,4.09,4.31,3.87,3.46,2.77,2.04,1.25,1.44,1.36,1.42,1.24,1.16,1.15,1.09,1.02,1.02,0.98,0.95,0.94,0.91,0.89,0.9,0.88,0.88,0.87,0.88,0.25,0.18,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.19,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,6.51,5.88,4.22,4.39,4.46,0.0,5.12,4.66,4.66,4.53,3.85,4.19,4.45,3.84,3.4,2.69,1.98,1.81,1.49,1.41,1.41,1.22,1.16,0.96,1.13,1.05,1.04,0.98,0.96,0.95,0.95,0.89,0.92,0.9,0.88,0.84,0.88,0.25,0.19,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.08,0.0,0.0,5.3,0.44,0.43,0.41,0.18,0.04,0.0,0.0,99.97
07/20/2021,6.51,5.88,4.22,4.39,4.46,0.0,5.12,4.66,4.66,4.53,3.85,4.19,4.45,3.84,3.4,2.69,1.98,1.81,1.49,1.41,1.41,1.22,1.16,0.96,1.13,1.05,1.04,0.98,0.96,0.95,0.95,0.89,0.92,0.9,0.88,0.84,0.88,0.25,0.19,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.08,0.0,0.0,5.3,0.44,0.43,0.41,0.18,0.04,0.0,0.0,99.97
07/21/2021,4.53,3.99,3.79,3.67,3.69,0.0,3.86,3.74,3.84,3.83,3.27,3.85,3.86,3.9,3.85,2.65,3.65,2.78,1.29,1.31,1.26,1.22,1.19,0.48,1.21,1.21,1.2,1.19,0.0,0.0,1.25,0.0,1.2,1.2,1.2,0.0,1.18,3.65,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.36,0.0,0.0,3.86,3.47,1.0,2.76,1.88,0.11,0.66,0.0,99.96999999999998
07/22/2021,4.66,4.04,3.9,3.8,3.58,0.0,3.83,3.73,3.78,3.75,3.24,3.88,3.81,3.79,3.84,2.66,3.69,2.72,1.27,1.29,1.22,1.23,1.15,0.4,1.22,1.19,1.18,1.15,0.0,0.0,1.26,0.0,1.17,1.16,1.16,0.0,1.15,3.78,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.09,0.11,0.11,0.0,0.0,0.0,3.88,3.77,0.99,3.0,2.1,0.1,0.0,0.02,99.38
